comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugy0k3cPTNCvKXmwNOh4AaABAg,,yhQY_bLvUW4,False,author_4967,2026-05-27T14:43:22Z,2026-05-27T14:43:22Z,7,Ma perché non vendono più il siero nelle farmacie? Ma siamo impazziti? Spero che se la cavi. se è la Vipera ursinii è meno pericolosa della aspis,,0,ilmessaggero,author_4967
UgyHhoWvMf_Plgo98gF4AaABAg,,yhQY_bLvUW4,False,author_4968,2026-05-27T15:15:59Z,2026-05-27T15:15:59Z,4,Io avrei chiamato il 118,,0,ilmessaggero,author_4968
UgxkeZeXjTjrI7__XdB4AaABAg,,yhQY_bLvUW4,False,author_4969,2026-05-27T15:46:24Z,2026-05-27T15:46:24Z,5,e quindi ci si può anche arrabbiare ! vogliono davvero complicare la vita a tutti noi,,0,ilmessaggero,author_4969
UgzQoYdDY9iQVZsS83x4AaABAg,,yhQY_bLvUW4,False,author_4970,2026-05-27T16:28:03Z,2026-05-27T16:28:03Z,1,Credo perché i farmacisti non sono autorizzati a fare iniezioni....,,0,ilmessaggero,author_4970
UgzEqTcM5mw3QmwkFUR4AaABAg,,yhQY_bLvUW4,False,author_1340,2026-05-27T17:33:29Z,2026-05-27T17:33:29Z,22,Vendono solo vaccini per un virus che non esiste,,0,ilmessaggero,author_1340
Ugz0shjKPaNrABQD8wl4AaABAg,,yhQY_bLvUW4,False,author_2082,2026-05-27T18:40:03Z,2026-05-27T18:42:01Z,14,Sono anni che le farmacie non tengono più il siero antivipera perché risultavano più rischi nella somministrazione che nel morso.Uno shock anafilattico può risultare più letale che il morso.Bisogna chiamare i soccorsi o se si riesce recarsi in un ospedale.Non tutti i serpenti che abbiamo in Italia sono velenosi.4/5 su 20 e non tutti i morsi iniettano veleno.La prudenza e l'equipaggiamento sono sempre importanti.E' bene informarsi bene sul da fare se si va in montagna o in campagna.,,0,ilmessaggero,author_2082
UgyHhoWvMf_Plgo98gF4AaABAg.AXJhK24UdIIAXK9S2a_cTD,UgyHhoWvMf_Plgo98gF4AaABAg,yhQY_bLvUW4,True,author_4722,2026-05-27T19:30:28Z,2026-05-27T19:30:28Z,2,"Sarebbe morto, credimi. La sanità in Molise è la più inefficiente e disorganizzata d ' Italia. È stata commissariata da diversi anni e versa in un condizione finanziaria al limite del collasso.",UgyHhoWvMf_Plgo98gF4AaABAg,1,ilmessaggero,author_4722
UgyeJ9bwa2elzSohOMh4AaABAg,,yhQY_bLvUW4,False,author_1702,2026-05-27T19:37:49Z,2026-05-27T19:37:49Z,0,Perché non siamo famosi!!!,,0,ilmessaggero,author_1702
UgxT8hBXMw24mFhELGB4AaABAg,,yhQY_bLvUW4,False,author_4971,2026-05-27T19:39:10Z,2026-05-27T19:39:10Z,2,"No è da ora, il siero antivipera è 20 anni o più che non è più disponibile in farmacia, perché ne è stato fatto un abuso e se usato in modo sbagliato fa più danni del veleno stesso,",,0,ilmessaggero,author_4971
UgwB2WPvpRNofe6Kb6d4AaABAg,,yhQY_bLvUW4,False,author_4972,2026-05-27T19:45:42Z,2026-05-27T19:45:42Z,2,per me sempre colpa del governo,,0,ilmessaggero,author_4972
Ugx6VoxlKV9MRmgTQT54AaABAg,,yhQY_bLvUW4,False,author_4973,2026-05-27T20:23:06Z,2026-05-27T20:23:06Z,2,"Il progresso.... Poi abbiamo medicinali per virus e malattie non nostre, ma per le nostre vipere...0",,0,ilmessaggero,author_4973
Ugy0k3cPTNCvKXmwNOh4AaABAg.AXJdaFkhv-UAXKMbxvxw5N,Ugy0k3cPTNCvKXmwNOh4AaABAg,yhQY_bLvUW4,True,author_61,2026-05-27T21:25:33Z,2026-05-27T21:25:33Z,1,Perché ha fatto più morti il siero che le vipere,Ugy0k3cPTNCvKXmwNOh4AaABAg,1,ilmessaggero,author_61
UgyHo2ovuyHoZDVmhL54AaABAg,,yhQY_bLvUW4,False,author_4974,2026-05-27T22:16:59Z,2026-05-27T22:16:59Z,2,Ma se mi morde una vipera vado in ospedale chiamo il 118 non mi viene in mente di andare in. Farmacia.,,0,ilmessaggero,author_4974
UgzjJ1zHjTjUWfDCcW14AaABAg,,yhQY_bLvUW4,False,author_3885,2026-05-27T22:31:56Z,2026-05-27T22:31:56Z,1,Quindi uno muore?,,0,ilmessaggero,author_3885
Ugy0k3cPTNCvKXmwNOh4AaABAg.AXJdaFkhv-UAXKYf4v0VLF,Ugy0k3cPTNCvKXmwNOh4AaABAg,yhQY_bLvUW4,True,author_469,2026-05-27T23:10:51Z,2026-05-27T23:10:51Z,0,@user e dati grazie. E non presi dai link sotto il meteo per favore,Ugy0k3cPTNCvKXmwNOh4AaABAg.AXJdaFkhv-UAXKMbxvxw5N,2,ilmessaggero,author_469
Ugzc30y0TwHUAJaGI1t4AaABAg,,yhQY_bLvUW4,False,author_4975,2026-05-27T23:22:05Z,2026-05-27T23:22:05Z,0,Come il Molise nemmeno il siero esiste... comunque è gravissimo che non tengano farmaci salvavita,,0,ilmessaggero,author_4975
Ugy1bTP_XoYxFhjYVwV4AaABAg,,yhQY_bLvUW4,False,author_4976,2026-05-27T23:42:16Z,2026-05-27T23:42:16Z,1,Da male un peggio sempre di più..allora ?...Bisogna MORIRE😱,,0,ilmessaggero,author_4976
Ugy4LeJFjBTqetF4Psd4AaABAg,,yhQY_bLvUW4,False,author_886,2026-05-28T00:10:24Z,2026-05-28T00:10:24Z,1,"Il siero fa più danni del veleno,se vi morde un serpente,chiamare subito il 118,ed aspettare che arrivi un ambulanza stando più fermi possibili, più si fa movimento, più il veleno fa effetto,quindi cercare di legare l'arto tenendolo immobile!!",,0,ilmessaggero,author_886
UgyMV3vB6AOQ0006UQh4AaABAg,,yhQY_bLvUW4,False,author_3331,2026-05-28T01:41:37Z,2026-05-28T01:41:37Z,0,"😂😂 svegliatevi pecore schifose , che avete distrutto tutto con la vostra negligenza e codardia, non pagate le tasse a sti vermi",,0,ilmessaggero,author_3331
UgxT8hBXMw24mFhELGB4AaABAg.AXKARi_t6wEAXKp-HfhyO-,UgxT8hBXMw24mFhELGB4AaABAg,yhQY_bLvUW4,True,author_3331,2026-05-28T01:42:17Z,2026-05-28T01:42:17Z,0,😂😂😂😂😂😂😂,UgxT8hBXMw24mFhELGB4AaABAg,1,ilmessaggero,author_3331
UgzQoYdDY9iQVZsS83x4AaABAg.AXJpZxrKqk7AXKp0qEhr6i,UgzQoYdDY9iQVZsS83x4AaABAg,yhQY_bLvUW4,True,author_3331,2026-05-28T01:42:30Z,2026-05-28T01:42:30Z,0,😂😂😂😂😂😂😂😂,UgzQoYdDY9iQVZsS83x4AaABAg,1,ilmessaggero,author_3331
Ugy4LeJFjBTqetF4Psd4AaABAg.AXKeUI_ltw8AXKp2ui9VDX,Ugy4LeJFjBTqetF4Psd4AaABAg,yhQY_bLvUW4,True,author_3331,2026-05-28T01:42:47Z,2026-05-28T01:42:47Z,0,😂😂😂😂😂😂 cucciolo ❤😂,Ugy4LeJFjBTqetF4Psd4AaABAg,1,ilmessaggero,author_3331
UgwT8dh4nmrQGZ9ZKfx4AaABAg,,yhQY_bLvUW4,False,author_653,2026-05-28T03:21:12Z,2026-05-28T03:21:12Z,0,Il siero antivipera è tutto il necessario bisogna averlo sempre dietro a portata di mano specialmente i pastori che spostano le pecore di pascolo perché nella zona di Monticiano le vipere le lanciano nei sacchi per riprodursi perché col loro veleno le case farmaceutiche fanno gli sciroppi,,0,ilmessaggero,author_653
Ugx75MVtbg-uvvEdYl94AaABAg,,yhQY_bLvUW4,False,author_4977,2026-05-28T04:16:18Z,2026-05-28T04:16:18Z,5,"Il siero antivipera non era un farmaco salvavita in senso lato ma un composto di immunoglobuline di origine equina la cui somministrazione aveva un elevatissimo rischio di reazioni allergiche anche molto gravi. Il che spesso lo rendeva più pericoloso del morso stesso che se trattato con prontezza e in ospedale quasi mai è letale. Oltretutto l'autosomministrazione del siero era anch'essa problematica, per questo non è più in commercio, giustamente, da decenni...",,0,ilmessaggero,author_4977
UgxL37ds2GVzWiiNg6p4AaABAg,,yhQY_bLvUW4,False,author_4978,2026-05-28T05:59:31Z,2026-05-28T05:59:31Z,4,"Neanche in ospedale hanno il siero, tendono a non somministrarlo perché è rischioso ... Se come ultima soluzione rimane provare il siero , lo fanno arrivare dal centro veleni più vicino...",,0,ilmessaggero,author_4978
Ugy0k3cPTNCvKXmwNOh4AaABAg.AXJdaFkhv-UAXLTp75I3CU,Ugy0k3cPTNCvKXmwNOh4AaABAg,yhQY_bLvUW4,True,author_247,2026-05-28T07:47:46Z,2026-05-28T07:47:46Z,0,@user,Ugy0k3cPTNCvKXmwNOh4AaABAg.AXJdaFkhv-UAXKMbxvxw5N,2,ilmessaggero,author_247
UgwIzGx2hS2jpOnngDx4AaABAg,,yhQY_bLvUW4,False,author_4979,2026-05-28T08:22:02Z,2026-05-28T08:22:02Z,0,Non vendono siero perché non é sicuro,,0,ilmessaggero,author_4979
Ugy0k3cPTNCvKXmwNOh4AaABAg.AXJdaFkhv-UAXL_IPBvSwz,Ugy0k3cPTNCvKXmwNOh4AaABAg,yhQY_bLvUW4,True,author_4980,2026-05-28T08:44:20Z,2026-05-28T08:44:20Z,1,Faceva prima andare i pronto soccorso,Ugy0k3cPTNCvKXmwNOh4AaABAg,1,ilmessaggero,author_4980
UgwaI_QBD36zrCsovfF4AaABAg,,yhQY_bLvUW4,False,author_4981,2026-05-28T09:05:48Z,2026-05-28T09:05:48Z,0,Deficienti senza fine....ma come è possibile che non ci sia più il siero anti vipera?! Paese di handicappati,,0,ilmessaggero,author_4981
Ugx75MVtbg-uvvEdYl94AaABAg.AXL5cPN-VPLAXLh7PeMsVY,Ugx75MVtbg-uvvEdYl94AaABAg,yhQY_bLvUW4,True,author_4982,2026-05-28T09:52:44Z,2026-05-28T09:52:44Z,1,"scrivi bene, ma la gente non sa e non legge, vanno sempre sull'onda del pressapochismo per cui c'è poco da sperare",Ugx75MVtbg-uvvEdYl94AaABAg,1,ilmessaggero,author_4982
UgzjJ1zHjTjUWfDCcW14AaABAg.AXKUD3_eSrFAXLnZis2XwA,UgzjJ1zHjTjUWfDCcW14AaABAg,yhQY_bLvUW4,True,author_4983,2026-05-28T10:49:01Z,2026-05-28T10:49:01Z,1,Quello che mi stavo chiedendo... tutti a fare gli splendidi sul fatto che sono decenni che il siero non viene distribuito dalle farmacie ecc ecc... ma alla fine?!?!? Che si deve fare?,UgzjJ1zHjTjUWfDCcW14AaABAg,1,ilmessaggero,author_4983
UgzEqTcM5mw3QmwkFUR4AaABAg.AXJx3EKuPeMAXLoHwpr9sc,UgzEqTcM5mw3QmwkFUR4AaABAg,yhQY_bLvUW4,True,author_4387,2026-05-28T10:55:20Z,2026-05-28T10:55:20Z,0,Te ga rason proprio rason!!!!!,UgzEqTcM5mw3QmwkFUR4AaABAg,1,ilmessaggero,author_4387
UgzQoVwOkQPBxEFp_rp4AaABAg,,yhQY_bLvUW4,False,author_119,2026-05-28T11:20:25Z,2026-05-28T11:20:25Z,0,"""FARMAICA"" sarebbe una farmacia a tema giamaicano? 🙄",,0,ilmessaggero,author_119
UgzmQO-bzT71G6YBEJl4AaABAg,,yhQY_bLvUW4,False,author_3740,2026-05-28T11:38:26Z,2026-05-28T11:38:26Z,2,"Da oramai tanti anni non vendono più il siero per le persone e nemmeno per gli animali, se vengono morsi da una vipera. Anche perché gli effetti collaterali erano spesso più rischiosi del morso della vipera.",,0,ilmessaggero,author_3740
Ugyf8P6xVyTG7e8a4vt4AaABAg,,yhQY_bLvUW4,False,author_4984,2026-05-28T11:57:27Z,2026-05-28T11:57:27Z,0,Sempre peggio,,0,ilmessaggero,author_4984
UgzEQMmKfrRPet4cXvh4AaABAg,,yhQY_bLvUW4,False,author_4985,2026-05-28T12:15:18Z,2026-05-28T12:16:45Z,0,"Intanto calma: agitarsi e correre diffonde più rapidamente il veleno. E un adulto in buona salute difficilmente muore per il morso di una vipera nostrana. Tra l’altro non è detto che inoculi il veleno, se morde perché spaventata; a lei serve per paralizzare le prede e sa che ci vuole molto tempo per riprodurlo quando lo inocula.",,0,ilmessaggero,author_4985
Ugx75MVtbg-uvvEdYl94AaABAg.AXL5cPN-VPLAXM0e7NLvMR,Ugx75MVtbg-uvvEdYl94AaABAg,yhQY_bLvUW4,True,author_4986,2026-05-28T12:52:06Z,2026-05-28T12:52:06Z,0,Anni fa l ho utilizzato x alcuni cani morsi da vipere e su di loro funzionava,Ugx75MVtbg-uvvEdYl94AaABAg,1,ilmessaggero,author_4986
UgwFnhtpvPZxWpm0CQ54AaABAg,,yhQY_bLvUW4,False,author_4963,2026-05-28T16:05:14Z,2026-05-28T16:05:14Z,0,possibile che uno metta le mani e non si accorga del pericolo!!,,0,ilmessaggero,author_4963
