comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgyAN63T-pzd3Aix7MB4AaABAg,,3mh7vLQT9Dg,False,author_4569,2026-05-23T10:37:45Z,2026-05-23T10:37:45Z,1,E tu cosa hai fatto?,,0,lastampa,author_4569
UgxieIFo7fARAmh3TA94AaABAg,,3mh7vLQT9Dg,False,author_4570,2026-05-23T12:39:29Z,2026-05-23T12:39:29Z,15,Com'è il detto: se non sei comunista a 20 anni sei senza cuore. Se lo sei a 40 sei senza cervello.,,0,lastampa,author_4570
UgyAN63T-pzd3Aix7MB4AaABAg.AX8uIq6mir0AX9G45TsGCK,UgyAN63T-pzd3Aix7MB4AaABAg,3mh7vLQT9Dg,True,author_4010,2026-05-23T13:56:43Z,2026-05-23T13:56:43Z,2,"Sicuramente ha fatto meglio di chi si dice ""comunista"" e vende i suoi libri su Amazon, manda i figli in prestigiose scuole private americane e ha il marito banchiere. Just saying...",UgyAN63T-pzd3Aix7MB4AaABAg,1,lastampa,author_4010
UgyAN63T-pzd3Aix7MB4AaABAg.AX8uIq6mir0AX9iMK-jPPK,UgyAN63T-pzd3Aix7MB4AaABAg,3mh7vLQT9Dg,True,author_41,2026-05-23T18:12:37Z,2026-05-23T18:12:37Z,6,"Leggo spesso persone parlare di “radicalità” come se fosse automaticamente sinonimo di profondità o coerenza. Io invece penso che molte volte venga confusa con qualcosa di molto diverso: l’immaturità. A vent’anni è normale vivere tutto in modo assoluto. Si è più impulsivi, più estremi, più emotivi. Fa parte della crescita, della ricerca di identità, del bisogno di sentirsi contro qualcosa. Ma il problema nasce quando, a quarant’anni o cinquanta, una persona continua a comportarsi allo stesso modo, trasformando ogni cosa in uno scontro ideologico permanente. Per me quella non è radicalità. È immobilità interiore. Una persona adulta può avere idee forti, anticonformiste, persino radicali, ma dovrebbe anche aver sviluppato profondità, equilibrio, capacità di comprendere la complessità della realtà. La maturità non significa diventare conformisti o spegnersi, significa imparare a distinguere tra convinzioni profonde e reazioni adolescenziali croniche. Perché essere sempre “contro”, vivere di rabbia continua, vedere tutto in bianco e nero, non rende automaticamente lucidi o coraggiosi. A volte significa semplicemente non essere mai cresciuti davvero. La vera forza, secondo me, non sta nel fare rumore per tutta la vita. Sta nel riuscire a mantenere idee forti senza diventare caricature di sé stessi.",UgyAN63T-pzd3Aix7MB4AaABAg,1,lastampa,author_41
UgztlajgB4FTxy7-s6l4AaABAg,,3mh7vLQT9Dg,False,author_4571,2026-05-23T19:46:01Z,2026-05-23T19:46:01Z,0,"L Europa ha una età media di 5o anni, che gliene frega se i giovani saranno radicali o meno, tanto non contano una fava 😂.",,0,lastampa,author_4571
UgyO67GM65ZkVHxiDFh4AaABAg,,3mh7vLQT9Dg,False,author_4572,2026-05-23T21:43:51Z,2026-05-23T21:43:51Z,0,si è spremuta il cervello x dire questa banalità ??,,0,lastampa,author_4572
UgxieIFo7fARAmh3TA94AaABAg.AX97EK07VAMAXAGAfODgMx,UgxieIFo7fARAmh3TA94AaABAg,3mh7vLQT9Dg,True,author_4573,2026-05-23T23:16:52Z,2026-05-23T23:16:52Z,3,E se sei un fascio delinquente cosa sei?,UgxieIFo7fARAmh3TA94AaABAg,1,lastampa,author_4573
Ugz2DTXkuFVc8CYpEX94AaABAg,,3mh7vLQT9Dg,False,author_1948,2026-05-24T02:42:57Z,2026-05-24T02:42:57Z,0,I comunisti sono così: subumani senza cervello,,0,lastampa,author_1948
UgzdZeIFOqrDNUeqBhd4AaABAg,,3mh7vLQT9Dg,False,author_2082,2026-05-24T04:03:59Z,2026-05-24T04:05:38Z,0,"Gli scontri generazionali sono sempre esistiti e sempre esisteranno.Fanno parte del normale ciclo della vita.Guerra al potere per diventare potere diceva De Andrè.Leggetevi o ascoltatevi il disco ""Storia di un impiegato""Quello che trovo squallido è che la politica speculi su queste ribellioni e mandi allo sbaraglio giovani a loro rischio e pericolo.Specia la SX lo fa senza nessuno ritegno e tutela. Dovrebbe avere più attenzione a manipolare questi adolescenti pieni di rabbia perché diventano pericolosi anche per loro oltre che per sé stessi.",,0,lastampa,author_2082
UgxJo8UkJBba5CjnKpd4AaABAg,,3mh7vLQT9Dg,False,author_4574,2026-05-24T04:06:06Z,2026-05-24T04:06:06Z,0,"il tempo non ci fa migliori o peggiori ma semplicemente un po' di piu' di come siamo. Quindi se sei estremista lo diventerai ancora di piu', se poi estremista coincide con coglione sono affari tuoi.",,0,lastampa,author_4574
UgyMJSPoMnOqRjAltKt4AaABAg,,3mh7vLQT9Dg,False,author_2256,2026-05-25T07:37:42Z,2026-05-25T07:37:42Z,0,Hai mai pensato che sei sbagliata tu? E che dici di Essere ciò che nn sei e mai lo saresti davvero?,,0,lastampa,author_2256
UgxieIFo7fARAmh3TA94AaABAg.AX97EK07VAMAXDtElUdHpO,UgxieIFo7fARAmh3TA94AaABAg.AX97EK07VAMAXAGAfODgMx,3mh7vLQT9Dg,True,author_134,2026-05-25T09:04:40Z,2026-05-25T09:04:40Z,0,"@user meglio di un comunista , sicuro",UgxieIFo7fARAmh3TA94AaABAg.AX97EK07VAMAXAGAfODgMx,2,lastampa,author_134
