comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugwsz5gyWWdyANXb-6F4AaABAg,,Q7WV2-97Pms,False,author_2258,2026-05-22T10:24:01Z,2026-05-22T10:24:01Z,19,Grandiiiii,,0,lastampa,author_2258
UgzP1HvzSzUtVp4BGUZ4AaABAg,,Q7WV2-97Pms,False,author_4726,2026-05-22T10:35:06Z,2026-05-22T10:35:06Z,69,Da italiano vi ringrazio per la professionalità e x avere contribuito a riportare a casa i nostri connazionali. Grazie mille.❤,,0,lastampa,author_4726
UgzmbfV37QVBUFVrC7x4AaABAg,,Q7WV2-97Pms,False,author_4727,2026-05-22T10:38:18Z,2026-05-22T10:38:18Z,8,Bravi! Bravi! Che persone di cuore!!!!❤,,0,lastampa,author_4727
UgwWQsLBuaahsQ5D3yF4AaABAg,,Q7WV2-97Pms,False,author_4727,2026-05-22T10:40:03Z,2026-05-22T10:40:03Z,28,L'Italia vi ringrazia!!! ❤❤❤❤❤❤,,0,lastampa,author_4727
UgyIHdnOvdlYKgu-C9F4AaABAg,,Q7WV2-97Pms,False,author_4728,2026-05-22T10:40:49Z,2026-05-22T10:40:49Z,5,Siete degli eroi❤,,0,lastampa,author_4728
UgzVz0uJ6I2uG_CMME54AaABAg,,Q7WV2-97Pms,False,author_4729,2026-05-22T10:40:59Z,2026-05-22T10:40:59Z,3,Onestà ❤,,0,lastampa,author_4729
UgwLKvT7R0SvMCUW9uR4AaABAg,,Q7WV2-97Pms,False,author_47,2026-05-22T10:41:21Z,2026-05-22T10:41:21Z,3,🙏🏻,,0,lastampa,author_47
UgxY3YcHbg1bl_KbPlN4AaABAg,,Q7WV2-97Pms,False,author_4730,2026-05-22T10:41:33Z,2026-05-22T10:41:33Z,4,Bravi❤❤❤❤❤❤❤❤❤,,0,lastampa,author_4730
Ugx2rQ5s_PSmDTyVv3B4AaABAg,,Q7WV2-97Pms,False,author_4731,2026-05-22T10:42:23Z,2026-05-22T10:42:23Z,37,Sono persone come voi che alimentano speranza per un mondo migliore...GRAZIE!!!,,0,lastampa,author_4731
Ugw86S0qn3LtTyr7F2d4AaABAg,,Q7WV2-97Pms,False,author_4732,2026-05-22T10:50:12Z,2026-05-22T10:50:12Z,9,"Sono stati tre angeli 🙏🏻🙏🏻🙏🏻. Persone preparate, umili, generose e meravigliose! Grazie ❤ per aver reso possibile tutto ciò, mettendo il pericolo la vostra stessa vita, e per aver riportato a casa i nostri cinque connazionali ❤️❤️❤️❤️❤️",,0,lastampa,author_4732
Ugxc5p9lODA1Gzabqzd4AaABAg,,Q7WV2-97Pms,False,author_4733,2026-05-22T10:51:19Z,2026-05-22T10:51:19Z,3,Eroi❤,,0,lastampa,author_4733
UgyXUr7PuLgdK5facOd4AaABAg,,Q7WV2-97Pms,False,author_3353,2026-05-22T10:55:44Z,2026-05-22T10:55:44Z,49,Cittadinanza onoraria a queste persone straordinarie grazie,,0,lastampa,author_3353
Ugw9BYVgozN3a0WBFfJ4AaABAg,,Q7WV2-97Pms,False,author_4734,2026-05-22T10:55:48Z,2026-05-22T10:55:48Z,3,🙏🙏🙏👏👏👏,,0,lastampa,author_4734
UgwPC-6rs_9CSR3i_eh4AaABAg,,Q7WV2-97Pms,False,author_4735,2026-05-22T10:57:45Z,2026-05-22T10:57:45Z,3,"Grazie del vostro coraggio il morale per le vittime, molti sub abbiamo da imparare per la tecnica capacità, esperienza di non sottovalutare il pericolo GRAZIE di ❤❤",,0,lastampa,author_4735
UgyvO0kUa9QY8WVPaX14AaABAg,,Q7WV2-97Pms,False,author_4649,2026-05-22T10:59:43Z,2026-05-22T10:59:43Z,2,❤,,0,lastampa,author_4649
Ugyg1whPAj_ZyeKgaXt4AaABAg,,Q7WV2-97Pms,False,author_4736,2026-05-22T11:00:14Z,2026-05-22T11:00:14Z,25,Tre persone meravigliose e capaci. Bravo!!!,,0,lastampa,author_4736
UgxGgHDQQkdqDheVSAV4AaABAg,,Q7WV2-97Pms,False,author_4737,2026-05-22T11:01:42Z,2026-05-22T11:01:42Z,21,Persone bellissime e di buon❤ grazie🙏🙏🙏,,0,lastampa,author_4737
UgzmerwlRF2EMdyLsF94AaABAg,,Q7WV2-97Pms,False,author_4738,2026-05-22T11:03:03Z,2026-05-22T11:03:03Z,13,Grazie di cuore ragazzi ❤❤❤🎉🎉🎉,,0,lastampa,author_4738
Ugw7oMhFoiVAuyMtqSV4AaABAg,,Q7WV2-97Pms,False,author_4739,2026-05-22T11:05:21Z,2026-05-22T11:05:21Z,2,😢😢😢❤❤❤❤,,0,lastampa,author_4739
UgwBYwpThTST7Z1F6Jx4AaABAg,,Q7WV2-97Pms,False,author_800,2026-05-22T11:07:59Z,2026-05-22T11:07:59Z,2,Un grande cuore 👏🏻🙏,,0,lastampa,author_800
UgydmrbIRVyzi2bksMh4AaABAg,,Q7WV2-97Pms,False,author_4740,2026-05-22T11:10:39Z,2026-05-22T11:10:39Z,2,Amazing people. Grazie ❤,,0,lastampa,author_4740
UgxSvz3OLCJlsd7jgxF4AaABAg,,Q7WV2-97Pms,False,author_4741,2026-05-22T11:15:48Z,2026-05-22T11:15:48Z,14,Esempio per tanti 🙏,,0,lastampa,author_4741
Ugx8AD5gsdxNehZHBUx4AaABAg,,Q7WV2-97Pms,False,author_4742,2026-05-22T11:15:55Z,2026-05-22T11:15:55Z,13,Veramente delle persone SUPER sia per professionalità che dal lato umano. GRAZIE.,,0,lastampa,author_4742
UgxJfrfiMIibhzUdbF14AaABAg,,Q7WV2-97Pms,False,author_4743,2026-05-22T11:19:37Z,2026-05-22T11:19:37Z,1,❤,,0,lastampa,author_4743
Ugx6Q_9zUWYpefHESy54AaABAg,,Q7WV2-97Pms,False,author_4744,2026-05-22T11:21:06Z,2026-05-22T11:21:06Z,2,Da italiano grazie ❤❤❤❤,,0,lastampa,author_4744
Ugz5_fxjwWRvD8z_jnt4AaABAg,,Q7WV2-97Pms,False,author_4745,2026-05-22T11:24:33Z,2026-05-22T11:24:33Z,4,Thank you as an Italian for what you did and for the gesture ✌🏼👍💪🇮🇹,,0,lastampa,author_4745
Ugw732b4QgbvP96kam14AaABAg,,Q7WV2-97Pms,False,author_4746,2026-05-22T11:26:25Z,2026-05-22T11:26:25Z,3,Grazie di cuore.,,0,lastampa,author_4746
UgwiYOd-KPtAP8j4lbV4AaABAg,,Q7WV2-97Pms,False,author_4747,2026-05-22T11:27:20Z,2026-05-22T11:27:20Z,4,"Grazie per la vostra generosità ,e professionalità .Noi popolo italiano ,dovremmo inchinarci a voi ❤❤❤❤❤❤❤",,0,lastampa,author_4747
Ugzbws4kbtDJVaxJjCl4AaABAg,,Q7WV2-97Pms,False,author_4748,2026-05-22T11:31:22Z,2026-05-22T11:31:22Z,0,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ GRAZIE MILLE,,0,lastampa,author_4748
UgzwJJ5kRBvAGfoLdd94AaABAg,,Q7WV2-97Pms,False,author_4749,2026-05-22T11:33:07Z,2026-05-22T11:33:07Z,1,Che Gentile questi signori. 🙏💚🤍♥️,,0,lastampa,author_4749
UgzJzDS6VJJ3WMLxpVZ4AaABAg,,Q7WV2-97Pms,False,author_4750,2026-05-22T11:39:47Z,2026-05-22T11:39:47Z,1,Siete un team meraviglioso ❤,,0,lastampa,author_4750
UgxAWCe1WNBTx6iHUNZ4AaABAg,,Q7WV2-97Pms,False,author_4751,2026-05-22T11:41:36Z,2026-05-22T11:41:36Z,0,❤,,0,lastampa,author_4751
Ugz__RsbjIezDaMDRAF4AaABAg,,Q7WV2-97Pms,False,author_4752,2026-05-22T11:41:56Z,2026-05-22T11:41:56Z,11,un grazie immenso alla vostra missione di soccorso siete delle persone splendide!!!,,0,lastampa,author_4752
UgwFvBFDI2S_MCWnVSt4AaABAg,,Q7WV2-97Pms,False,author_4753,2026-05-22T11:42:29Z,2026-05-22T11:42:29Z,2,Grazie perché hanno rischiato e rischiano la vita ogni volta❤❤,,0,lastampa,author_4753
Ugw2vM3xs1AeAKiHfsF4AaABAg,,Q7WV2-97Pms,False,author_4754,2026-05-22T11:46:26Z,2026-05-22T11:46:26Z,0,Onore e umanità a voi 3 grazie di cuore 💓,,0,lastampa,author_4754
UgxhUIBUlAVK6Gwpfe14AaABAg,,Q7WV2-97Pms,False,author_4755,2026-05-22T11:52:53Z,2026-05-22T11:52:53Z,0,Grazie per aver riportato i corpi alle loro famiglie 🙏❤,,0,lastampa,author_4755
UgwD2Skz4nso51AWOg14AaABAg,,Q7WV2-97Pms,False,author_4756,2026-05-22T11:53:24Z,2026-05-22T11:53:24Z,1,Vorrei connazionali come questi tre sub ❤,,0,lastampa,author_4756
Ugy5iBFiiDZDMtqBqKF4AaABAg,,Q7WV2-97Pms,False,author_4757,2026-05-22T11:56:03Z,2026-05-22T11:56:03Z,14,L'Italia tutta vi ringrazia x aver riportato in superficie i nostri connazionali....Siete degli angeli x rischiare la vostra vita x salvare chi è in difficoltà e chi non ce l'ha fatta... GRAZIE ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,,0,lastampa,author_4757
UgwTVcuGLjxoVkWGKW54AaABAg,,Q7WV2-97Pms,False,author_4758,2026-05-22T12:01:42Z,2026-05-22T12:01:42Z,0,Grazie grazie grazie ❤❤❤🙏🙏🙏,,0,lastampa,author_4758
Ugx8mdKAaQUv7cr7_p54AaABAg,,Q7WV2-97Pms,False,author_4759,2026-05-22T12:05:54Z,2026-05-22T12:05:54Z,0,Grazie,,0,lastampa,author_4759
Ugy555CgNI63zGJigdN4AaABAg,,Q7WV2-97Pms,False,author_4760,2026-05-22T12:14:08Z,2026-05-22T12:14:08Z,11,Siete grandi avete un cuore e un'anima immensa semplicemente grazie ❤,,0,lastampa,author_4760
Ugw-GuTS1e2taKMmdEV4AaABAg,,Q7WV2-97Pms,False,author_4761,2026-05-22T12:15:45Z,2026-05-22T12:15:45Z,1,l'Italia vi ringrazia di cuore condoglianze alle famiglie dei nostri connazionali è stata una tragedia immane riposate in pace ❤,,0,lastampa,author_4761
UgzdFyKYgi1rozdLmuh4AaABAg,,Q7WV2-97Pms,False,author_4762,2026-05-22T12:17:48Z,2026-05-22T12:17:48Z,0,Grazie mille! 😘♥️♥️♥️,,0,lastampa,author_4762
Ugxr2hnf6ka4ONiUyx14AaABAg,,Q7WV2-97Pms,False,author_2281,2026-05-22T12:19:07Z,2026-05-22T12:19:07Z,26,"Siete stati meravigliosi, da cittadino italiano vi dico *_Grazie_* è bello avere persone come voi al Mondo.",,0,lastampa,author_2281
UgyuolW72QBcG7cuulp4AaABAg,,Q7WV2-97Pms,False,author_4763,2026-05-22T12:19:57Z,2026-05-22T12:19:57Z,0,Grazieeeee ❤❤❤❤❤❤❤❤,,0,lastampa,author_4763
Ugy7jBPX_oyOs5IIG9N4AaABAg,,Q7WV2-97Pms,False,author_4764,2026-05-22T12:21:07Z,2026-05-22T12:21:07Z,0,Un solo commento grazie,,0,lastampa,author_4764
Ugzoc43er01eSyzS97t4AaABAg,,Q7WV2-97Pms,False,author_1596,2026-05-22T12:25:43Z,2026-05-22T12:25:43Z,0,Grazie di❤️dal🇮🇹🇮🇹,,0,lastampa,author_1596
UgxDoTBQmpXOsX9-Fa54AaABAg,,Q7WV2-97Pms,False,author_4765,2026-05-22T12:26:01Z,2026-05-22T12:26:01Z,0,Grazie a voi siete delle persone stupende,,0,lastampa,author_4765
UgyPOwh4XOm10s7dRB14AaABAg,,Q7WV2-97Pms,False,author_4766,2026-05-22T12:27:07Z,2026-05-22T12:27:07Z,13,Ho letto che hanno rifiutato anche di farsi pagare ..grandi professionisti e grandi persone umanamente 🙏💯,,0,lastampa,author_4766
