comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwdHLP9X0Mb0jgXdZB4AaABAg,,_lOSzc93oNQ,False,author_4471,2026-05-24T18:11:53Z,2026-05-24T18:11:53Z,6,Granata corridore,,0,lastampa,author_4471
Ugx3FbgZ8-ACeNa_qGd4AaABAg,,_lOSzc93oNQ,False,author_4472,2026-05-24T18:17:12Z,2026-05-24T18:17:12Z,11,Forza Toro!!!,,0,lastampa,author_4472
UgyeaFEnTCJM2L6qoYl4AaABAg,,_lOSzc93oNQ,False,author_4473,2026-05-24T18:17:42Z,2026-05-24T18:17:42Z,4,GRANATA CONIGLIO sei scappato come bolt dentro il bar,,0,lastampa,author_4473
UgwEuXNH7qxZOA5oZuZ4AaABAg,,_lOSzc93oNQ,False,author_4474,2026-05-24T18:26:47Z,2026-05-24T18:26:47Z,1,Finalmente,,0,lastampa,author_4474
Ugx35SRZdX3qxgRVVtd4AaABAg,,_lOSzc93oNQ,False,author_4406,2026-05-24T18:30:40Z,2026-05-24T18:30:40Z,13,Che schifo! Sempre violenza. Ma andate a lavorare così vi sfogate.,,0,lastampa,author_4406
UgzFEOCR1k5nEO2zqIF4AaABAg,,_lOSzc93oNQ,False,author_3927,2026-05-24T18:46:21Z,2026-05-24T18:46:21Z,0,Andate lavorare feci umane siete inutili esseri umani,,0,lastampa,author_3927
Ugz9KlKYKcxKUaPMLR54AaABAg,,_lOSzc93oNQ,False,author_4475,2026-05-24T18:54:31Z,2026-05-24T18:54:31Z,5,O juventino ciucciapiselli,,0,lastampa,author_4475
Ugx35SRZdX3qxgRVVtd4AaABAg.AXCKDNP--QjAXCO2mt5HMe,Ugx35SRZdX3qxgRVVtd4AaABAg,_lOSzc93oNQ,True,author_4476,2026-05-24T19:04:10Z,2026-05-24T19:04:10Z,5,"Ma SEI MATTO CHIEDERGLI DI ANDARE A LAVORARE,GIA SOLO ALLA PAROLA GLI VIENE LA NAUSEA",Ugx35SRZdX3qxgRVVtd4AaABAg,1,lastampa,author_4476
UgyDblKdFEMtZaRT6E94AaABAg,,_lOSzc93oNQ,False,author_2290,2026-05-24T19:06:32Z,2026-05-24T19:06:32Z,0,Mettetevi assieme e fate caccia all'uomo ai musulmani nella vostra città,,0,lastampa,author_2290
Ugyl9lyT_Vb45T64J5N4AaABAg,,_lOSzc93oNQ,False,author_718,2026-05-24T19:07:31Z,2026-05-24T19:07:46Z,0,Piantedosi dov'e' con i briahi o con i drogati?,,0,lastampa,author_718
Ugx35SRZdX3qxgRVVtd4AaABAg.AXCKDNP--QjAXCP-x3CUxJ,Ugx35SRZdX3qxgRVVtd4AaABAg,_lOSzc93oNQ,True,author_2295,2026-05-24T19:12:31Z,2026-05-24T19:12:31Z,0,"Ci vanno ci vanno, domani tutti zitti e buoni in fabbrica a 1300€ a parlare male degli immigrati",Ugx35SRZdX3qxgRVVtd4AaABAg,1,lastampa,author_2295
Ugw0v4a9SSmw4-2Gn0J4AaABAg,,_lOSzc93oNQ,False,author_4477,2026-05-24T19:14:33Z,2026-05-24T19:14:33Z,0,I coglioni del calcio,,0,lastampa,author_4477
