comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugx_ICDYWxkGaGwXPR54AaABAg,,huu-IP1ZUUo,False,author_4382,2026-05-26T13:05:21Z,2026-05-26T13:05:21Z,4,"Basta renderli incapaci di ripetere l'operazione, e poi il rimorso viene spontaneo",,0,lastampa,author_4382
UgzHGE0ixkA8eYsRyC94AaABAg,,huu-IP1ZUUo,False,author_4383,2026-05-26T14:05:19Z,2026-05-26T14:05:19Z,14,Perché coprite le facce?bisogna farle vedere!!!!!,,0,lastampa,author_4383
Ugy1pg_GapuU31a2GB54AaABAg,,huu-IP1ZUUo,False,author_4384,2026-05-26T20:17:20Z,2026-05-26T20:17:20Z,6,Xchè non dici chi sono? Nazionalità,,0,lastampa,author_4384
UgyFx-TcZiHLAQJ12WZ4AaABAg,,huu-IP1ZUUo,False,author_4385,2026-05-27T06:11:07Z,2026-05-27T06:11:07Z,0,Ancora che coprite ste facce da c...o,,0,lastampa,author_4385
UgyQynEjm7JkVzSNAeh4AaABAg,,huu-IP1ZUUo,False,author_4386,2026-05-27T06:23:01Z,2026-05-27T06:23:28Z,0,Anche con il volto coperto capiamo la loro nazionalità... Italia libera ❤,,0,lastampa,author_4386
UgzHGE0ixkA8eYsRyC94AaABAg.AXH-Rfe-o0pAXIp8ioJh2C,UgzHGE0ixkA8eYsRyC94AaABAg,huu-IP1ZUUo,True,author_4387,2026-05-27T07:05:05Z,2026-05-27T07:05:05Z,0,Colore della pelle???,UgzHGE0ixkA8eYsRyC94AaABAg,1,lastampa,author_4387
UgzHGE0ixkA8eYsRyC94AaABAg.AXH-Rfe-o0pAXLSwzf2yqJ,UgzHGE0ixkA8eYsRyC94AaABAg,huu-IP1ZUUo,True,author_4388,2026-05-28T07:40:06Z,2026-05-28T07:40:06Z,0,Esatto....,UgzHGE0ixkA8eYsRyC94AaABAg,1,lastampa,author_4388
UgyBIb8qrFBlMHKsihR4AaABAg,,huu-IP1ZUUo,False,author_4388,2026-05-28T07:44:58Z,2026-05-28T07:44:58Z,2,Ma io dico la finiamo di tenerci sta gente senza fissa dimora...che significa !! Che devo accettare sti delinquenti?? Ma dove siamo nel paese dei balocchi?? Svegliaaaaa non se ne può più ....ma prendiamoli tutti e portiamoli davanti a casa di Schlein e company....poi vediamo se sono contenti....,,0,lastampa,author_4388
UgzHGE0ixkA8eYsRyC94AaABAg.AXH-Rfe-o0pAXMArfkwT3h,UgzHGE0ixkA8eYsRyC94AaABAg,huu-IP1ZUUo,True,author_4389,2026-05-28T14:21:20Z,2026-05-28T14:21:20Z,0,"Caro, quanti italiani violentano, ammazzano fidanzate e mogli? La cattiveria non ha colore😢😢😢😢@author_4387",UgzHGE0ixkA8eYsRyC94AaABAg,1,lastampa,author_4389
UgzHGE0ixkA8eYsRyC94AaABAg.AXH-Rfe-o0pAXMAvg7cjBh,UgzHGE0ixkA8eYsRyC94AaABAg,huu-IP1ZUUo,True,author_4389,2026-05-28T14:21:53Z,2026-05-28T14:21:53Z,0,@user,UgzHGE0ixkA8eYsRyC94AaABAg.AXH-Rfe-o0pAXLSwzf2yqJ,2,lastampa,author_4389
UgzpdQUdITKAc-Env7N4AaABAg,,huu-IP1ZUUo,False,author_3637,2026-05-28T14:39:28Z,2026-05-28T14:39:28Z,0,Esco di casa solo assieme al cane.. che è di quelli che non ti viene voglia di averci a che fare..,,0,lastampa,author_3637
