comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwhZaXdm3RW9SnzOUl4AaABAg,,j5cO8GEDHI0,False,author_3412,2026-05-22T07:59:44Z,2026-05-22T07:59:44Z,1,Dai Mentana sai benissimo che la flottiglia non serve a nulla e che sono sponsorizzati da hamas x creare provocazioni.....e lei ci casca come un fico secco,,0,lastampa,author_3412
UgzXJWkBSfKOqn3zFEx4AaABAg,,j5cO8GEDHI0,False,author_4889,2026-05-22T08:18:07Z,2026-05-22T08:18:07Z,0,Fiamma Nirenstein è ebrea !!!! Ma che ci vuoi pretendere???!!!! Ma secondo voi perché Hitler ne ha squagliati più di sei milioni????,,0,lastampa,author_4889
UgxMggjY2J32L6AsGR14AaABAg,,j5cO8GEDHI0,False,author_4890,2026-05-22T08:18:26Z,2026-05-22T08:18:26Z,0,Cogli..... One !!,,0,lastampa,author_4890
Ugz-3mEhLaw9v5C-bfJ4AaABAg,,j5cO8GEDHI0,False,author_1930,2026-05-22T08:22:38Z,2026-05-22T08:22:38Z,0,"In Israele ,terroristi, fiancheggiatori e simpatizzanti hanno il trattamento dovuto",,0,lastampa,author_1930
UgxMggjY2J32L6AsGR14AaABAg.AX64ZVpTilcAX6JvN30jtA,UgxMggjY2J32L6AsGR14AaABAg,j5cO8GEDHI0,True,author_4891,2026-05-22T10:32:37Z,2026-05-22T10:32:37Z,0,Cogliona la nazista sionista,UgxMggjY2J32L6AsGR14AaABAg,1,lastampa,author_4891
UgwhZaXdm3RW9SnzOUl4AaABAg.AX62QaXZq3GAX6K2kRzDAu,UgwhZaXdm3RW9SnzOUl4AaABAg,j5cO8GEDHI0,True,author_4891,2026-05-22T10:33:46Z,2026-05-22T10:33:46Z,9,Serve a far sapere che a Gaza continua il genocidio mesi dopo la buffonata di Trump che si vantava di aver posto fine ad un conflitto di millenni,UgwhZaXdm3RW9SnzOUl4AaABAg,1,lastampa,author_4891
UgwhZaXdm3RW9SnzOUl4AaABAg.AX62QaXZq3GAX6KwDBcrEQ,UgwhZaXdm3RW9SnzOUl4AaABAg,j5cO8GEDHI0,True,author_4892,2026-05-22T10:41:29Z,2026-05-22T10:41:29Z,12,Scommetto tu sei quello intelligente della famiglia,UgwhZaXdm3RW9SnzOUl4AaABAg,1,lastampa,author_4892
UgwhZaXdm3RW9SnzOUl4AaABAg.AX62QaXZq3GAX6NOUQy2bS,UgwhZaXdm3RW9SnzOUl4AaABAg,j5cO8GEDHI0,True,author_3412,2026-05-22T11:02:57Z,2026-05-22T11:02:57Z,0,@user che lei è quello che si strappa le vesti e sfila con la bandiera palestinese,UgwhZaXdm3RW9SnzOUl4AaABAg.AX62QaXZq3GAX6KwDBcrEQ,2,lastampa,author_3412
Ugwag9pCeXVe0lO9YSt4AaABAg,,j5cO8GEDHI0,False,author_4893,2026-05-22T11:14:02Z,2026-05-22T11:14:02Z,8,Ma questa dov’è vive,,0,lastampa,author_4893
UgwihdgXO8ro5vbMU6V4AaABAg,,j5cO8GEDHI0,False,author_4894,2026-05-22T11:14:31Z,2026-05-22T11:14:31Z,0,Sono le tue minchiate che fanno inorridire😮sei un giornalaio vattene aff😮,,0,lastampa,author_4894
Ugwag9pCeXVe0lO9YSt4AaABAg.AX6OeekvcjKAX6VwpGNlfy,Ugwag9pCeXVe0lO9YSt4AaABAg,j5cO8GEDHI0,True,author_4895,2026-05-22T12:17:41Z,2026-05-22T12:17:41Z,0,È una sionista,Ugwag9pCeXVe0lO9YSt4AaABAg,1,lastampa,author_4895
UgwhZaXdm3RW9SnzOUl4AaABAg.AX62QaXZq3GAX6WF4kaHRP,UgwhZaXdm3RW9SnzOUl4AaABAg,j5cO8GEDHI0,True,author_4895,2026-05-22T12:20:19Z,2026-05-22T12:20:19Z,0,Sionista,UgwhZaXdm3RW9SnzOUl4AaABAg,1,lastampa,author_4895
UgywxUgCHKewUDteTzt4AaABAg,,j5cO8GEDHI0,False,author_4896,2026-05-22T12:48:48Z,2026-05-22T12:48:48Z,0,Israele e israeliani indifendibili,,0,lastampa,author_4896
UgwVpAKuasAq8vpa3bJ4AaABAg,,j5cO8GEDHI0,False,author_2748,2026-05-22T13:09:24Z,2026-05-22T13:09:24Z,6,Concordo con Mentana!,,0,lastampa,author_2748
UgwhZaXdm3RW9SnzOUl4AaABAg.AX62QaXZq3GAX6xwqzbYq1,UgwhZaXdm3RW9SnzOUl4AaABAg,j5cO8GEDHI0,True,author_1387,2026-05-22T16:31:05Z,2026-05-22T16:31:05Z,1,Lei c'è o ci fa?,UgwhZaXdm3RW9SnzOUl4AaABAg,1,lastampa,author_1387
