comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwS_LeyKf3Csn7UD0V4AaABAg,,lGzz2K1NdEk,False,author_4420,2026-05-25T13:07:54Z,2026-05-25T13:07:54Z,2,E se anche fosse stato un lacrimogeno che cosa cambia cosa faceva lì? faccia indovinare era lì per caso 😮😮,,0,lastampa,author_4420
UgwNvqkgBkT3ziVsL6d4AaABAg,,lGzz2K1NdEk,False,author_4421,2026-05-25T13:49:22Z,2026-05-25T13:49:22Z,0,Cazzi suoi,,0,lastampa,author_4421
UgylLpONiZYL59RI10p4AaABAg,,lGzz2K1NdEk,False,author_724,2026-05-25T15:21:05Z,2026-05-25T15:21:05Z,0,cazzi suoi. . ho pena per chi come me lavora e rischia tutti i giorni.,,0,lastampa,author_724
UgwS_LeyKf3Csn7UD0V4AaABAg.AXEK4D_GTLsAXEaSTK-5uC,UgwS_LeyKf3Csn7UD0V4AaABAg,lGzz2K1NdEk,True,author_4422,2026-05-25T15:39:45Z,2026-05-25T15:39:45Z,0,Stava entrando allo stadio ... che ci fa un tifoso in fila ai tornelli secondo te ?,UgwS_LeyKf3Csn7UD0V4AaABAg,1,lastampa,author_4422
UgwS_LeyKf3Csn7UD0V4AaABAg.AXEK4D_GTLsAXEjrP3NL8m,UgwS_LeyKf3Csn7UD0V4AaABAg,lGzz2K1NdEk,True,author_4423,2026-05-25T17:01:56Z,2026-05-25T17:01:56Z,0,Ho mai visto sparare lacrimogeni su persone che fanno la coda regolarmente ai tornelli.... Cmq ...in bocca al lupo di pronta guarigione👍,UgwS_LeyKf3Csn7UD0V4AaABAg,1,lastampa,author_4423
UgwS_LeyKf3Csn7UD0V4AaABAg.AXEK4D_GTLsAXEmY3DJ75u,UgwS_LeyKf3Csn7UD0V4AaABAg.AXEK4D_GTLsAXEjrP3NL8m,lGzz2K1NdEk,True,author_4422,2026-05-25T17:25:23Z,2026-05-25T17:25:23Z,2,@user hai mai visto sparare da una stazione di servizio al altra in autostrada?,UgwS_LeyKf3Csn7UD0V4AaABAg.AXEK4D_GTLsAXEjrP3NL8m,2,lastampa,author_4422
UgylLpONiZYL59RI10p4AaABAg.AXEZJmZT1S7AXEsav8ujGw,UgylLpONiZYL59RI10p4AaABAg,lGzz2K1NdEk,True,author_4424,2026-05-25T18:18:20Z,2026-05-25T18:18:20Z,0,a me fa pena la gente come te,UgylLpONiZYL59RI10p4AaABAg,1,lastampa,author_4424
UgwMLVD8P9eu-6lQ_aZ4AaABAg,,lGzz2K1NdEk,False,author_940,2026-05-25T18:41:19Z,2026-05-25T18:41:19Z,1,"Che meraviglia le regole del gioco politico italiano. Quando a Torino c'era Chiara Appendino, la responsabilità di qualsiasi disordine era automaticamente sua, anche se non c'entrava nulla. Oggi, dopo gli scontri di ieri, scopriamo che il sindaco in carica gode di una miracolosa immunità e nessuno gli chiede il conto. Il solito, impeccabile sistema giudiziario e politico dei due pesi e due misure, dove la colpa dipende rigorosamente dal colore della tessera di partito. PS: Ecco perché mi rifiuto di andare a votare solo per ingrassare questo sistema politico corrotto! 🤮🇮🇹🤮🇮🇹🤡🇮🇹🤡",,0,lastampa,author_940
UgwvKzQ5hUPcERC4_mh4AaABAg,,lGzz2K1NdEk,False,author_2396,2026-05-25T20:20:04Z,2026-05-25T20:20:04Z,0,"Non essendosi scontrati con i tifosi del Torino si riesce ad affermare che sia stato colpito da un tifoso Juventino. A me del tifo non frega assolutamente e chi va a fare violenze per esso mi fa schifo, ma neanche così però eh. Potrebbe essere stato anche un meteorite, perché no?Una pigna o un cocco.",,0,lastampa,author_2396
UgwS_LeyKf3Csn7UD0V4AaABAg.AXEK4D_GTLsAXF5hIosr5P,UgwS_LeyKf3Csn7UD0V4AaABAg,lGzz2K1NdEk,True,author_2396,2026-05-25T20:21:32Z,2026-05-25T20:21:32Z,0,Ci sono dei protocolli nel lancio dei lacrimogeni pezzo di pirla che non sei altro. La polizia dovrebbe garantire l'ordine pubblico e la sicurezza non essere la causa del danno. So già per chi vota un ignorante del genere.,UgwS_LeyKf3Csn7UD0V4AaABAg,1,lastampa,author_2396
UgyChMQUVg2-hJpBpE14AaABAg,,lGzz2K1NdEk,False,author_1442,2026-05-27T17:44:18Z,2026-05-27T17:44:18Z,0,Sicuramente la sua imbecillità,,0,lastampa,author_1442
Ugwqg3ArBG73GmWlCIl4AaABAg,,lGzz2K1NdEk,False,author_809,2026-05-27T18:28:17Z,2026-05-27T18:28:17Z,0,Se nadava ad annaffiare i pomodori non succedeva.,,0,lastampa,author_809
