comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxWgG6vwXKdlaWmJdp4AaABAg,,m4LD6miuPVM,False,author_4571,2026-05-22T11:13:58Z,2026-05-22T11:13:58Z,4,"Poteva fare come la Salis, invece ha classe.",,0,lastampa,author_4571
UgwHT3OQr1aYnteO2DF4AaABAg,,m4LD6miuPVM,False,author_4853,2026-05-22T12:30:30Z,2026-05-22T12:30:30Z,0,Seee.. .😂😂😂😂,,0,lastampa,author_4853
UgxWgG6vwXKdlaWmJdp4AaABAg.AX6Oe9IAHEjAX6YZ6h18yY,UgxWgG6vwXKdlaWmJdp4AaABAg,m4LD6miuPVM,True,author_1073,2026-05-22T12:40:31Z,2026-05-22T12:40:31Z,1,ma vai a cagare,UgxWgG6vwXKdlaWmJdp4AaABAg,1,lastampa,author_1073
UgxvTBrpLoR2V3DxM7R4AaABAg,,m4LD6miuPVM,False,author_4854,2026-05-22T12:54:39Z,2026-05-22T12:54:39Z,4,La classe nn è acqua,,0,lastampa,author_4854
Ugy_P_VCHglisWsDjIN4AaABAg,,m4LD6miuPVM,False,author_4855,2026-05-22T13:25:21Z,2026-05-22T13:25:21Z,7,Sempre impeccabile presidente Meloni ❤,,0,lastampa,author_4855
UgxWgG6vwXKdlaWmJdp4AaABAg.AX6Oe9IAHEjAX6fjBf7MCg,UgxWgG6vwXKdlaWmJdp4AaABAg,m4LD6miuPVM,True,author_526,2026-05-22T13:51:56Z,2026-05-22T13:51:56Z,0,@author_1073 fa male! Lo so! Lo sappiamo! Vi siete cotti nella vostra arroganza e rosolati nel vostro livore 😂,UgxWgG6vwXKdlaWmJdp4AaABAg.AX6Oe9IAHEjAX6YZ6h18yY,2,lastampa,author_526
UgxsuVgwsZOjlDS9Njd4AaABAg,,m4LD6miuPVM,False,author_4856,2026-05-22T14:24:38Z,2026-05-22T14:24:38Z,1,Grandissima Giorgia❤❤❤❤,,0,lastampa,author_4856
UgwFau4Pna9ssc5Fjzd4AaABAg,,m4LD6miuPVM,False,author_4857,2026-05-22T14:43:03Z,2026-05-22T14:43:03Z,2,A casa...,,0,lastampa,author_4857
UgwqqU9T5MbxnkXajZx4AaABAg,,m4LD6miuPVM,False,author_4858,2026-05-22T21:17:21Z,2026-05-22T21:17:21Z,0,Meloni ex barista...,,0,lastampa,author_4858
UgxWgG6vwXKdlaWmJdp4AaABAg.AX6Oe9IAHEjAX8B2AFPgeE,UgxWgG6vwXKdlaWmJdp4AaABAg,m4LD6miuPVM,True,author_1073,2026-05-23T03:53:32Z,2026-05-23T03:53:32Z,0,@author_526 ma cagati in bocca somaro!!,UgxWgG6vwXKdlaWmJdp4AaABAg.AX6Oe9IAHEjAX6fjBf7MCg,3,lastampa,author_1073
Ugz-Gn1qKjadDvU6uxV4AaABAg,,m4LD6miuPVM,False,author_4859,2026-05-23T04:37:43Z,2026-05-23T04:37:43Z,3,Come sempre ciò che dice è chiaro ed esplicativo! Possono raccontare tutte le frottole che vogliono ma lei smonta e fa emergere la verità! UNICA ❤,,0,lastampa,author_4859
UgxWgG6vwXKdlaWmJdp4AaABAg.AX6Oe9IAHEjAX8Lhrijo1K,UgxWgG6vwXKdlaWmJdp4AaABAg,m4LD6miuPVM,True,author_526,2026-05-23T05:26:44Z,2026-05-23T05:26:44Z,0,"@author_1073 fa male ... brucia, lo so...ne non rimane che l'insulto!",UgxWgG6vwXKdlaWmJdp4AaABAg.AX6Oe9IAHEjAX8B2AFPgeE,4,lastampa,author_526
UgxWgG6vwXKdlaWmJdp4AaABAg.AX6Oe9IAHEjAX8N2sKYLZR,UgxWgG6vwXKdlaWmJdp4AaABAg,m4LD6miuPVM,True,author_1073,2026-05-23T05:38:29Z,2026-05-23T05:38:29Z,0,@author_526 insulto è una persona come te che sostiene sto governo di incapaci. Somaro,UgxWgG6vwXKdlaWmJdp4AaABAg.AX6Oe9IAHEjAX8Lhrijo1K,5,lastampa,author_1073
Ugy_P_VCHglisWsDjIN4AaABAg.AX6cgSh20oFAX8N4_RRYmT,Ugy_P_VCHglisWsDjIN4AaABAg,m4LD6miuPVM,True,author_1073,2026-05-23T05:38:43Z,2026-05-23T05:38:43Z,0,ma cagati in bocca,Ugy_P_VCHglisWsDjIN4AaABAg,1,lastampa,author_1073
UgyJJpDRXZPm0z4ExP14AaABAg,,m4LD6miuPVM,False,author_4860,2026-05-23T14:30:58Z,2026-05-23T14:31:29Z,1,È da quando sono nato (1987) che i treni arrivano in ritardo. E forse anche da prima degli anni 80; caro Renzi... 🙄🚂🚂🚂,,0,lastampa,author_4860
UgzAyHYglG9M2SU1kdh4AaABAg,,m4LD6miuPVM,False,author_4861,2026-05-23T19:33:23Z,2026-05-23T19:33:23Z,0,"Se perdo il referendum, lascio la politica, disse un toscano.",,0,lastampa,author_4861
UgzWlnnZ4Vw9PDg_ObB4AaABAg,,m4LD6miuPVM,False,author_2300,2026-05-24T12:17:26Z,2026-05-24T12:17:26Z,1,Ma i fasciomeloniani non provano neanche un po' di vergogna a fare i troll da tastiera che difendono il Governo di Gioggia che sta distruggendo questo paese?,,0,lastampa,author_2300
UgwcovcKR2BTmEkrl-R4AaABAg,,m4LD6miuPVM,False,author_782,2026-05-24T16:12:46Z,2026-05-24T16:12:46Z,1,Ti sei infuriata come sempre...poveraccia,,0,lastampa,author_782
UgxvTBrpLoR2V3DxM7R4AaABAg.AX6_A_qH2_pAXC4Ufa00gu,UgxvTBrpLoR2V3DxM7R4AaABAg,m4LD6miuPVM,True,author_782,2026-05-24T16:13:13Z,2026-05-24T16:13:32Z,0,😂😂😂 era incazzata nera...la verità fa male,UgxvTBrpLoR2V3DxM7R4AaABAg,1,lastampa,author_782
