comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxIrYrzAy3czPDhwN54AaABAg,,y1Qb9O7YhHM,False,author_1792,2026-05-23T10:24:51Z,2026-05-23T10:24:51Z,0,Venezia è dagli anni 80 in poi che a parte il giro turistico iniziava a chiudere le piccole attività,,0,lastampa,author_1792
UgzpBCgt9jMRWtcZKY94AaABAg,,y1Qb9O7YhHM,False,author_4557,2026-05-23T11:15:35Z,2026-05-23T11:15:35Z,3,"Italia sta diventando uno zoo da visitare e basta. Siamo caduti veramente in basso, eravamo la quarta potenza economica mondiale con industrie, territorio, gente operosa e capace. Mi dispiace tanto vedere il mio paese che muore. 😢",,0,lastampa,author_4557
Ugw3CbexZo43JJMw7mJ4AaABAg,,y1Qb9O7YhHM,False,author_4124,2026-05-23T12:08:55Z,2026-05-23T12:08:55Z,1,Speriamo di sprofondare con tutto,,0,lastampa,author_4124
Ugz7KbCjdPnod-ZrYa14AaABAg,,y1Qb9O7YhHM,False,author_4396,2026-05-23T12:20:00Z,2026-05-23T12:20:00Z,0,"I negozi chiudono perché i vostri padroni ( le grandi multinazionali ! ) gli fanno una concorrenza spietata, con la complicità dei vostri compagni di merende, sia di destra che di sinistra. Ma ancora vi guardate allo specchio la mattina ?",,0,lastampa,author_4396
UgzpBCgt9jMRWtcZKY94AaABAg.AX8ycwe1AdBAX9933G6BY2,UgzpBCgt9jMRWtcZKY94AaABAg,y1Qb9O7YhHM,True,author_871,2026-05-23T12:55:25Z,2026-05-23T12:55:25Z,1,"Che palle con questa storia della potenza economica, dell'industria, del lavoro e di sti cazzi.. Sempre lavoro, lavoro e lavoro. Mamma mia, quando vivevo in Olanda lavoravo e facevo le cose che faccio ora, ma mi divertivo molto di più. Da coglione sono tornato in Italia e sento solo parlare di lavoro, soldi, soldi, lavoro, aziende, industrie. Che noia",UgzpBCgt9jMRWtcZKY94AaABAg,1,lastampa,author_871
UgwZhEdgXb1Icv-xwdR4AaABAg,,y1Qb9O7YhHM,False,author_2275,2026-05-23T13:30:26Z,2026-05-23T13:30:26Z,0,"Bene ricordarsi che esiste anche un over turism ipocrita, mascherato da ""amore"" per l'ambiente..... vedi il degrado di improbabili percorsi sulla Francigena con bici, cavalli e pedoni di città incuranti dei luoghi che stanno frequentando",,0,lastampa,author_2275
Ugz25iK3xB9Hq8ck7Mx4AaABAg,,y1Qb9O7YhHM,False,author_4558,2026-05-24T06:31:38Z,2026-05-24T06:31:38Z,0,Già negli anni 80 mi chiedevo come sopportassero gli abitanti di queste due città la presenza di così tanta gente in città!!! Figuriamoci ora ...credo praticamente invivibili,,0,lastampa,author_4558
Ugz2JVRyA6fkf2BwUC54AaABAg,,y1Qb9O7YhHM,False,author_4559,2026-05-24T08:30:16Z,2026-05-24T08:30:16Z,1,"Vivo a roma. Impossibile ormai fare una vita normale. La metro e' un carro bestiame con turisti con valigioni. In centeo non si cammina. Affitti folli a causa di b&b ovunque che riducono offerta di case da affittare, prezzi raddoppiati da dopo il giubileo. Le citta' italiane resteranno delle disneyland per turisti con gli italiani a vivere nelle periferie.",,0,lastampa,author_4559
Ugwzt_231_Qm-d0ABtF4AaABAg,,y1Qb9O7YhHM,False,author_4560,2026-05-24T16:24:13Z,2026-05-24T16:24:13Z,0,"Ormai ,siamo arrivati ad un punto di nn ritorno ...tt cambiato dopo il covid.Speculazione colpa del sistema....del governo....delle guerre....ecc.....che m",,0,lastampa,author_4560
Ugy-FPoSVz4w0LygWhl4AaABAg,,y1Qb9O7YhHM,False,author_4561,2026-05-24T18:38:56Z,2026-05-24T18:38:56Z,0,Un grande troiaio!Che caproni!,,0,lastampa,author_4561
UgzKKMP-zGslDQl6jvx4AaABAg,,y1Qb9O7YhHM,False,author_4010,2026-05-25T16:53:34Z,2026-05-25T16:53:34Z,0,"Il paese sta morendo. Gli italiani si stanno impoverendo e stanno scomparendo. Niente più industria, niente più ricerca,niente più cultura. Solo un decadente lunapark per ricchi americani, cinesi, arabi. Urge un risveglio nazionale per invertire il declino!",,0,lastampa,author_4010
