comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugy_7o0o6dww9FMIxSh4AaABAg,,-iZKZGgtagI,False,author_187,2026-05-27T11:36:58Z,2026-05-27T11:36:58Z,0,Nnaccia a loro,,0,repubblica,author_187
Ugz6b-Tykng7yOt-xjp4AaABAg,,-iZKZGgtagI,False,author_188,2026-05-27T11:45:42Z,2026-05-27T11:45:42Z,5,"Ho quella strana voglia di vedere i novax trattare l'ebola come il coronavirus, if you know what I mean",,0,repubblica,author_188
Ugxk6GxI9cbm4lYySEx4AaABAg,,-iZKZGgtagI,False,author_189,2026-05-27T11:48:29Z,2026-05-27T11:48:29Z,1,Perché tutti questi bravi cooperanti non rimangono in Congo finché non è passato tutto? E dobbiamo anche dirgli grazie,,0,repubblica,author_189
Ugz6b-Tykng7yOt-xjp4AaABAg.AXJKFxFJ7OhAXJL4d8U0uL,Ugz6b-Tykng7yOt-xjp4AaABAg,-iZKZGgtagI,True,author_190,2026-05-27T11:52:53Z,2026-05-27T11:52:53Z,2,"Sei sicura che dicani la verita,forse hanno finito i soldi del covid",Ugz6b-Tykng7yOt-xjp4AaABAg,1,repubblica,author_190
Ugz6b-Tykng7yOt-xjp4AaABAg.AXJKFxFJ7OhAXJMGu8vr6X,Ugz6b-Tykng7yOt-xjp4AaABAg,-iZKZGgtagI,True,author_191,2026-05-27T12:03:18Z,2026-05-27T12:03:18Z,0,"Ho quella strana voglia di vederti punto un'altra volta, piccolo covidiota",Ugz6b-Tykng7yOt-xjp4AaABAg,1,repubblica,author_191
UgxB34hSrn9W4_EljSd4AaABAg,,-iZKZGgtagI,False,author_192,2026-05-27T12:30:44Z,2026-05-27T12:30:44Z,3,Serve che chi va in paesi con epidemie simili resti in quarantena un quei paesi no da noi. Se ci sono voluti andare non deve pagare il popolo,,0,repubblica,author_192
UgwN12pmEozRlqQPmxh4AaABAg,,-iZKZGgtagI,False,author_193,2026-05-27T13:26:12Z,2026-05-27T13:26:12Z,2,"SMETTETE DI FARE PAURA ALLA GENTE, SMETTERE DI DIRE BUGIE , EBOLA NON È CONTAGIOSO VIA AEREA MA SOLO ATTRAVERSO FLUIDI E CONTATTI INTIMI",,0,repubblica,author_193
Ugyaydvak6dSJ_hO6Nx4AaABAg,,-iZKZGgtagI,False,author_194,2026-05-27T13:33:19Z,2026-05-27T13:33:19Z,0,"L'ebola non ha una cura La mortalità e circa da 70% a 90% in alcuni ceppi Potevano stare in Congo/Uganda,ma no! Dovevano venire a scartarci le 🏀🏀",,0,repubblica,author_194
Ugz6b-Tykng7yOt-xjp4AaABAg.AXJKFxFJ7OhAXJz9kEuT94,Ugz6b-Tykng7yOt-xjp4AaABAg.AXJKFxFJ7OhAXJL4d8U0uL,-iZKZGgtagI,True,author_188,2026-05-27T17:51:51Z,2026-05-27T17:51:51Z,2,@author_190 puoi ripeterlo in italiano stavolta?,Ugz6b-Tykng7yOt-xjp4AaABAg.AXJKFxFJ7OhAXJL4d8U0uL,2,repubblica,author_188
UgytW6SfudPqZyHOPjZ4AaABAg,,-iZKZGgtagI,False,author_20,2026-05-28T03:56:41Z,2026-05-28T03:56:41Z,0,"Mi domando. Ma perché cazzo dovete veni tutti in Italia? Fai il test, resta lì se sei sospettata e una volta sicura torna qua. Invece fate sempre come cazzo vi pare. Esistono dei protocolli appositi",,0,repubblica,author_20
Ugz6b-Tykng7yOt-xjp4AaABAg.AXJKFxFJ7OhAXL8-ocBIeB,Ugz6b-Tykng7yOt-xjp4AaABAg,-iZKZGgtagI,True,author_124,2026-05-28T04:37:07Z,2026-05-28T04:37:07Z,0,@author_188 punteggiato se possibile,Ugz6b-Tykng7yOt-xjp4AaABAg,1,repubblica,author_124
UgyTFyop6Q5-ElTdcOJ4AaABAg,,-iZKZGgtagI,False,author_195,2026-05-28T07:53:12Z,2026-05-28T07:53:12Z,0,Avete cominciato di nuovo con le bugie???? Smettetelaaaaa!!!!!,,0,repubblica,author_195
UgwvqdNceMZZ4N8ME4V4AaABAg,,-iZKZGgtagI,False,author_196,2026-05-28T08:02:06Z,2026-05-28T08:02:06Z,0,Speriamo bene. A me il COVID mi a massacrato.😢,,0,repubblica,author_196
UgwN12pmEozRlqQPmxh4AaABAg.AXJVl6IW7rgAXM4D8W5O2J,UgwN12pmEozRlqQPmxh4AaABAg,-iZKZGgtagI,True,author_197,2026-05-28T13:23:14Z,2026-05-28T13:23:14Z,0,Nessuno ha mai detto il contrario,UgwN12pmEozRlqQPmxh4AaABAg,1,repubblica,author_197
