comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugw1exV_SSoAS8Tt1tl4AaABAg,,-qEPZ_-L5A8,False,author_423,2026-05-27T07:36:53Z,2026-05-27T07:36:53Z,2,Questa notizia ha dell'incredibile....aggressore fugge in treno: non aveva fretta.,,0,repubblica,author_423
Ugy_n5uv3LWRRJLDK9l4AaABAg,,-qEPZ_-L5A8,False,author_424,2026-05-27T07:42:10Z,2026-05-27T07:42:10Z,0,Immagino che l'aggressore fosse un migrante. Se fosse stato un italiano lo avreste precisato. Ti conosco mascherina.,,0,repubblica,author_424
Ugw4sJ_zCEV9ISGxS-14AaABAg,,-qEPZ_-L5A8,False,author_425,2026-05-27T07:42:41Z,2026-05-27T07:42:41Z,6,Nulla di nuovo sotto il Sole musulmano Europeo ...e poi criticate l esercito Israeliano che fa pulizia 😂😂😂😂,,0,repubblica,author_425
UgwWjB3Uddca95DMD1Z4AaABAg,,-qEPZ_-L5A8,False,author_213,2026-05-27T07:52:53Z,2026-05-27T07:52:53Z,15,Via non provo neanche a scommettere sarà una delle famose risorse che ci dovrebbero pagare le pensioni?,,0,repubblica,author_213
Ugw4sJ_zCEV9ISGxS-14AaABAg.AXItS3Cns3-AXIucf3DJKp,Ugw4sJ_zCEV9ISGxS-14AaABAg,-qEPZ_-L5A8,True,author_175,2026-05-27T07:53:00Z,2026-05-27T07:53:00Z,0,😂😂😂 ma dove hai letto che son musulmani... Ci illumini... Perchè ci sono altri articoli che parlano della stessa vicenda...,Ugw4sJ_zCEV9ISGxS-14AaABAg,1,repubblica,author_175
Ugw1exV_SSoAS8Tt1tl4AaABAg.AXIsma2V-kGAXIunOoUyWc,Ugw1exV_SSoAS8Tt1tl4AaABAg,-qEPZ_-L5A8,True,author_213,2026-05-27T07:54:28Z,2026-05-27T07:54:28Z,1,La preoccupazione e per chi viaggia su quel convoglio magari e ancora armato..,Ugw1exV_SSoAS8Tt1tl4AaABAg,1,repubblica,author_213
Ugw4sJ_zCEV9ISGxS-14AaABAg.AXItS3Cns3-AXIv95Of2pE,Ugw4sJ_zCEV9ISGxS-14AaABAg,-qEPZ_-L5A8,True,author_61,2026-05-27T07:57:34Z,2026-05-27T07:57:34Z,0,"E niente, vittima e aggressori sono sudamericani, quindi statisticamente di fede cattolica. Altro razzismo spicciolo ne hai?",Ugw4sJ_zCEV9ISGxS-14AaABAg,1,repubblica,author_61
UgwWjB3Uddca95DMD1Z4AaABAg.AXIuboFEe66AXIvHu7imPA,UgwWjB3Uddca95DMD1Z4AaABAg,-qEPZ_-L5A8,True,author_61,2026-05-27T07:58:46Z,2026-05-27T07:58:46Z,3,"Prova a chiedere a chi governa da 3 anni ed è la stessa compagine politica che ha coniato il termine ""risorse"" in senso dispregiativo. Sto ancora aspettando le loro mirabolanti riforme che avrebbero ridato l'Italia agli italiani.",UgwWjB3Uddca95DMD1Z4AaABAg,1,repubblica,author_61
Ugw1exV_SSoAS8Tt1tl4AaABAg.AXIsma2V-kGAXIvJqX-JIl,Ugw1exV_SSoAS8Tt1tl4AaABAg.AXIsma2V-kGAXIunOoUyWc,-qEPZ_-L5A8,True,author_61,2026-05-27T07:59:02Z,2026-05-27T07:59:02Z,2,@user per il tuo italiano,Ugw1exV_SSoAS8Tt1tl4AaABAg.AXIsma2V-kGAXIunOoUyWc,2,repubblica,author_61
Ugw4sJ_zCEV9ISGxS-14AaABAg.AXItS3Cns3-AXIw6A35mt4,Ugw4sJ_zCEV9ISGxS-14AaABAg,-qEPZ_-L5A8,True,author_247,2026-05-27T08:05:55Z,2026-05-27T08:05:55Z,0,Un commento da incorniciare !!!!! Ti stimo davvero 👍,Ugw4sJ_zCEV9ISGxS-14AaABAg,1,repubblica,author_247
