comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugwp13DXK__KGgNlMkZ4AaABAg,,2JFEUWn3AL8,False,author_144,2026-05-24T15:52:57Z,2026-05-24T15:52:57Z,5,"""rimanendo uniti come squadra"" Sempre Jasmine paolini : decide di abbandonare il team con la Errani per pensare al singolo 😂🤣😂🤣",,0,repubblica,author_144
UgyFa-hXx5EvuiXJxih4AaABAg,,2JFEUWn3AL8,False,author_144,2026-05-24T15:53:47Z,2026-05-24T15:53:47Z,2,Geniale il trigger di checco,,0,repubblica,author_144
Ugwnmc-huwTxDe4aHtd4AaABAg,,2JFEUWn3AL8,False,author_176,2026-05-24T15:59:15Z,2026-05-24T15:59:15Z,1,Repubblica è pubblicare notizie che contemplino i diversi punti di vista oltre a tante altre cose ma la più importante è questa,,0,repubblica,author_176
Ugwp13DXK__KGgNlMkZ4AaABAg.AXC2AGmnfN6AXC3AQoQrma,Ugwp13DXK__KGgNlMkZ4AaABAg,2JFEUWn3AL8,True,author_119,2026-05-24T16:01:43Z,2026-05-24T16:01:43Z,1,Forse perché la Errani ormai ha 117 anni? 😂,Ugwp13DXK__KGgNlMkZ4AaABAg,1,repubblica,author_119
Ugwp13DXK__KGgNlMkZ4AaABAg.AXC2AGmnfN6AXC3Sib6FdL,Ugwp13DXK__KGgNlMkZ4AaABAg,2JFEUWn3AL8,True,author_9,2026-05-24T16:04:13Z,2026-05-24T16:04:13Z,0,😂😂😂😂,Ugwp13DXK__KGgNlMkZ4AaABAg,1,repubblica,author_9
UgyeNEInTuv6JvxTNON4AaABAg,,2JFEUWn3AL8,False,author_2476,2026-05-24T16:05:00Z,2026-05-24T16:05:00Z,4,E X VOI IL POPOLO COS'È...??? INTENDO GLI ULTIMI... QUELLI CHE HANNO IL SALARIO BASSO PUR LAVORANDO... QUELLI DOVE SI RISCONTRANO I > PROBLEMI CON GLI IMMIGRATI... X LORO COSA VORRESTE...?,,0,repubblica,author_2476
Ugzucx7tYPsjHi2n4SR4AaABAg,,2JFEUWn3AL8,False,author_2530,2026-05-24T16:05:39Z,2026-05-24T16:05:39Z,0,Mattarella dovrebbe andare in un ospizio. Queste sono tutte spese inutili,,0,repubblica,author_2530
UgxxwiLtri1lz2wNuYx4AaABAg,,2JFEUWn3AL8,False,author_1528,2026-05-24T16:12:48Z,2026-05-24T16:12:48Z,1,Mahhhh.... e' una republica o una monarchia....forse zalone non ha Ben Chiara la differenza,,0,repubblica,author_1528
UgzXmuJ5HU5sMn5pSuJ4AaABAg,,2JFEUWn3AL8,False,author_1528,2026-05-24T16:13:23Z,2026-05-24T16:13:23Z,0,Chissa' Quanto Sono stati pagati x dire ste' Minch*ate,,0,repubblica,author_1528
UgzDyiDxGnCvIaRxDdJ4AaABAg,,2JFEUWn3AL8,False,author_2531,2026-05-24T16:14:52Z,2026-05-24T16:14:52Z,4,Firmate tutti per togliere i finanziamenti pubblici ai giornali è molto importante in rete trovate le indicazioni ripeto é molto importante,,0,repubblica,author_2531
