comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxBdBC5Wx76wyh6ZNd4AaABAg,,6h8EVfTIEAQ,False,author_242,2026-05-27T10:17:25Z,2026-05-27T10:17:38Z,15,Ormai vengono a fare turismo del teppismo anche a Quarto Oggiaro. Una volta non ci avrebbero neanche pensato lontanamente ma non è ancora finita...,,0,repubblica,author_242
UgzVYSVidriz6SSCb0V4AaABAg,,6h8EVfTIEAQ,False,author_129,2026-05-27T10:29:22Z,2026-05-27T10:29:22Z,0,"10 risorse contro 1 risorsa? 10 risorse contro un bravo immigrato? Cmq la metti il, problema son sempre loro",,0,repubblica,author_129
UgxTjM_F_qiA1btg7Cp4AaABAg,,6h8EVfTIEAQ,False,author_243,2026-05-27T10:31:06Z,2026-05-27T10:31:06Z,45,Povero ragazzo! 22 anni..una vita davanti.violenza gratuita.!!,,0,repubblica,author_243
UgxMujorvy89MBULxqd4AaABAg,,6h8EVfTIEAQ,False,author_244,2026-05-27T10:36:34Z,2026-05-27T10:36:34Z,0,Armiamoci,,0,repubblica,author_244
UgxLuQRXyU-wZVimypN4AaABAg,,6h8EVfTIEAQ,False,author_245,2026-05-27T10:37:37Z,2026-05-27T10:37:37Z,0,Saranno pazzi da capire e recuperare anche questi??? Nazionalità?....Ah già.... è la 12 ma generazione....,,0,repubblica,author_245
UgxXDpvbN38x9O3AKe54AaABAg,,6h8EVfTIEAQ,False,author_246,2026-05-27T10:38:11Z,2026-05-27T10:38:11Z,1,Assassini,,0,repubblica,author_246
UgxXDpvbN38x9O3AKe54AaABAg.AXJCXPGN1KVAXJCgHA91n2,UgxXDpvbN38x9O3AKe54AaABAg,6h8EVfTIEAQ,True,author_247,2026-05-27T10:39:31Z,2026-05-27T10:39:31Z,0,"Hai detto bene , sono “ assassini “ Anche se minorenni devono andare in galera a VITA !!!!!!!",UgxXDpvbN38x9O3AKe54AaABAg,1,repubblica,author_247
Ugyfg5GmRuVfWaQgduZ4AaABAg,,6h8EVfTIEAQ,False,author_248,2026-05-27T10:40:20Z,2026-05-27T10:40:20Z,0,Bande sud - americane ???????,,0,repubblica,author_248
UgzwMM8D9sHM1lgbZ3x4AaABAg,,6h8EVfTIEAQ,False,author_249,2026-05-27T10:40:43Z,2026-05-27T11:53:24Z,10,Scandinavia ancora...,,0,repubblica,author_249
UgzwMM8D9sHM1lgbZ3x4AaABAg.AXJCp0SBTLFAXJCvunWwoY,UgzwMM8D9sHM1lgbZ3x4AaABAg,6h8EVfTIEAQ,True,author_250,2026-05-27T10:41:40Z,2026-05-27T10:41:40Z,1,Lei sa già chi sia stato?,UgzwMM8D9sHM1lgbZ3x4AaABAg,1,repubblica,author_250
UgzwMM8D9sHM1lgbZ3x4AaABAg.AXJCp0SBTLFAXJCyNzIV1I,UgzwMM8D9sHM1lgbZ3x4AaABAg,6h8EVfTIEAQ,True,author_251,2026-05-27T10:42:00Z,2026-05-27T10:42:00Z,0,"Ma che ne sai scemo,erano tutti italiani idiota razzista di merda",UgzwMM8D9sHM1lgbZ3x4AaABAg,1,repubblica,author_251
UgxHNdLQkfKMQZKWe9d4AaABAg,,6h8EVfTIEAQ,False,author_210,2026-05-27T10:42:02Z,2026-05-27T10:42:02Z,28,"È sconvolgente. Tante, troppe notizie come questa!",,0,repubblica,author_210
UgzwMM8D9sHM1lgbZ3x4AaABAg.AXJCp0SBTLFAXJD3-Q8w-n,UgzwMM8D9sHM1lgbZ3x4AaABAg,6h8EVfTIEAQ,True,author_52,2026-05-27T10:42:46Z,2026-05-27T10:42:46Z,0,Sudamericani. Studia la geografia va.,UgzwMM8D9sHM1lgbZ3x4AaABAg,1,repubblica,author_52
