comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugx0_RYqdV5IXli27c14AaABAg,,6jBEH_OCSDI,False,author_345,2026-05-27T10:51:14Z,2026-05-27T10:51:14Z,1,Che notizia.😮,,0,repubblica,author_345
UgylqIgI6JJBZvnQMOV4AaABAg,,6jBEH_OCSDI,False,author_92,2026-05-27T11:04:29Z,2026-05-27T11:04:29Z,4,Minkia notiziona,,0,repubblica,author_92
Ugx45-p7gN2RLBldQO94AaABAg,,6jBEH_OCSDI,False,author_346,2026-05-27T11:25:30Z,2026-05-27T11:25:30Z,0,Comunque ottima scelta della location😉,,0,repubblica,author_346
UgxIpiNKw6kEBD8wgER4AaABAg,,6jBEH_OCSDI,False,author_188,2026-05-27T11:47:35Z,2026-05-27T11:47:35Z,9,Non avrei dormito stanotte al solo pensiero di non sapere questo fatto,,0,repubblica,author_188
UgwNYLOQUGx9YIbWWH14AaABAg,,6jBEH_OCSDI,False,author_120,2026-05-28T03:26:31Z,2026-05-28T03:26:31Z,0,il cazzo che ce ne fotte,,0,repubblica,author_120
Ugy7OtIiD5uZRN9mmg14AaABAg,,6jBEH_OCSDI,False,author_347,2026-05-28T03:36:09Z,2026-05-28T03:36:09Z,1,Proprio una grande notizia da giornalai di repubblica,,0,repubblica,author_347
Ugw-yp2IpWB1AJnqMl54AaABAg,,6jBEH_OCSDI,False,author_348,2026-05-28T04:14:58Z,2026-05-28T04:14:58Z,1,"Vediamo quanto durano, le scommesse sono aperte 😂😂😂",,0,repubblica,author_348
UgxRu0RzQXqKTCwRv4B4AaABAg,,6jBEH_OCSDI,False,author_349,2026-05-28T05:51:21Z,2026-05-28T05:51:21Z,1,...e STIGRANCAZZI non ce lo vogliamo mettere ?,,0,repubblica,author_349
UgyS-Xsvg0xotjoHq9x4AaABAg,,6jBEH_OCSDI,False,author_41,2026-05-28T06:46:27Z,2026-05-28T06:46:27Z,1,Ecco i radicali...🤡🤣,,0,repubblica,author_41
UgzQUD23bZO1fksaCJF4AaABAg,,6jBEH_OCSDI,False,author_350,2026-05-28T08:44:35Z,2026-05-28T08:44:35Z,1,CHI CAZZO SE NE FREGA,,0,repubblica,author_350
UgzOkHx6KllDhvtEAA54AaABAg,,6jBEH_OCSDI,False,author_351,2026-05-28T08:56:18Z,2026-05-28T08:56:18Z,1,"Miiiiiiiiiinchia, lungo come matrimonio oh !!! 😮😮😮",,0,repubblica,author_351
UgzZzEvsC5FphWGmjCd4AaABAg,,6jBEH_OCSDI,False,author_352,2026-05-28T09:32:04Z,2026-05-28T09:32:04Z,0,E sti cazzi,,0,repubblica,author_352
Ugzu-syGkSx1qc45N1R4AaABAg,,6jBEH_OCSDI,False,author_14,2026-05-28T10:51:05Z,2026-05-28T10:51:05Z,1,Spero solo che non mi arrivi la partecipazione.,,0,repubblica,author_14
UgxIBFhQpzYLLh_5zk54AaABAg,,6jBEH_OCSDI,False,author_353,2026-05-28T11:25:36Z,2026-05-28T11:25:36Z,1,Ero in ansia. Adesso sono più tranquillo.grazie,,0,repubblica,author_353
UgwZuQkOO3pcjYNFaTF4AaABAg,,6jBEH_OCSDI,False,author_354,2026-05-28T11:39:39Z,2026-05-28T11:39:39Z,1,Povera vita..,,0,repubblica,author_354
UgyCkpcpIFYxaqQC9yp4AaABAg,,6jBEH_OCSDI,False,author_355,2026-05-28T12:13:29Z,2026-05-28T12:13:29Z,1,E chi se ne frega 😂😂😂😂,,0,repubblica,author_355
UgxnL84D-mWzhUvG0Ip4AaABAg,,6jBEH_OCSDI,False,author_292,2026-05-28T16:01:55Z,2026-05-28T16:01:55Z,0,Augurissimi!!!!!,,0,repubblica,author_292
