comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzI6GstW0oIr_1Tmnl4AaABAg,,CClbcflccg8,False,author_86,2026-05-25T14:01:02Z,2026-05-25T14:01:02Z,0,We🎉,,0,repubblica,author_86
UgxN0PoD1v_NrkrnrUt4AaABAg,,CClbcflccg8,False,author_1960,2026-05-25T14:10:50Z,2026-05-25T14:10:50Z,10,Secondo me ma forse mi sbaglio ho come il presentimento che ci vogliono fare fuori boh,,0,repubblica,author_1960
UgzTaeeAkT8X2j2yWMh4AaABAg,,CClbcflccg8,False,author_1961,2026-05-25T14:10:51Z,2026-05-25T14:10:51Z,8,E si ricomincia......😢,,0,repubblica,author_1961
Ugyt9GXevf8suKi1h5N4AaABAg,,CClbcflccg8,False,author_231,2026-05-25T14:14:37Z,2026-05-25T14:14:37Z,9,"La soluzione c’è ed è semplice,ma qualcuno poi tira in ballo il diritto internazionale ,la discriminazione e tutte balle come questa",,0,repubblica,author_231
UgzuiB_8-ByDwry1pOJ4AaABAg,,CClbcflccg8,False,author_1962,2026-05-25T14:25:25Z,2026-05-25T14:25:25Z,0,😂😂😂😂😂😂😂😂,,0,repubblica,author_1962
UgxuXpFf-DtKAAZrxRR4AaABAg,,CClbcflccg8,False,author_194,2026-05-25T14:32:13Z,2026-05-25T14:32:13Z,3,Non quello schifo dell' ebola Ho visto il virus al microscopio e me ne pento,,0,repubblica,author_194
Ugw2bVP-dShpag9PcAJ4AaABAg,,CClbcflccg8,False,author_1963,2026-05-25T14:34:24Z,2026-05-25T14:34:24Z,4,Ci mancava anche Ebola dopo Hantavirus Non so cosa pensare O meglio lo so.....,,0,repubblica,author_1963
UgzRtSj8dH6h3CwIVnB4AaABAg,,CClbcflccg8,False,author_1930,2026-05-25T15:36:43Z,2026-05-25T15:36:43Z,1,"Cari no vax , si vax e forse vax con Ebola c'è un grande vantaggio . Crepi e basta, quindi è inutile dire minchiate",,0,repubblica,author_1930
UgyTqsaVKMrpQmeBPJZ4AaABAg,,CClbcflccg8,False,author_1964,2026-05-25T16:43:10Z,2026-05-25T16:43:10Z,0,"Ecco di nuovo, tsnto vi cascheremo dentro ancora , tanta gente va in posti fi merda e torna a casa apprestata ,africa e cina sono trainanti in questo , bravi andate pure a fare i turisti e i salvatori del mondo in questi postacci",,0,repubblica,author_1964
UgzOutYtUQdmZ7eOouR4AaABAg,,CClbcflccg8,False,author_53,2026-05-25T17:08:17Z,2026-05-25T17:08:17Z,11,E chi è il genio che li ha portati in Italia???? Volete veramente farci incaxxare davvero??.,,0,repubblica,author_53
Ugw-a3NYUqDPxPNSK054AaABAg,,CClbcflccg8,False,author_30,2026-05-25T17:43:26Z,2026-05-25T17:43:26Z,1,"Ecco, non facciamo cazzate.",,0,repubblica,author_30
Ugz1xmAJJUkYpfhkbmx4AaABAg,,CClbcflccg8,False,author_425,2026-05-25T18:33:20Z,2026-05-25T18:33:20Z,0,Rimandameli in Africa a fare in culo,,0,repubblica,author_425
