comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgyT-E63s9i6oywwrBl4AaABAg,,EziZXv3M8Vg,False,author_379,2026-05-27T09:20:12Z,2026-05-27T09:20:12Z,6,ottimo motivo per non andare a Palermo!,,0,repubblica,author_379
UgwIp1rRH9FgTk7OENZ4AaABAg,,EziZXv3M8Vg,False,author_40,2026-05-27T09:22:30Z,2026-05-27T09:22:30Z,4,A Palermo ci sono stato e non ci tornerò mai più.,,0,repubblica,author_40
UgyT-E63s9i6oywwrBl4AaABAg.AXJ3bGZ0l9eAXJ3yLx3yaq,UgyT-E63s9i6oywwrBl4AaABAg,EziZXv3M8Vg,True,author_52,2026-05-27T09:23:21Z,2026-05-27T09:23:21Z,0,Hai paura che ti violentano??? Tranquillo agli stupidi stanno alla larga 😂,UgyT-E63s9i6oywwrBl4AaABAg,1,repubblica,author_52
Ugy5EFPVaVHCBz5cEy94AaABAg,,EziZXv3M8Vg,False,author_380,2026-05-27T09:25:58Z,2026-05-27T09:26:14Z,0,"Palermo è bellissima, sono riusciti a sporcarla con questa mer..",,0,repubblica,author_380
Ugz8-pAgdG9IFql9HDh4AaABAg,,EziZXv3M8Vg,False,author_213,2026-05-27T09:31:01Z,2026-05-27T09:31:01Z,0,Ci perderò il sonno stanotte un motivo in più per non visitare Palermo,,0,repubblica,author_213
UgzU3YlLym197IZcuH14AaABAg,,EziZXv3M8Vg,False,author_381,2026-05-27T09:33:14Z,2026-05-27T09:33:14Z,1,E chi governa a Palermo?!?,,0,repubblica,author_381
UgzU3YlLym197IZcuH14AaABAg.AXJ55mWKOOGAXJ5NPoHah5,UgzU3YlLym197IZcuH14AaABAg,EziZXv3M8Vg,True,author_213,2026-05-27T09:35:39Z,2026-05-27T09:35:39Z,0,Centrodestra,UgzU3YlLym197IZcuH14AaABAg,1,repubblica,author_213
UgyW809BTIbTc5GJZD94AaABAg,,EziZXv3M8Vg,False,author_83,2026-05-27T09:36:21Z,2026-05-27T09:36:21Z,0,devo andare in bagno,,0,repubblica,author_83
UgyPjWSIgA6c50Jmmzh4AaABAg,,EziZXv3M8Vg,False,author_144,2026-05-27T09:41:06Z,2026-05-27T09:41:06Z,1,"E poi frignano con lo stato se ""ha stato la mafia""..... Senza considerare i disastri ambientali che fanno in Sicilia..... Bloccare i fondi pubblici a questi immediatamente",,0,repubblica,author_144
UgyPjWSIgA6c50Jmmzh4AaABAg.AXJ6-PU3H6kAXJDc-akDZO,UgyPjWSIgA6c50Jmmzh4AaABAg,EziZXv3M8Vg,True,author_52,2026-05-27T10:47:41Z,2026-05-27T10:47:41Z,0,Ma cosa centrano i fondi pubblici con una via di street art??? Minchia ma siete proprio ignoranti.,UgyPjWSIgA6c50Jmmzh4AaABAg,1,repubblica,author_52
UgyP752jf0eqxZEY4zR4AaABAg,,EziZXv3M8Vg,False,author_208,2026-05-27T11:15:46Z,2026-05-27T11:15:46Z,0,"Che bello, ci mancava",,0,repubblica,author_208
Ugw9Wt07MbSnCRqMVKV4AaABAg,,EziZXv3M8Vg,False,author_182,2026-05-27T18:54:56Z,2026-05-27T18:54:56Z,0,In Sicilia anni fa dicevano.... meglio mafiosi che soggetti del video. 😂,,0,repubblica,author_182
UgwH3m7H3em-5ntIUV54AaABAg,,EziZXv3M8Vg,False,author_20,2026-05-28T04:08:15Z,2026-05-28T04:08:15Z,0,"La ""culo rotto"" street. Famosa per avere un sacco di buche 🤣",,0,repubblica,author_20
