comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzpTaP7HyqMfG5SKzR4AaABAg,,Gv0NIwOR2ms,False,author_427,2026-05-26T12:28:46Z,2026-05-26T12:28:46Z,2,Esatto ! Le spese inutili sono quelle x i fondi da napoli in giù! Soldi rubati a chi lavora al centro nord,,0,repubblica,author_427
UgxgZBwFenm56RfhKah4AaABAg,,Gv0NIwOR2ms,False,author_1354,2026-05-26T12:47:27Z,2026-05-26T12:47:27Z,1,Brava brava brava sei molto brava,,0,repubblica,author_1354
UgzqMrVkuJnlYMSQiix4AaABAg,,Gv0NIwOR2ms,False,author_30,2026-05-26T12:47:54Z,2026-05-26T12:47:54Z,1,"Purtroppo è vero, non mi piace spendere per le armi, ma capisco che non c'è alternativa.",,0,repubblica,author_30
UgzqMrVkuJnlYMSQiix4AaABAg.AXGr_e1sE5NAXGuAbvxat7,UgzqMrVkuJnlYMSQiix4AaABAg,Gv0NIwOR2ms,True,author_1355,2026-05-26T13:10:34Z,2026-05-26T13:10:34Z,2,Non c'è alternativa? Perché siamo sotto attacco?,UgzqMrVkuJnlYMSQiix4AaABAg,1,repubblica,author_1355
UgzqMrVkuJnlYMSQiix4AaABAg.AXGr_e1sE5NAXGujh9vQL5,UgzqMrVkuJnlYMSQiix4AaABAg.AXGr_e1sE5NAXGuAbvxat7,Gv0NIwOR2ms,True,author_30,2026-05-26T13:15:29Z,2026-05-26T13:15:29Z,0,@author_1355 Secondo te se domani fossimo sotto attacco Cosa faremo? Andremo al supermercato a comprare mezzo chilo di pallottole?😂😂😂,UgzqMrVkuJnlYMSQiix4AaABAg.AXGr_e1sE5NAXGuAbvxat7,2,repubblica,author_30
UgxX-ZJbF2RyTW70mRt4AaABAg,,Gv0NIwOR2ms,False,author_1356,2026-05-26T13:16:44Z,2026-05-26T13:16:44Z,0,"Il rispetto per il prossimo è il prezzo per la libertà. La vostra retorica si chiama truffa. Abolire e rendere pubblico Cassibile, ed incriminare per tradimento della patria praticamente tutti voi. Io non ho Re o Regine, NON SONO SCHIAVO DI NESSUNO. Non mi servono armi. Mi serve il gas russo via tubazione a 12cent al metro cubo. Esigo un risarcimento, e vedere qualche testa saltare in stile Norimberga sulla salaria.",,0,repubblica,author_1356
Ugx3AJMrMCwkmHM_XaR4AaABAg,,Gv0NIwOR2ms,False,author_718,2026-05-26T13:16:50Z,2026-05-26T13:16:50Z,0,E guardate eguardate e guardate e guardate una sega vai a stracannartelo a 🏡,,0,repubblica,author_718
UgySy_lrOx0QJFXo2MR4AaABAg,,Gv0NIwOR2ms,False,author_1357,2026-05-26T13:17:04Z,2026-05-26T19:46:44Z,1,"non é il periodo migliore per impostare un cambio di paradigma... Ma Due secoli fa il reattore nucleare era un miraggio. Memento. Cerco di essere più comprensibile: É vero che é ormai difficile per questo governo fare una inversione a U (purtroppo non mi viene il termine marimaresco) su questo tema del riarmo, ma esiste tuttora la strada della neutralità, che forse si addice di più alla nostra costituzione ed é decisamente intraprendibile. Uscire dalla nato si può. Affermarsi come potenza diplomatica e sanitaria, in contesti di conflitto internazionale, si può. Essere l'ago della bilancia, non uno dei contrappesi da mettere sul piatto. A me l'hanno spiegata così.",,0,repubblica,author_1357
UgwRET4opJFMC8fmYJh4AaABAg,,Gv0NIwOR2ms,False,author_1358,2026-05-26T13:36:26Z,2026-05-26T13:36:26Z,1,Forza presidente meloni SPLENDIDA. Come lei non c'è nessuno..va avanti che va tutto bene. Finalmente in Italia c'è il vento di destra unita carola ❤per la presidente..,,0,repubblica,author_1358
UgzWoqiXmcpuWBj9KNN4AaABAg,,Gv0NIwOR2ms,False,author_1359,2026-05-26T13:41:35Z,2026-05-26T13:41:35Z,0,"QUANDO LA SMETTERAI DI DIRE CAZZATE SARA' SEMPRE TROPPO TARDI.....SERVAAÀAAAA ....NOVE ANNI FA , SU PUTIN DICEVI I ESATTAMENTE IL CONTRARIO...B U G I A R D A !!!!! SEI UNA GRANDE BUGIARGA...CI SONO FIOR DI VIDEO CHE LO CONFERNANO.....SERVAAAAÀAAAÀAAAAAAA",,0,repubblica,author_1359
UgzqMrVkuJnlYMSQiix4AaABAg.AXGr_e1sE5NAXGxqooVCb_,UgzqMrVkuJnlYMSQiix4AaABAg.AXGr_e1sE5NAXGujh9vQL5,Gv0NIwOR2ms,True,author_1355,2026-05-26T13:42:40Z,2026-05-26T13:42:40Z,1,@user sotto attacco da chi? Andremo in pensione a 70 anni perché non ci sono mai soldi per noi e siamo pure d'accordo a spendere soldi in armi o a finanziare l'Ucraina...fessi,UgzqMrVkuJnlYMSQiix4AaABAg.AXGr_e1sE5NAXGujh9vQL5,3,repubblica,author_1355
UgwmhnHfLVGnhclcM6x4AaABAg,,Gv0NIwOR2ms,False,author_1360,2026-05-26T13:44:43Z,2026-05-26T13:44:43Z,1,Che vergogna questi politici.,,0,repubblica,author_1360
Ugx3hasghYYVe5ZLhNF4AaABAg,,Gv0NIwOR2ms,False,author_763,2026-05-26T13:46:27Z,2026-05-26T13:46:27Z,0,"Libertà, sovranità... Comicità! Identità... quella che vi manca, forti con i deboli e deboli con i forti, una cozzaglia di ignoranti a vario titolo rappresentanti di una colonia e non di una nazione, passati dalla patria di storici, maestri dell'arte, della filosofia, della scienza ecc. a mendicanti incapaci di far quadrare un bilancio a discapito di interessi personali e altrui, non c'è nulla da difendere avete disarmato le speranze, la crescita, le famiglie in quanto futuro. Vergogna! Italia fanalino di coda d'Europa... Dignità ecco cosa vi manca, dignità di andarvene senza ripresentarsi!",,0,repubblica,author_763
Ugx8HPJYAXUl4H6ClqZ4AaABAg,,Gv0NIwOR2ms,False,author_1361,2026-05-26T13:48:52Z,2026-05-26T13:48:52Z,0,Vai a fare la tua cacchina lontano così l puzza la senti soltanto tu,,0,repubblica,author_1361
UgwKDCv92QBIjt9OGZx4AaABAg,,Gv0NIwOR2ms,False,author_1362,2026-05-26T13:51:03Z,2026-05-26T13:51:03Z,2,Piu che libertà mi sembra che sia il prezzo per i voti.,,0,repubblica,author_1362
Ugy0M8ezTjCs19YyFvt4AaABAg,,Gv0NIwOR2ms,False,author_779,2026-05-26T14:02:51Z,2026-05-26T14:02:51Z,1,Si perché siamo un paese sotto attacco e dobbiamo spendere le nostre tasse per armi e non per aiutare famiglie in difficoltà sia per quanto concerne mancanza di lavoro e soprattutto per dare migliaia di euro a questi diciamo politici a scusate POLITICANTI che difendo ben stretti i loro stipendi che 🤡🤡🤡🤡🤡🤡CCIA quante cazzate e noi Boccalini ci crediamo.,,0,repubblica,author_779
UgyhVe33Xo6BRgRdxiR4AaABAg,,Gv0NIwOR2ms,False,author_92,2026-05-26T14:19:44Z,2026-05-26T14:19:44Z,2,Paracula,,0,repubblica,author_92
