comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxkZHvWKAKBRZ7X2fd4AaABAg,,H-MKbJlg-QQ,False,author_127,2026-05-27T13:17:33Z,2026-05-27T13:17:33Z,0,Togliete la denuncia è la figlia di mu arak. Un saluto Gigi,,0,repubblica,author_127
Ugx_huDYxAj0D9G_OxF4AaABAg,,H-MKbJlg-QQ,False,author_27,2026-05-27T13:23:36Z,2026-05-27T13:23:36Z,1,Darla come si faceva una volta NO??😂❤,,0,repubblica,author_27
Ugz1JKH3A2hvuv2O6Sh4AaABAg,,H-MKbJlg-QQ,False,author_128,2026-05-27T13:25:20Z,2026-05-27T13:25:20Z,2,"La vogliamo arrestare o vogliamo tirare fuori la manfrina della povera studentessa che lo ha fatto solo perché le universitá sono troppo dure? Ricordatevi che se fosse vero, questa poi in un futuro sarebbe stata il medico di qualcuno.",,0,repubblica,author_128
UgwEDJgC0mlxIcoqfSh4AaABAg,,H-MKbJlg-QQ,False,author_129,2026-05-27T13:36:28Z,2026-05-27T13:36:28Z,1,Sta maledetta nell'anima.... Una professione così delicata ha necessità di persone competenti. Mi incazzo ancor più con i genitori... Non hanno saputo crescere una ragazza di sani principi... Spero che non possa più prendere titoli di laurea a vita e che possa fare solo lavoretti da sciacquetta quale si è dimostrata,,0,repubblica,author_129
UgynR8asRWPJYp1AhKB4AaABAg,,H-MKbJlg-QQ,False,author_130,2026-05-27T14:06:27Z,2026-05-27T14:06:27Z,0,"Eppure, che dirvi va valutato tutto alla luce dell'umana ragione = ragionevolezza che non trova la casa negli test e esattezza della risposta",,0,repubblica,author_130
Ugx0cgwMAPEFP6iKmUx4AaABAg,,H-MKbJlg-QQ,False,author_56,2026-05-27T17:00:26Z,2026-05-27T17:00:26Z,0,Non hai dato i soldi a nessuno ??????? Anno fatto bene non lo sai come funxiona in italia bastava che pagavi e tutto sarebbe andato liscio .....sei sempre in tempo per la prossima volta....,,0,repubblica,author_56
Ugz1JKH3A2hvuv2O6Sh4AaABAg.AXJVeju2r4bAXK1qETAWIc,Ugz1JKH3A2hvuv2O6Sh4AaABAg,H-MKbJlg-QQ,True,author_61,2026-05-27T18:24:00Z,2026-05-27T18:24:00Z,0,Arrestare? 😂😂😂😂,Ugz1JKH3A2hvuv2O6Sh4AaABAg,1,repubblica,author_61
Ugz1JKH3A2hvuv2O6Sh4AaABAg.AXJVeju2r4bAXK7LXeD-i3,Ugz1JKH3A2hvuv2O6Sh4AaABAg,H-MKbJlg-QQ,True,author_128,2026-05-27T19:12:06Z,2026-05-27T19:12:06Z,0,@author_61 il reato di truffa aggravata ai danni dello stato ed è un reato molto grave.,Ugz1JKH3A2hvuv2O6Sh4AaABAg.AXJVeju2r4bAXK1qETAWIc,2,repubblica,author_128
UgyinUOVlt3HYr2iZS14AaABAg,,H-MKbJlg-QQ,False,author_131,2026-05-28T08:28:40Z,2026-05-28T08:28:40Z,0,"una ""persona"" che si comporta così non è una persona e non potrebbe mai diventare una ""professionista"" e per giunta in un campo molto delicato che è quello della medicina",,0,repubblica,author_131
Ugz1JKH3A2hvuv2O6Sh4AaABAg.AXJVeju2r4bAXM7EqWT6Nu,Ugz1JKH3A2hvuv2O6Sh4AaABAg,H-MKbJlg-QQ,True,author_132,2026-05-28T13:49:40Z,2026-05-28T13:49:40Z,0,"@user prima che tu passi sotto i suoi ferri, ridi nfaccia a sta minchia.",Ugz1JKH3A2hvuv2O6Sh4AaABAg.AXJVeju2r4bAXK1qETAWIc,2,repubblica,author_132
