comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugxhbrt9dnarQF5mE5N4AaABAg,,Mn7uT0B9h48,False,author_216,2026-05-24T15:45:55Z,2026-05-24T15:45:55Z,16,PUTIN STA COMPIENDO UN GENOCIDIO IN UCRAINA. SONO MORTI OLTRE 100 MILA TRA BAMBINI E DONNE,,0,repubblica,author_216
Ugxhbrt9dnarQF5mE5N4AaABAg.AXC1MiT-6PkAXC1_R7aZ0B,Ugxhbrt9dnarQF5mE5N4AaABAg,Mn7uT0B9h48,True,author_2462,2026-05-24T15:47:47Z,2026-05-24T15:47:47Z,2,Informatevi meglio...,Ugxhbrt9dnarQF5mE5N4AaABAg,1,repubblica,author_2462
UgztFlHuTKzgfLHS75Z4AaABAg,,Mn7uT0B9h48,False,author_2463,2026-05-24T15:49:22Z,2026-05-24T15:49:22Z,7,Slava ukraini,,0,repubblica,author_2463
Ugxhbrt9dnarQF5mE5N4AaABAg.AXC1MiT-6PkAXC1w4oQMqP,Ugxhbrt9dnarQF5mE5N4AaABAg,Mn7uT0B9h48,True,author_2464,2026-05-24T15:50:53Z,2026-05-24T15:50:53Z,0,Basta propaganda.... Cmq deve rimanere un'evento sportivo,Ugxhbrt9dnarQF5mE5N4AaABAg,1,repubblica,author_2464
Ugxhbrt9dnarQF5mE5N4AaABAg.AXC1MiT-6PkAXC24iaVRc_,Ugxhbrt9dnarQF5mE5N4AaABAg,Mn7uT0B9h48,True,author_2465,2026-05-24T15:52:12Z,2026-05-24T15:52:47Z,4,Penso anche a quello (vero) che sta portando a termine Netanyahu con la nostra complicità.,Ugxhbrt9dnarQF5mE5N4AaABAg,1,repubblica,author_2465
Ugys2HzZSN5OjocN1vZ4AaABAg,,Mn7uT0B9h48,False,author_2466,2026-05-24T15:52:32Z,2026-05-24T15:52:32Z,0,Dovresti spaccare la racchetta in testa alla russa come mai nel tennis non vengono squalificati i tennista russi fuori i russi da tutto è una nazione di merda,,0,repubblica,author_2466
Ugzz32T8yqVaHmeLZjF4AaABAg,,Mn7uT0B9h48,False,author_367,2026-05-24T15:54:00Z,2026-05-24T15:54:00Z,9,Anche in Russia cadono i missili!!! Per i bambini del Donbass nel 2014 però a chi il governo ucraino illeggittimo mandava missili uccidendoli non piangeva nessuno??? Ipocriti,,0,repubblica,author_367
Ugz0B1iMj0byHZiOyN14AaABAg,,Mn7uT0B9h48,False,author_2467,2026-05-24T15:54:43Z,2026-05-24T15:54:43Z,0,Prox volta l’Ucraina evita di andare a rompere il cazzo alla Russia chiedendo di entrare nella Nato spinta dagli USA 🥲,,0,repubblica,author_2467
Ugxhbrt9dnarQF5mE5N4AaABAg.AXC1MiT-6PkAXC2OkGWqE-,Ugxhbrt9dnarQF5mE5N4AaABAg,Mn7uT0B9h48,True,author_367,2026-05-24T15:54:56Z,2026-05-24T15:54:56Z,6,E il genocidio fatto nel silenzio europeo per bene 8 anni dal 2014 dal governo ucraino che bombardava Donbass e Lugansk fino al giusto intervento russo nel 2022 non ne parla nessuno?,Ugxhbrt9dnarQF5mE5N4AaABAg,1,repubblica,author_367
UgyCibQzXrHQtLnM3Jp4AaABAg,,Mn7uT0B9h48,False,author_425,2026-05-24T15:55:53Z,2026-05-24T15:55:53Z,11,Diglielo al tuo amico Zelensky il motivo,,0,repubblica,author_425
