comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwPexT8QIkZ2NT6Nqd4AaABAg,,N5Z5wvlfLko,False,author_86,2026-05-24T18:03:08Z,2026-05-24T18:03:08Z,0,Weeee,,0,repubblica,author_86
UgyPEux2NlPpySmssrt4AaABAg,,N5Z5wvlfLko,False,author_52,2026-05-24T18:43:58Z,2026-05-24T18:43:58Z,4,Altra scoperta per essere piu controllati. Orwell.,,0,repubblica,author_52
Ugw_cyyct1PbPFv23PN4AaABAg,,N5Z5wvlfLko,False,author_778,2026-05-24T18:52:25Z,2026-05-24T18:52:25Z,3,Un primo passo verso un CONTROLLO CONTINUO 😂😂😂😂😂 C'è da festeggiare???,,0,repubblica,author_778
UgyPEux2NlPpySmssrt4AaABAg.AXCLjqseYTtAXCNiO8zt9G,UgyPEux2NlPpySmssrt4AaABAg,N5Z5wvlfLko,True,author_871,2026-05-24T19:01:15Z,2026-05-24T19:01:15Z,0,Perchè nei social non lo sei?,UgyPEux2NlPpySmssrt4AaABAg,1,repubblica,author_871
Ugw_cyyct1PbPFv23PN4AaABAg.AXCMhfzw85EAXCNkecGRvg,Ugw_cyyct1PbPFv23PN4AaABAg,N5Z5wvlfLko,True,author_871,2026-05-24T19:01:34Z,2026-05-24T19:01:34Z,0,Non hai capito un cazzo,Ugw_cyyct1PbPFv23PN4AaABAg,1,repubblica,author_871
Ugydugnsd6qfwqyvF554AaABAg,,N5Z5wvlfLko,False,author_1951,2026-05-24T19:03:09Z,2026-05-24T19:03:21Z,3,"Assumere più personale per ridurre lo stress no, vero? Ma andassero a 💩gare sti ingegneri medici",,0,repubblica,author_1951
UgyPEux2NlPpySmssrt4AaABAg.AXCLjqseYTtAXCO2lBO80R,UgyPEux2NlPpySmssrt4AaABAg.AXCLjqseYTtAXCNiO8zt9G,N5Z5wvlfLko,True,author_52,2026-05-24T19:04:10Z,2026-05-24T19:04:10Z,0,@author_871. Infatti ho detto un'altra.,UgyPEux2NlPpySmssrt4AaABAg.AXCLjqseYTtAXCNiO8zt9G,2,repubblica,author_52
UgzokkQOiivMq3t-g5J4AaABAg,,N5Z5wvlfLko,False,author_30,2026-05-24T19:37:02Z,2026-05-24T19:37:02Z,0,Chi mente avrà paura! Attenti politici.,,0,repubblica,author_30
UgyPEux2NlPpySmssrt4AaABAg.AXCLjqseYTtAXCTy3fo_ep,UgyPEux2NlPpySmssrt4AaABAg,N5Z5wvlfLko,True,author_216,2026-05-24T19:55:49Z,2026-05-24T19:55:49Z,0,"Flavio ma nemmeno il tuo cane ti segue, chi vuoi che ti controlli dai",UgyPEux2NlPpySmssrt4AaABAg,1,repubblica,author_216
UgyPEux2NlPpySmssrt4AaABAg.AXCLjqseYTtAXCVO3i2s--,UgyPEux2NlPpySmssrt4AaABAg.AXCLjqseYTtAXCTy3fo_ep,N5Z5wvlfLko,True,author_52,2026-05-24T20:08:15Z,2026-05-24T20:08:15Z,0,@author_216. Siamo tutti controllati dalla mattina alla sera sempre costantemente. Cmq il mio cane non mi segue mi protegge sempre ovunque vada.,UgyPEux2NlPpySmssrt4AaABAg.AXCLjqseYTtAXCTy3fo_ep,2,repubblica,author_52
