comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzJPq_95G2gNdXs-up4AaABAg,,QiL6p2CSFrM,False,author_2108,2026-05-25T08:51:49Z,2026-05-25T08:51:49Z,0,Che stronzi assassini,,0,repubblica,author_2108
Ugzvnsd02CUEhmJrs6p4AaABAg,,QiL6p2CSFrM,False,author_2109,2026-05-25T08:52:09Z,2026-05-25T08:52:09Z,1,Ieri dicevano un lacrimogeno ad altezza uomo,,0,repubblica,author_2109
Ugx4nkeFUhoPDy87QDJ4AaABAg,,QiL6p2CSFrM,False,author_2110,2026-05-25T08:55:56Z,2026-05-25T08:55:56Z,0,Sempre ad accusare le forze dell'ordine! Sarà stato uno della sua tifoseria! Ultima di campionato finita così!,,0,repubblica,author_2110
Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDscMKJ_w4,Ugx4nkeFUhoPDy87QDJ4AaABAg,QiL6p2CSFrM,True,author_2111,2026-05-25T08:59:17Z,2026-05-25T08:59:17Z,1,Anche carlo giuliani era stato colpito da un sasso,Ugx4nkeFUhoPDy87QDJ4AaABAg,1,repubblica,author_2111
UgwK2Myl-UMk5HOoDlF4AaABAg,,QiL6p2CSFrM,False,author_1389,2026-05-25T09:03:04Z,2026-05-25T09:03:04Z,1,😢,,0,repubblica,author_1389
UgzP1iwByT7ogOcezY94AaABAg,,QiL6p2CSFrM,False,author_2112,2026-05-25T09:03:42Z,2026-05-25T09:03:42Z,5,"Giornali spazzatura: colpito da lacrimogeno sparato, come sempre, ad altezza d' uomo",,0,repubblica,author_2112
UgyelzynaT2B2j930O54AaABAg,,QiL6p2CSFrM,False,author_134,2026-05-25T09:06:06Z,2026-05-25T09:06:06Z,0,"Un bel chissenefrega per il più classico degli imbecilli che va a fare il fenomeno , le prende e poi tutti a chiedersi com e mai , era un bravo ragazzo ahahha Pietà zero per sta gentaglia",,0,repubblica,author_134
Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDtTfSfK7C,Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDscMKJ_w4,QiL6p2CSFrM,True,author_134,2026-05-25T09:06:42Z,2026-05-25T09:06:42Z,3,@user Giuliani era un idiota che ha fatto la fine di un idiota . Punto,Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDscMKJ_w4,2,repubblica,author_134
UgxBg4YmM7tyyO_E8z94AaABAg,,QiL6p2CSFrM,False,author_2113,2026-05-25T09:19:27Z,2026-05-25T09:19:27Z,8,Ti auguro di riprenderti presto ❤,,0,repubblica,author_2113
UgwkbiPQCTjjTCWeGtR4AaABAg,,QiL6p2CSFrM,False,author_2114,2026-05-25T09:20:36Z,2026-05-25T09:20:36Z,12,"Quando partecipi a scontri sai bene cosa ti può succedere, assumetevi le vostre responsabilità!",,0,repubblica,author_2114
UgyZFepIWhVMcHJuRjp4AaABAg,,QiL6p2CSFrM,False,author_27,2026-05-25T09:20:58Z,2026-05-25T09:20:58Z,2,Il calcio è uno sport che affratella le genti 😂😂😂😂😂😂😂😂😂,,0,repubblica,author_27
UgwDZnfqgFNei4Dus694AaABAg,,QiL6p2CSFrM,False,author_336,2026-05-25T09:27:12Z,2026-05-25T09:27:12Z,2,Non se ne può più. Auguroni ❤❤❤,,0,repubblica,author_336
Ugz3Vzys0rVz8IEX8OB4AaABAg,,QiL6p2CSFrM,False,author_403,2026-05-25T09:34:27Z,2026-05-25T09:34:27Z,0,"Doverosi gli auguri di pronto recupero, ma ahimè è vero che si va allo stadio come si andasse in guerra.",,0,repubblica,author_403
UgyI8DFfgqrKPsE8cmN4AaABAg,,QiL6p2CSFrM,False,author_2115,2026-05-25T09:38:40Z,2026-05-25T09:38:40Z,1,I migliori auguri di una pronta guarigione .,,0,repubblica,author_2115
Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDyBHkGjSe,Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDtTfSfK7C,QiL6p2CSFrM,True,author_2111,2026-05-25T09:47:53Z,2026-05-25T09:47:53Z,0,@user da un poliziotto quando volevano farci credere colpito da un sasso,Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDtTfSfK7C,3,repubblica,author_2111
UgyL8J4vXft9um2sJxJ4AaABAg,,QiL6p2CSFrM,False,author_2116,2026-05-25T09:59:13Z,2026-05-25T09:59:13Z,3,30anni di Stadio non ho mai avuto un problema...mi sono sempre fatto gli affari miei e Roma non è semplice.... Comunque spero che questo Ragazzo si riprenda e bene. FORZA,,0,repubblica,author_2116
Ugx_6U7ZLnJ1qrf14id4AaABAg,,QiL6p2CSFrM,False,author_2117,2026-05-25T10:05:00Z,2026-05-25T10:05:00Z,0,❤,,0,repubblica,author_2117
UgwLMqe949WgztjBAal4AaABAg,,QiL6p2CSFrM,False,author_713,2026-05-25T10:07:48Z,2026-05-25T10:07:48Z,0,Ma non aveva 45: anni?,,0,repubblica,author_713
UgyTzD5HGFa36BDZDOl4AaABAg,,QiL6p2CSFrM,False,author_281,2026-05-25T10:22:07Z,2026-05-25T10:22:07Z,0,A Torino fa buca....,,0,repubblica,author_281
UgxIhgPzNxSkVt6exqR4AaABAg,,QiL6p2CSFrM,False,author_411,2026-05-25T10:22:09Z,2026-05-25T10:39:29Z,1,"Io ieri ho visto la partita a casa sul divano. Non mi è arrivato nulla in testa. Spero ovviamente che si riprenda presto...ma non facciamone un martire per favore. Poi che sia stata una bottiglia,un lacrimogeno o una colomba poco importa.",,0,repubblica,author_411
UgxlYfeNle-ON-xnpMt4AaABAg,,QiL6p2CSFrM,False,author_2118,2026-05-25T10:22:48Z,2026-05-25T10:22:48Z,0,Prima dicono un fumogeno poi una bottiglia di vetro....,,0,repubblica,author_2118
UgxQ0GFd7wHqFJEHXjF4AaABAg,,QiL6p2CSFrM,False,author_625,2026-05-25T10:29:06Z,2026-05-25T10:29:06Z,2,Ma tu perché vai allo stadio.stai a casa.e meglio.ora tanti auguri.di prota guarigione.,,0,repubblica,author_625
UgwicAETPlp39XTKQLh4AaABAg,,QiL6p2CSFrM,False,author_2119,2026-05-25T11:03:47Z,2026-05-25T11:03:47Z,0,Tanti auguri di una Buona guarigione 💪❤️💪,,0,repubblica,author_2119
UgwBhoQkIUjfaRb--aN4AaABAg,,QiL6p2CSFrM,False,author_2120,2026-05-25T11:04:22Z,2026-05-25T11:04:22Z,0,Il regno dei cieli e vicino lo guarisce pregate lo Spirito Santo che lo aiuta,,0,repubblica,author_2120
Ugzvl8v8kOl7isf_fYd4AaABAg,,QiL6p2CSFrM,False,author_921,2026-05-25T11:27:26Z,2026-05-25T11:28:28Z,0,Si ammazzano per il pallone e la classe politica attuale i leganazifascioforzaitalia ve la stanno ficcando allegramente nder cu'...ma non vi preoccupate si avvicinano le elezioni i leganazifascioforzaitalia torneranno all'attacco ripristinando superbonus e reddito di cittadinanza 😂😂 cmq io a questi durante gli scontri tra tifoserie userei i lanciafiamme!,,0,repubblica,author_921
Ugx_HquGcX95PgNwfZB4AaABAg,,QiL6p2CSFrM,False,author_2028,2026-05-25T11:35:13Z,2026-05-25T11:35:13Z,0,Ti auguro di guarire presto ❤❤❤,,0,repubblica,author_2028
Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXE9t1SE7i0,Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDtTfSfK7C,QiL6p2CSFrM,True,author_712,2026-05-25T11:38:51Z,2026-05-25T11:38:51Z,0,@user a dire queste cose. La ruota gira. Vergognati e prega che non succeda cosa simile a chi ami,Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDtTfSfK7C,3,repubblica,author_712
Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXEEyU6-eMe,Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDtTfSfK7C,QiL6p2CSFrM,True,author_2121,2026-05-25T12:23:17Z,2026-05-25T12:23:25Z,0,@user condivido,Ugx4nkeFUhoPDy87QDJ4AaABAg.AXDsEkFaJ0UAXDtTfSfK7C,3,repubblica,author_2121
UgxIhgPzNxSkVt6exqR4AaABAg.AXE16JSJI32AXEOvt-5QJ6,UgxIhgPzNxSkVt6exqR4AaABAg,QiL6p2CSFrM,True,author_2122,2026-05-25T13:50:19Z,2026-05-25T13:50:19Z,1,Poco importa? Un lacrimogeno ad altezza uomo? Ma stai scherzando,UgxIhgPzNxSkVt6exqR4AaABAg,1,repubblica,author_2122
UgxoZw5ZsF16c6xmO8N4AaABAg,,QiL6p2CSFrM,False,author_2123,2026-05-25T14:12:20Z,2026-05-25T14:12:20Z,0,Gente con gravi deficit,,0,repubblica,author_2123
UgzP1iwByT7ogOcezY94AaABAg.AXDt7fdFMtkAXERyUSM_B7,UgzP1iwByT7ogOcezY94AaABAg,QiL6p2CSFrM,True,author_216,2026-05-25T14:16:53Z,2026-05-25T14:16:53Z,0,Certo certo,UgzP1iwByT7ogOcezY94AaABAg,1,repubblica,author_216
UgyUtou_kOB1iheGlZ54AaABAg,,QiL6p2CSFrM,False,author_1073,2026-05-25T14:25:12Z,2026-05-25T14:25:12Z,0,"""se fosse rimasto a casa sua non gli sarebbe successo nulla"" è già stato scritto da qualche subumano?",,0,repubblica,author_1073
UgzkQ1lRy4H5evr6l1x4AaABAg,,QiL6p2CSFrM,False,author_2124,2026-05-25T14:28:30Z,2026-05-25T14:28:30Z,1,Eh se stavi a casa non ti succedeva nulla :).,,0,repubblica,author_2124
