comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugy67z2hkpJwLIHPYeV4AaABAg,,RXk8GCRFRAo,False,author_404,2026-05-24T17:32:02Z,2026-05-24T17:32:02Z,1,Gli è partita la brocca!!!!!!,,0,repubblica,author_404
Ugzm0OPX8YZqQsxaazp4AaABAg,,RXk8GCRFRAo,False,author_30,2026-05-24T17:37:33Z,2026-05-24T17:37:33Z,1,E..... Gli avrà rubato le caramelle.,,0,repubblica,author_30
UgxryVoAiiEJbdJbGBh4AaABAg,,RXk8GCRFRAo,False,author_2438,2026-05-24T17:39:25Z,2026-05-24T17:39:25Z,1,Ma era da pesce?,,0,repubblica,author_2438
UgzBxtaeXr_xN2JTvdN4AaABAg,,RXk8GCRFRAo,False,author_166,2026-05-24T17:46:17Z,2026-05-24T17:46:17Z,0,Li ha scambiati per cani,,0,repubblica,author_166
UgweJrx9G8lL4ebK1N94AaABAg,,RXk8GCRFRAo,False,author_434,2026-05-24T18:12:14Z,2026-05-24T18:12:14Z,0,Era una spia nord coreana,,0,repubblica,author_434
Ugz1-9J7BVD4bh0zRMt4AaABAg,,RXk8GCRFRAo,False,author_2032,2026-05-24T18:16:54Z,2026-05-24T18:16:54Z,0,😮😮,,0,repubblica,author_2032
UgzKZVD871l2QDbzdPl4AaABAg,,RXk8GCRFRAo,False,author_2439,2026-05-24T18:30:34Z,2026-05-24T18:30:34Z,4,Ci credo che impazziscono stanno da febbraio a novembre isolati,,0,repubblica,author_2439
UgzsvQBsJwIZHtJFwzZ4AaABAg,,RXk8GCRFRAo,False,author_1330,2026-05-24T20:15:01Z,2026-05-24T20:15:01Z,2,la cosa...,,0,repubblica,author_1330
UgyyQfSgjAl1krG12XZ4AaABAg,,RXk8GCRFRAo,False,author_2440,2026-05-24T21:22:40Z,2026-05-24T21:22:40Z,0,"Un evento a probabilità finita e non nulla, per la legge dei grandi numeri prima o poi si verifica? Eppure una tentazione di individuare un cambiamento nelle cause ce l'ho. La pressione performativa non è cambiata? La qualità del Team Building è stata minore? Cosa è cambiato che può determinare instabilità e grave insoddisfazione, risentimento e rabbia? Supporto e sostegno sono sufficienti?",,0,repubblica,author_2440
UgzFoGEI8SlgvYC9d014AaABAg,,RXk8GCRFRAo,False,author_747,2026-05-25T11:03:58Z,2026-05-25T11:03:58Z,1,"Lo hanno fatto incazzare, il mondo e pieno di pezzi di merda ..",,0,repubblica,author_747
UgyS34diWmrKtaX3Znt4AaABAg,,RXk8GCRFRAo,False,author_194,2026-05-25T14:42:20Z,2026-05-25T14:42:20Z,1,Meno male che in Antartide ci doveva essere la pace,,0,repubblica,author_194
Ugx8VwEPic0bZVO-_GB4AaABAg,,RXk8GCRFRAo,False,author_227,2026-05-26T06:24:18Z,2026-05-26T06:24:18Z,0,L'isolamento prolungato in talune condizioni può portare ad una instabilità psichica,,0,repubblica,author_227
UgwVPd6s7C3GoF5jz1R4AaABAg,,RXk8GCRFRAo,False,author_2441,2026-05-26T07:51:54Z,2026-05-26T07:51:54Z,0,Sono stati gli ufo che hanno utilizzato frequenze manipolative per controllare la mente del ricercatorem,,0,repubblica,author_2441
