comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzV2iH6zxdc7I5kw8R4AaABAg,,W3eWJ7iKzvU,False,author_2751,2026-05-24T09:27:00Z,2026-05-24T09:27:00Z,4,"Io non credo,oggi dice una cosa fra un'ora se la rimanga",,0,repubblica,author_2751
UgwzWR1eJ2opVmL8skN4AaABAg,,W3eWJ7iKzvU,False,author_1848,2026-05-24T09:30:05Z,2026-05-24T09:30:05Z,1,"Ma chi cavolo ti crede piu ,fai solo piangere",,0,repubblica,author_1848
UgwNbKGvLURmnxM_0px4AaABAg,,W3eWJ7iKzvU,False,author_2752,2026-05-24T09:44:32Z,2026-05-24T09:44:32Z,0,Quando due persone non hanno interesse a scornarsi l'accordo si trova sempre.È chi assiste il vero fottuto.,,0,repubblica,author_2752
Ugy_aetu3Ir3Y86oLYl4AaABAg,,W3eWJ7iKzvU,False,author_2753,2026-05-24T09:44:58Z,2026-05-24T09:44:58Z,0,Che pagliaccio,,0,repubblica,author_2753
UgzA7rIOnCBL1yZ9CeV4AaABAg,,W3eWJ7iKzvU,False,author_216,2026-05-24T10:15:28Z,2026-05-24T10:15:28Z,0,Peccato! Abbiamo avuto l'occasione di impadronirci della nostra energia. Invece ora degli estremisti barbuti dovranno gestircela!,,0,repubblica,author_216
Ugy4PCRsL1FBc_naB154AaABAg,,W3eWJ7iKzvU,False,author_1327,2026-05-24T10:16:01Z,2026-05-24T10:16:01Z,0,LA CINA. LO SA,,0,repubblica,author_1327
UgzoSPdGJhqspteBMW54AaABAg,,W3eWJ7iKzvU,False,author_2721,2026-05-24T10:24:55Z,2026-05-24T10:24:55Z,1,Il mentecatto sono mesi che ogni giorno parla di accordi. Ma la verità é che sta scappando con la coda tra le gambe.,,0,repubblica,author_2721
UgypJ8nu-77ck7dCwmx4AaABAg,,W3eWJ7iKzvU,False,author_2754,2026-05-24T10:32:16Z,2026-05-24T10:32:16Z,0,Avete perso i con vuoi tutti noi grazie hai lecca lecca che abbiamo al potere . 😂,,0,repubblica,author_2754
Ugz-Z8TsErjK5d3jpUN4AaABAg,,W3eWJ7iKzvU,False,author_853,2026-05-24T11:02:47Z,2026-05-24T11:02:47Z,0,..aspettando la smentita..,,0,repubblica,author_853
Ugx4irzxzO4wNcPUcpN4AaABAg,,W3eWJ7iKzvU,False,author_20,2026-05-24T11:14:27Z,2026-05-24T11:14:27Z,0,"Se Israele non rompe il cazzo, la storia finisce presto.",,0,repubblica,author_20
UgxMbN8_CfFPMkOi8XV4AaABAg,,W3eWJ7iKzvU,False,author_227,2026-05-24T11:23:54Z,2026-05-24T11:23:54Z,0,L'accordo lo vorrebbe lui ma l'Iran non so se la pensa come ce la racconta il pazzo Trump. Se finisse così cosa ci ha guadagnato solo una perdita di consensi ed una figura di M.....,,0,repubblica,author_227
UgzOo4Y-lr4U1vicPjt4AaABAg,,W3eWJ7iKzvU,False,author_2755,2026-05-24T11:26:42Z,2026-05-24T11:26:42Z,0,"Se fosse vero poi vorrà anche essere ringraziato, e i nostri cari politici saranno lì pronti!",,0,repubblica,author_2755
UgxQRslXCInw3mQ2VlZ4AaABAg,,W3eWJ7iKzvU,False,author_709,2026-05-24T18:39:24Z,2026-05-24T18:39:24Z,0,😂😂😂😂 aspetta e spera biondo.,,0,repubblica,author_709
UgwmErMxxaWuoanHvL54AaABAg,,W3eWJ7iKzvU,False,author_2756,2026-05-24T18:44:40Z,2026-05-24T18:44:40Z,0,È arrivato il momento che Europa e i paesi del golfo si uniscano e riaprono hormuz con le buone o con le cattive,,0,repubblica,author_2756
UgxuhlvJch-zpeTtJJx4AaABAg,,W3eWJ7iKzvU,False,author_515,2026-05-24T19:03:36Z,2026-05-24T19:03:36Z,0,Certo certo.....,,0,repubblica,author_515
Ugzk4NqJkHgj2XY16Ch4AaABAg,,W3eWJ7iKzvU,False,author_2757,2026-05-24T20:08:00Z,2026-05-24T20:08:00Z,0,"Sarebbe da uscire dal Europa e dalla nato , sperando che Putin ci invade ,Trump se fa l’accordo siamo rovinati lo stesso , ormai è da mandarlo in sala da ballo con Biden",,0,repubblica,author_2757
UgxpYuobPpjQhRLue0x4AaABAg,,W3eWJ7iKzvU,False,author_2758,2026-05-24T20:33:28Z,2026-05-24T20:33:28Z,0,"Gli islamici sono i migliori nel prendere per il c..o l'occidente. L'europa non perderà mai provvedimenti di natura militare per difendere i propri interessi nello stretto di Hormuz, tanto meno l'Italia di tajani crosetto e meloni.",,0,repubblica,author_2758
UgyNN01i8N8jPENhMod4AaABAg,,W3eWJ7iKzvU,False,author_215,2026-05-25T04:49:38Z,2026-05-25T04:49:38Z,1,"Tregua, sempre tregua! VOGLIAMO SENTIRE LA PAROLA PACE!!!!!!!",,0,repubblica,author_215
Ugy0qORIhGFabx1jR2t4AaABAg,,W3eWJ7iKzvU,False,author_2468,2026-05-25T11:59:29Z,2026-05-25T11:59:29Z,0,Il boss è a Tel Aviv,,0,repubblica,author_2468
