comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugz39e7BKJbdti3cA-14AaABAg,,W_JsMRpZ1xg,False,author_86,2026-05-25T14:42:01Z,2026-05-25T14:42:01Z,0,Oiii😊😊,,0,repubblica,author_86
UgybEcaaahzCSev-js54AaABAg,,W_JsMRpZ1xg,False,author_1928,2026-05-25T16:08:30Z,2026-05-25T16:08:30Z,3,Generazione di fenomeni.....🇮🇹🥎🏆🚘,,0,repubblica,author_1928
UgwyR1j6oNdhic2HCbN4AaABAg,,W_JsMRpZ1xg,False,author_1929,2026-05-25T16:31:31Z,2026-05-25T16:31:31Z,2,ORA NO MI FATE PIÙ PARAGONI CON SENNA!! LUI È KIMI!! È BASTA,,0,repubblica,author_1929
UgzfprO8lRzTzVEr3KR4AaABAg,,W_JsMRpZ1xg,False,author_1930,2026-05-25T17:45:08Z,2026-05-25T17:45:08Z,2,"Senna era hai box appena rientrato dalle qualifiche. Disse a ingegneri e meccanici che qualcosa non andava su una ruota . Insisteva . Smontarono l' intera macchina. Tutto a posto. Senna minacciò di non correre : "" quando sterzo sento qualcosa che non va "" . Un meccanico lo assecondo' , dopo trovo ' una singola sfera di un cuscinetto lesionata . Senna, un pilota",,0,repubblica,author_1930
UgzfprO8lRzTzVEr3KR4AaABAg.AXEonl9StQ4AXEsCsIPOtN,UgzfprO8lRzTzVEr3KR4AaABAg,W_JsMRpZ1xg,True,author_1318,2026-05-25T18:14:55Z,2026-05-25T18:14:55Z,0,Ah si...un grandissimo! Infatti si è visto che fine ha fatto!,UgzfprO8lRzTzVEr3KR4AaABAg,1,repubblica,author_1318
UgzfprO8lRzTzVEr3KR4AaABAg.AXEonl9StQ4AXEsgnN35Rl,UgzfprO8lRzTzVEr3KR4AaABAg,W_JsMRpZ1xg,True,author_1931,2026-05-25T18:19:08Z,2026-05-25T18:19:08Z,0,La sapevo questa cosa!!! Un grandissimo,UgzfprO8lRzTzVEr3KR4AaABAg,1,repubblica,author_1931
UgzfprO8lRzTzVEr3KR4AaABAg.AXEonl9StQ4AXEz4dOhEU8,UgzfprO8lRzTzVEr3KR4AaABAg.AXEonl9StQ4AXEsCsIPOtN,W_JsMRpZ1xg,True,author_1930,2026-05-25T19:14:57Z,2026-05-25T19:14:57Z,2,"@author_1318 lascia stare giovane , comunque se vuoi vedere come si guida guarda le gare di Prost e Senna così impari qualcosa è non ti addormenti",UgzfprO8lRzTzVEr3KR4AaABAg.AXEonl9StQ4AXEsCsIPOtN,2,repubblica,author_1930
UgybEcaaahzCSev-js54AaABAg.AXEdk0WM_j3AXF0WJ7mwjw,UgybEcaaahzCSev-js54AaABAg,W_JsMRpZ1xg,True,author_1932,2026-05-25T19:36:12Z,2026-05-25T19:36:12Z,0,Con una Cadillac sarebbe tra gli ultimi,UgybEcaaahzCSev-js54AaABAg,1,repubblica,author_1932
UgwHkX_3fycTzU5vhhF4AaABAg,,W_JsMRpZ1xg,False,author_1882,2026-05-25T20:00:20Z,2026-05-25T20:00:20Z,2,Lui si che è italiano no Sinner ....,,0,repubblica,author_1882
UgybEcaaahzCSev-js54AaABAg.AXEdk0WM_j3AXF3XIsEIIM,UgybEcaaahzCSev-js54AaABAg.AXEdk0WM_j3AXF0WJ7mwjw,W_JsMRpZ1xg,True,author_1931,2026-05-25T20:02:33Z,2026-05-25T20:02:33Z,3,"@user tu la Mercedes, campione!!!",UgybEcaaahzCSev-js54AaABAg.AXEdk0WM_j3AXF0WJ7mwjw,2,repubblica,author_1931
