comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugw-Yv9vutpORLR-zLB4AaABAg,,XhhZNZuXah0,False,author_92,2026-05-26T13:31:29Z,2026-05-26T13:31:29Z,6,"Mamma mia ,gli rubano gli organi ,o vittime di pedofili",,0,repubblica,author_92
Ugxgus9Jakk0Exuvw6N4AaABAg,,XhhZNZuXah0,False,author_695,2026-05-26T13:43:04Z,2026-05-26T13:43:04Z,5,Orribile che sta succedendo troppi ragazzi scomparsi Fate di più,,0,repubblica,author_695
UgxdgomG-B9Of2NhsQ14AaABAg,,XhhZNZuXah0,False,author_194,2026-05-26T13:52:43Z,2026-05-26T13:52:43Z,3,Speriamo che li ritrovino tutti E NON MORTI😢❤,,0,repubblica,author_194
Ugw02rkZBY6kM4xheJp4AaABAg,,XhhZNZuXah0,False,author_1326,2026-05-26T14:30:36Z,2026-05-26T14:30:36Z,2,Una notizia orribile!,,0,repubblica,author_1326
UgzH-9yvLZ9E-gGQJMZ4AaABAg,,XhhZNZuXah0,False,author_34,2026-05-26T14:32:29Z,2026-05-26T14:32:29Z,1,"18 mila sono tantissime,mi auguro che non siano vere,perche' altrimenti c'è davvero da preoccuparsi fortemente.",,0,repubblica,author_34
UgyI8P4FhBxTIjVbHpR4AaABAg,,XhhZNZuXah0,False,author_1327,2026-05-26T14:47:39Z,2026-05-26T14:47:39Z,0,FARE DI PIÙ,,0,repubblica,author_1327
UgzX6O9fHT9-jsIWZSl4AaABAg,,XhhZNZuXah0,False,author_1328,2026-05-26T15:36:47Z,2026-05-26T15:36:47Z,1,"Il 60% di bambini stranieri e' elevatissimo. Non ci vuole un genio per capire che sono destinati al mercato Nero degli organi, pedofilia/prostituzione. Che paese allo scatafascio...",,0,repubblica,author_1328
Ugyobwvd9_kYhH_7Ssh4AaABAg,,XhhZNZuXah0,False,author_1329,2026-05-26T15:43:38Z,2026-05-26T15:44:17Z,3,Quanta ingenuità. Non se ne parla mai.... chissà come mai....,,0,repubblica,author_1329
UgwiRVGlK-pkiumDOMl4AaABAg,,XhhZNZuXah0,False,author_1330,2026-05-26T15:45:02Z,2026-05-26T15:45:02Z,2,i giornalai Mediaset da lunedì a venerdì raccontano cosa???,,0,repubblica,author_1330
UgzQ-DS52UAkAzjtqkZ4AaABAg,,XhhZNZuXah0,False,author_129,2026-05-26T18:19:05Z,2026-05-26T18:19:05Z,0,"Tocca andare a girare nei campi rom, in Vaticano ed in genere dai pedofili via internet. Poi c'è il, traffico di organi.... Basta prenderne uno o due e dissolverli nell inceneritore di zona.... La situazione cambierebbe un po'... Magari non finirebbe del tutto ma di sicuro ce pensano 2 volte",,0,repubblica,author_129
UgyI8P4FhBxTIjVbHpR4AaABAg.AXH4HlR1BvMAXHWJC5Wo80,UgyI8P4FhBxTIjVbHpR4AaABAg,XhhZNZuXah0,True,author_365,2026-05-26T18:52:31Z,2026-05-26T18:52:31Z,0,Si può fare di più,UgyI8P4FhBxTIjVbHpR4AaABAg,1,repubblica,author_365
Ugyfs_5KUR-NNSfD0xd4AaABAg,,XhhZNZuXah0,False,author_1331,2026-05-26T19:48:18Z,2026-05-26T19:48:18Z,1,10.800 minori scomparsi in Italia nel 2025 ? 29minori ogni giorno ? sono veramente tanti seguaci la notizia e vera.,,0,repubblica,author_1331
UgyypWGSu5tm-CYDukp4AaABAg,,XhhZNZuXah0,False,author_215,2026-05-27T11:24:34Z,2026-05-27T11:24:34Z,1,E gli altri che fine fanno?😮,,0,repubblica,author_215
