comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxpolsDIh446Y1tl-t4AaABAg,,YsU6DCI5rmQ,False,author_2442,2026-05-24T16:40:07Z,2026-05-24T16:40:07Z,0,E vabbé peroooo che pa...le con sto moralismo. Non si può piú dire nulla !,,0,repubblica,author_2442
Ugxyy1QqPk_bmeeeW1p4AaABAg,,YsU6DCI5rmQ,False,author_2443,2026-05-24T16:58:34Z,2026-05-24T16:58:34Z,0,"Ma piantala,sempre le solite stronzate, vergognati!",,0,repubblica,author_2443
UgwX5EBN5pdEqSukc1h4AaABAg,,YsU6DCI5rmQ,False,author_2444,2026-05-24T17:08:05Z,2026-05-24T17:08:05Z,0,Patriarkatohhhh!1!1!!2!;!!!,,0,repubblica,author_2444
Ugz7Fppxd6W1ZqlsMZB4AaABAg,,YsU6DCI5rmQ,False,author_144,2026-05-24T17:16:30Z,2026-05-24T17:16:30Z,0,Comunque hai pure delle belle cosce,,0,repubblica,author_144
UgzPBGZB9UN1IqfPCqx4AaABAg,,YsU6DCI5rmQ,False,author_144,2026-05-24T17:16:55Z,2026-05-24T17:16:55Z,0,E dei bei piedi 😂🤣😂🤣,,0,repubblica,author_144
UgwySdxMdSLhgGdfU694AaABAg,,YsU6DCI5rmQ,False,author_2445,2026-05-24T17:39:03Z,2026-05-24T17:39:03Z,2,"Che schifo di battuta, da bavoso maiale",,0,repubblica,author_2445
Ugw_S_Q_mb0gtHsy5DB4AaABAg,,YsU6DCI5rmQ,False,author_2446,2026-05-24T18:00:13Z,2026-05-24T18:00:13Z,3,"Cristo, che tempi cupi...non si può neppure fare un complimento o scherzare un po'. E poi come se i problemi fossero quelli...",,0,repubblica,author_2446
UgwQhr0o0nBexkeQ_yt4AaABAg,,YsU6DCI5rmQ,False,author_83,2026-05-24T18:00:29Z,2026-05-24T18:00:29Z,0,Repubblica oscura Modena e parla del davanzale di sta rimbambita,,0,repubblica,author_83
Ugw_S_Q_mb0gtHsy5DB4AaABAg.AXCGjL8mElFAXCHjoa0AnL,Ugw_S_Q_mb0gtHsy5DB4AaABAg,YsU6DCI5rmQ,True,author_188,2026-05-24T18:09:01Z,2026-05-24T18:09:01Z,1,Ma fatti cazzi tuoi,Ugw_S_Q_mb0gtHsy5DB4AaABAg,1,repubblica,author_188
UgwXVq-nqz0Zu--lskh4AaABAg,,YsU6DCI5rmQ,False,author_69,2026-05-24T18:18:48Z,2026-05-24T18:18:48Z,0,Certi maschi vedono solo quello delle donne...non c'è speranza con quel tipo di omuncoli,,0,repubblica,author_69
