comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugw_Yw2sjkEc1j8jGFt4AaABAg,,_VHKUTW-6ME,False,author_1951,2026-05-25T11:46:16Z,2026-05-25T11:46:16Z,0,🤮,,0,repubblica,author_1951
UgxOWAT_Rdga3h2T5Oh4AaABAg,,_VHKUTW-6ME,False,author_2018,2026-05-25T11:49:20Z,2026-05-25T11:49:20Z,4,No comment,,0,repubblica,author_2018
Ugwg_Zy9PRn8iD-BCt94AaABAg,,_VHKUTW-6ME,False,author_2019,2026-05-25T11:59:32Z,2026-05-25T11:59:32Z,6,Pagliacci criminali,,0,repubblica,author_2019
UgxBm0aLz-pq9ov5DIh4AaABAg,,_VHKUTW-6ME,False,author_30,2026-05-25T12:05:24Z,2026-05-25T12:05:24Z,3,Da radiologo a ginecologo?,,0,repubblica,author_30
UgxzqiqX5roBOQ-S90J4AaABAg,,_VHKUTW-6ME,False,author_185,2026-05-25T12:47:45Z,2026-05-25T12:47:45Z,0,Fallito depravato!,,0,repubblica,author_185
UgzY4WY-YWUPwTKJuEp4AaABAg,,_VHKUTW-6ME,False,author_172,2026-05-25T13:13:22Z,2026-05-25T13:13:22Z,0,N.C.,,0,repubblica,author_172
UgwPZjZhm-p2BEhxvrR4AaABAg,,_VHKUTW-6ME,False,author_131,2026-05-25T14:14:50Z,2026-05-25T14:14:50Z,2,Lercio,,0,repubblica,author_131
UgxPoaDXr0RaqsiVz5N4AaABAg,,_VHKUTW-6ME,False,author_786,2026-05-25T14:17:43Z,2026-05-25T14:17:43Z,7,"Ha preso un Master a pieni voti in ginecologia...ovviamente. Bravo, complimenti. Il bello che ancora lo fanno esercitare come se il mondo gli appartiene. Inaccettabile/inascoltabile.",,0,repubblica,author_786
UgwGi6NLhsio6YPrdiN4AaABAg,,_VHKUTW-6ME,False,author_2020,2026-05-25T15:06:27Z,2026-05-25T15:06:27Z,3,Contenti tutti di aver votato per il NO? Ora vi tenete lo schifo marcio di giudici e pubblico ministero mai punito e corrotto 😊,,0,repubblica,author_2020
UgzONvblnt-3tjZsDfN4AaABAg,,_VHKUTW-6ME,False,author_336,2026-05-25T15:07:50Z,2026-05-25T15:07:50Z,6,Che Schifo.,,0,repubblica,author_336
UgzCq9ti2y6FbEfCre54AaABAg,,_VHKUTW-6ME,False,author_1751,2026-05-25T15:33:10Z,2026-05-25T15:33:10Z,8,Schifo.,,0,repubblica,author_1751
UgzllNdmvn_Z4SCO3jF4AaABAg,,_VHKUTW-6ME,False,author_1263,2026-05-25T16:26:59Z,2026-05-25T16:27:38Z,5,"Il dis-ordine dei mer-dici ha già dato prova della sua inutilità, incompetenza, incapacità durante il lungo periodo del Covid e dei noti sieri magici. A partire dal suo presidente nazionale. Capaci solo di appoggiare la politica , di prescrivere protocolli stupidì e dannosi , e di sospendere e perfino radiare quei veri medici che cercavano di aiutare le persone e i pazienti a curarsi prima , e a contrastare gli effetti dannosi dei sieri poi. In sostanza : il giuramento di Ippocrate buttato nel cesso .",,0,repubblica,author_1263
UgwFCQ7P1ww8VRrA6Z94AaABAg,,_VHKUTW-6ME,False,author_2021,2026-05-25T18:28:24Z,2026-05-25T18:28:24Z,0,"Torna nel privato per fare del peggio,..uno squallido!",,0,repubblica,author_2021
UgxTR-9ZA-j1_KXIVZ94AaABAg,,_VHKUTW-6ME,False,author_2022,2026-05-25T21:36:48Z,2026-05-25T21:36:48Z,3,Vergogna,,0,repubblica,author_2022
UgwZvdy1HkrkT4OkMAh4AaABAg,,_VHKUTW-6ME,False,author_183,2026-05-25T21:41:47Z,2026-05-25T21:41:47Z,0,Che schifo di maiale,,0,repubblica,author_183
UgwGi6NLhsio6YPrdiN4AaABAg.AXEXdX0FFyMAXFFH4Kc87Y,UgwGi6NLhsio6YPrdiN4AaABAg,_VHKUTW-6ME,True,author_183,2026-05-25T21:45:12Z,2026-05-25T21:45:12Z,1,Veramente io ho votato SI,UgwGi6NLhsio6YPrdiN4AaABAg,1,repubblica,author_183
UgwGi6NLhsio6YPrdiN4AaABAg.AXEXdX0FFyMAXFIV1UHs4K,UgwGi6NLhsio6YPrdiN4AaABAg,_VHKUTW-6ME,True,author_2023,2026-05-25T22:13:19Z,2026-05-25T22:13:19Z,3,"Ma cosa c'entra, la tua frase non ha un minimo di senso logico",UgwGi6NLhsio6YPrdiN4AaABAg,1,repubblica,author_2023
UgwGi6NLhsio6YPrdiN4AaABAg.AXEXdX0FFyMAXFJGZNfMbb,UgwGi6NLhsio6YPrdiN4AaABAg,_VHKUTW-6ME,True,author_104,2026-05-25T22:20:05Z,2026-05-25T22:20:05Z,0,"Qui è l' Ordine dei medici ad aver compiuto un atto criminogeno, non la Magistratura !",UgwGi6NLhsio6YPrdiN4AaABAg,1,repubblica,author_104
UgwGi6NLhsio6YPrdiN4AaABAg.AXEXdX0FFyMAXFNlemySy0,UgwGi6NLhsio6YPrdiN4AaABAg,_VHKUTW-6ME,True,author_2024,2026-05-25T22:59:25Z,2026-05-25T22:59:25Z,1,Ma quanto siete ignoranti...è l'ordine dei medici che ha revocato la sospensione. Pur di dire la vostra non leggete nemmeno cosa è scritto,UgwGi6NLhsio6YPrdiN4AaABAg,1,repubblica,author_2024
UgxlJOcxVlo9DE4JYjF4AaABAg,,_VHKUTW-6ME,False,author_2025,2026-05-25T23:31:58Z,2026-05-25T23:31:58Z,0,Dovrebbero spargere la voce è un ginecologo e potrebbe abusare di molte altre donne..le vittime dovrebbero avvisare chi ci va.. ma cosa fare!!?non sono un avvocato ma secondo me con un passa parola.. potremmo proteggerci😢 che bastardo 😢,,0,repubblica,author_2025
UgwGi6NLhsio6YPrdiN4AaABAg.AXEXdX0FFyMAXFRi2cuHu7,UgwGi6NLhsio6YPrdiN4AaABAg,_VHKUTW-6ME,True,author_2025,2026-05-25T23:33:52Z,2026-05-25T23:33:52Z,0,Ha ragione bisognava votare per il sì 😢,UgwGi6NLhsio6YPrdiN4AaABAg,1,repubblica,author_2025
UgxmjsaBDJFSGeeanIx4AaABAg,,_VHKUTW-6ME,False,author_215,2026-05-26T04:35:04Z,2026-05-26T04:35:04Z,1,Forse e' meglio restare malati e non cutarsi....,,0,repubblica,author_215
Ugy9i5BLYwqrWQ6QTNx4AaABAg,,_VHKUTW-6ME,False,author_227,2026-05-26T06:30:40Z,2026-05-26T06:30:40Z,1,VERGOGNA!!!!!!!!,,0,repubblica,author_227
UgzllNdmvn_Z4SCO3jF4AaABAg.AXEfrOvmkFYAXGBXBhMzfz,UgzllNdmvn_Z4SCO3jF4AaABAg,_VHKUTW-6ME,True,author_227,2026-05-26T06:31:41Z,2026-05-26T06:31:41Z,0,Quante verità,UgzllNdmvn_Z4SCO3jF4AaABAg,1,repubblica,author_227
UgwkDWyir5qne1lf1OF4AaABAg,,_VHKUTW-6ME,False,author_2026,2026-05-26T08:09:21Z,2026-05-26T08:09:21Z,0,🤮🤮🤮🤮🤮🤮🤮,,0,repubblica,author_2026
Ugyhbqmf75sOhD57YPF4AaABAg,,_VHKUTW-6ME,False,author_8,2026-05-26T12:27:35Z,2026-05-26T12:27:35Z,0,Mi raccomando..non lamentatevi se dovesse capitare a qualche VOSTRA famigliare..lo avete rimesso al suo POSTO..bravi. Fidarsi di una persona del genere? Impossibile. Ha perso tutto.,,0,repubblica,author_8
UgwGi6NLhsio6YPrdiN4AaABAg.AXEXdX0FFyMAXFw5FBx5B4,UgwGi6NLhsio6YPrdiN4AaABAg,_VHKUTW-6ME,True,author_2027,2026-05-27T00:00:00+00:00,,1,"Commento insensato,ma tanto non credo capisca quanto lo sia",UgwGi6NLhsio6YPrdiN4AaABAg,1,repubblica,author_2027
UgwGi6NLhsio6YPrdiN4AaABAg.AXEXdX0FFyMAXFSK9QD4iN,UgwGi6NLhsio6YPrdiN4AaABAg.AXEXdX0FFyMAXFRi2cuHu7,_VHKUTW-6ME,True,author_104,2026-05-27T00:00:00+00:00,,2,@author_2025 è l' ordine dei medici che l' ha rimesso non il giudice !...e già da sei mesi...la magistratura ha chiuso solo ora le indagini... vedremo cosa succede ora...a breve ci sarà il processo...che idiozie si leggono !,UgwGi6NLhsio6YPrdiN4AaABAg.AXEXdX0FFyMAXFRi2cuHu7,2,repubblica,author_104
