comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzJyoXwk0xBPzcnWOB4AaABAg,,_mcf96lYr6I,False,author_86,2026-05-26T16:20:27Z,2026-05-26T16:20:27Z,0,Weee🎉😊,,0,repubblica,author_86
Ugxy6dtevoIjlApIu3d4AaABAg,,_mcf96lYr6I,False,author_549,2026-05-26T16:28:43Z,2026-05-26T16:28:43Z,0,AYUDA HUMANITARIA PARA HAITI.,,0,repubblica,author_549
Ugzz3CcLKZgqrqGLnyx4AaABAg,,_mcf96lYr6I,False,author_682,2026-05-26T16:31:54Z,2026-05-26T16:31:54Z,0,Ottimo messaggio,,0,repubblica,author_682
UgwtFy3zyg9zh6ktZFl4AaABAg,,_mcf96lYr6I,False,author_30,2026-05-26T16:32:43Z,2026-05-26T16:32:43Z,3,"Spero che i gestori delle pompe, viste le telecamere, vi denuncino. È una proprietà privata e un addetto dovrà perdere del tempo per rimuovere gli adesivi.",,0,repubblica,author_30
UgyT0VXGigHTY5rFPdB4AaABAg,,_mcf96lYr6I,False,author_683,2026-05-26T16:35:39Z,2026-05-26T16:35:39Z,7,Di sicuro quelli di sinistra l'avrebbero portata a 50 centesimi,,0,repubblica,author_683
UgyKgwDKOwDM-eS2UXR4AaABAg,,_mcf96lYr6I,False,author_684,2026-05-26T16:36:26Z,2026-05-26T16:36:26Z,0,Comunque questi sono burattini che prendono ordini da chi comanda veramente.😊,,0,repubblica,author_684
Ugy4AjfvxFXezPyYzRJ4AaABAg,,_mcf96lYr6I,False,author_685,2026-05-26T16:42:43Z,2026-05-26T16:42:43Z,0,Giornale di sinistra,,0,repubblica,author_685
UgyE725-I1YpVVKI2jZ4AaABAg,,_mcf96lYr6I,False,author_425,2026-05-26T16:42:56Z,2026-05-26T16:42:56Z,1,Meschinate ...quando con conte nel 2020 raggiunse 2.20 tutti muti. BUFFONI,,0,repubblica,author_425
UgxKU6xVMvHb1zDMfdx4AaABAg,,_mcf96lYr6I,False,author_686,2026-05-26T16:44:05Z,2026-05-26T16:44:05Z,0,Ma alle urne vince la dx ..ma gli italiani sono tutti fessi?!,,0,repubblica,author_686
Ugzs_zwlM_fQ_ndub014AaABAg,,_mcf96lYr6I,False,author_687,2026-05-26T16:48:02Z,2026-05-26T16:48:02Z,0,Trump si è messo paura,,0,repubblica,author_687
UgyPFEWyz8bgtV0iNkZ4AaABAg,,_mcf96lYr6I,False,author_688,2026-05-26T16:48:32Z,2026-05-26T16:48:32Z,0,Cagata pazzesca!,,0,repubblica,author_688
UgwtFy3zyg9zh6ktZFl4AaABAg.AXHGJH8CFSiAXHIBO3sJUc,UgwtFy3zyg9zh6ktZFl4AaABAg,_mcf96lYr6I,True,author_41,2026-05-26T16:49:07Z,2026-05-26T16:49:07Z,2,"Fanno bene, non fanno danni e male a nessuno, sono adesivi, con un colpo di straccio bagnato vengono via bigotti...",UgwtFy3zyg9zh6ktZFl4AaABAg,1,repubblica,author_41
UgyKgwDKOwDM-eS2UXR4AaABAg.AXHGjSPuPsZAXHIH-jQ3Ae,UgyKgwDKOwDM-eS2UXR4AaABAg,_mcf96lYr6I,True,author_41,2026-05-26T16:49:53Z,2026-05-26T16:49:53Z,0,Gomblot...mom sai neanche di che parli...,UgyKgwDKOwDM-eS2UXR4AaABAg,1,repubblica,author_41
UgyT0VXGigHTY5rFPdB4AaABAg.AXHGdmmKRH6AXHIhJ8-NTP,UgyT0VXGigHTY5rFPdB4AaABAg,_mcf96lYr6I,True,author_689,2026-05-26T16:53:37Z,2026-05-26T16:53:37Z,8,"Sono di destra , dimmi che ha fatto la meloni in 4 anni",UgyT0VXGigHTY5rFPdB4AaABAg,1,repubblica,author_689
UgxUxuqx6-wGUYCeCfN4AaABAg,,_mcf96lYr6I,False,author_690,2026-05-26T16:54:23Z,2026-05-26T16:55:08Z,0,Ah ok... Quindi il costo carburanti é aumentato grazie al contributo di Giorgia Meloni... Non mi risulta che il nostro governo abbia dato manforte agli Usa sul conflitto in Iran.. infatti gli usa hanno detto che l'Italia è stata inutile sul conflitto. Quindi... Greenpeace notte fonda,,0,repubblica,author_690
UgyT0VXGigHTY5rFPdB4AaABAg.AXHGdmmKRH6AXHJABy4l-0,UgyT0VXGigHTY5rFPdB4AaABAg.AXHGdmmKRH6AXHIhJ8-NTP,_mcf96lYr6I,True,author_683,2026-05-26T16:57:42Z,2026-05-26T16:57:42Z,2,@user !! Infatti si deve votare più a destra la meloni è troppo in centro,UgyT0VXGigHTY5rFPdB4AaABAg.AXHGdmmKRH6AXHIhJ8-NTP,2,repubblica,author_683
UgxSDhH_bc9EUQ7q10V4AaABAg,,_mcf96lYr6I,False,author_691,2026-05-26T16:59:33Z,2026-05-26T17:02:08Z,0,"Certo se c'era la Sinistra al governo, te lo regalavano, ma certo!",,0,repubblica,author_691
