comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugx7h4R79eNN_-82Nrx4AaABAg,,_qPDqSBiyIA,False,author_2540,2026-05-24T14:21:51Z,2026-05-24T14:21:51Z,1,Un grande pensatore. Collegare la salubrità del cibo alla biodiversità e quindi alla salubrità dell'ambiente e di conseguenza ai popoli che mantengono la biodiversità feconda e con essa anche la loro cultura e lingua...una delle magie di Petrini 😢,,0,repubblica,author_2540
UgwBXOy4itrs4sgS_qJ4AaABAg,,_qPDqSBiyIA,False,author_30,2026-05-24T14:22:49Z,2026-05-24T14:22:49Z,1,Pertini fa vergognare tutta la sinistra di oggi. Lui metteva al primo posto il popolo anche chi non la pensava come lui.,,0,repubblica,author_30
UgwWxu0lwusz1CjqAk54AaABAg,,_qPDqSBiyIA,False,author_2541,2026-05-24T14:24:12Z,2026-05-24T14:24:12Z,1,"😢😢😢riposa in pace gigante buono 😢😢😢 condoglianze alla famiglia e amici😢😢😢una ragione in più per tenere viva la memoria 😢😢😢 l'unica certezza che abbiamo è la morte 😢😢😢 nessuno può sfuggire alla morte 😢😢😢 ecco perché imparare a vivere è molto importante, imparare a usare l'esistenza terrestre per lasciare qualcosa di prezioso alle generazioni future, la vita è una enorme opportunità di fare la differenza 😢😢😢non morire dentro anzitempo perché... c'è un gran da fare a disprezzare la vita e farci la vita un calvario infernale 😢😢😢 è una enorme sfida di civiltà... sempre 😢😢😢",,0,repubblica,author_2541
Ugy4UqbDC3BbvQ_--Qx4AaABAg,,_qPDqSBiyIA,False,author_86,2026-05-24T14:30:04Z,2026-05-24T14:30:04Z,0,Weeee🎉🎉,,0,repubblica,author_86
UgxSwYsKD-LIfF87Orl4AaABAg,,_qPDqSBiyIA,False,author_86,2026-05-24T14:30:11Z,2026-05-24T14:30:11Z,1,Mi dispiace molto 🎉,,0,repubblica,author_86
UgzLPuaC3hGdX8MLDHR4AaABAg,,_qPDqSBiyIA,False,author_2542,2026-05-24T14:34:52Z,2026-05-24T14:34:52Z,3,"Moni Ovadia, un grande personaggio, un grande UOMO",,0,repubblica,author_2542
Ugx9A7IHtb3B2_Q1dBx4AaABAg,,_qPDqSBiyIA,False,author_2543,2026-05-24T14:42:19Z,2026-05-24T14:42:19Z,1,esagerato,,0,repubblica,author_2543
Ugzs7JvBxrrMIHu87SR4AaABAg,,_qPDqSBiyIA,False,author_2544,2026-05-24T16:37:39Z,2026-05-24T16:37:39Z,0,"Mangia bene, mangia bene..e.... Camilleri fumava come un turco, si mangiava di tutto, anche le pietre, ed è arrivato quasi ha 100 anni ...",,0,repubblica,author_2544
UgwBXOy4itrs4sgS_qJ4AaABAg.AXBsr3mR3WTAXDeMVkRQK1,UgwBXOy4itrs4sgS_qJ4AaABAg,_qPDqSBiyIA,True,author_539,2026-05-25T06:54:39Z,2026-05-25T06:54:39Z,0,Rileggi bene.,UgwBXOy4itrs4sgS_qJ4AaABAg,1,repubblica,author_539
UgyAkmgn4Ep03byiOuJ4AaABAg,,_qPDqSBiyIA,False,author_2545,2026-05-25T07:07:54Z,2026-05-25T07:07:54Z,0,Tipo.... Ho la cacca... E cagava....,,0,repubblica,author_2545
Ugx6avWCk2HdwT9f6X14AaABAg,,_qPDqSBiyIA,False,author_2546,2026-05-26T12:47:26Z,2026-05-26T12:47:26Z,0,Carlin su questa terra hai lasciato solo bene.❤,,0,repubblica,author_2546
