comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwmFew_ePIZ3JJqNrV4AaABAg,,az6n02x-1QE,False,author_52,2026-05-27T08:47:17Z,2026-05-27T08:47:17Z,6,"Verissimo ormai i genitori sono solo in competizione tra di loro per vedere chi ha il o figlio migliore dell'altro e i professori stanno diventando il capo espiatorio dei genitori,la scuola ha perso tutto il suo significato",,0,repubblica,author_52
UgzPz9r_yy52CT37UZ54AaABAg,,az6n02x-1QE,False,author_382,2026-05-27T08:54:57Z,2026-05-27T08:54:57Z,1,"Prof , ci vuole un equilibrio. Esistono anche prof oppressori, che sono generalmente di sinistra",,0,repubblica,author_382
UgzPz9r_yy52CT37UZ54AaABAg.AXJ0iJZzWlFAXJ1ppezj1L,UgzPz9r_yy52CT37UZ54AaABAg,az6n02x-1QE,True,author_383,2026-05-27T09:04:42Z,2026-05-27T09:04:42Z,0,😂,UgzPz9r_yy52CT37UZ54AaABAg,1,repubblica,author_383
UgxorOI0xlmWbGV153p4AaABAg,,az6n02x-1QE,False,author_384,2026-05-27T09:04:54Z,2026-05-27T09:04:54Z,1,Dopo la terza media non c'è obbligo scolastico.,,0,repubblica,author_384
UgzPz9r_yy52CT37UZ54AaABAg.AXJ0iJZzWlFAXJ29wU84tE,UgzPz9r_yy52CT37UZ54AaABAg,az6n02x-1QE,True,author_382,2026-05-27T09:07:35Z,2026-05-27T09:07:35Z,0,@user ridi 🐄,UgzPz9r_yy52CT37UZ54AaABAg.AXJ0iJZzWlFAXJ1ppezj1L,2,repubblica,author_382
UgzPz9r_yy52CT37UZ54AaABAg.AXJ0iJZzWlFAXJ2IZ3AQAn,UgzPz9r_yy52CT37UZ54AaABAg,az6n02x-1QE,True,author_385,2026-05-27T09:08:46Z,2026-05-27T09:13:51Z,0,"Io quelli che mi opprimevano a scuola erano tutti dei fascisti, ma grazie a loro ho capito bene chi è il nemico e chi va combattuto a tutti i costi. Quelli come te, che sono dei poveri sfigati che stanno li a fare gli interessi della destra, che per inteso è solo mafia, banche e grandi imprenditori, che sono piú o meno sempre la stessa cosa, mentre tu sei solo un poveraccio che fa gli interessi dei gatti, quando lui è nato topo",UgzPz9r_yy52CT37UZ54AaABAg,1,repubblica,author_385
Ugy7tjHLL6iwAbOQ6iN4AaABAg,,az6n02x-1QE,False,author_386,2026-05-27T09:10:02Z,2026-05-27T09:10:02Z,2,I professori sono una categoria che va controllata maggiormente invece.,,0,repubblica,author_386
UgyABZV8gEhpf04mAzx4AaABAg,,az6n02x-1QE,False,author_387,2026-05-27T09:11:39Z,2026-05-27T09:11:39Z,5,Prof. Cacciari condivido pienamente la sua riflessione,,0,repubblica,author_387
UgxorOI0xlmWbGV153p4AaABAg.AXJ1rID6BD0AXJ3NO1C69e,UgxorOI0xlmWbGV153p4AaABAg,az6n02x-1QE,True,author_388,2026-05-27T09:18:10Z,2026-05-27T09:18:10Z,2,"Non è vero. L'obbligo arriva ai 16 anni di età, e dopo resta comunque un obbligo formativo fino ai 18 anni. Resta inteso che dovremmo formarci per tutta la vita.",UgxorOI0xlmWbGV153p4AaABAg,1,repubblica,author_388
UgxorOI0xlmWbGV153p4AaABAg.AXJ1rID6BD0AXJ3YcIu0gK,UgxorOI0xlmWbGV153p4AaABAg,az6n02x-1QE,True,author_188,2026-05-27T09:19:42Z,2026-05-27T09:19:42Z,1,E si vedono le conseguenze infatti,UgxorOI0xlmWbGV153p4AaABAg,1,repubblica,author_188
UgzPz9r_yy52CT37UZ54AaABAg.AXJ0iJZzWlFAXJ3mXU2BhA,UgzPz9r_yy52CT37UZ54AaABAg,az6n02x-1QE,True,author_188,2026-05-27T09:21:44Z,2026-05-27T09:21:44Z,2,Ovvio. Li a destra non sanno nemmeno leggere.,UgzPz9r_yy52CT37UZ54AaABAg,1,repubblica,author_188
UgzPz9r_yy52CT37UZ54AaABAg.AXJ0iJZzWlFAXJ4F3k73-f,UgzPz9r_yy52CT37UZ54AaABAg.AXJ0iJZzWlFAXJ3mXU2BhA,az6n02x-1QE,True,author_383,2026-05-27T09:25:46Z,2026-05-27T09:25:46Z,2,@author_188😂bis,UgzPz9r_yy52CT37UZ54AaABAg.AXJ0iJZzWlFAXJ3mXU2BhA,2,repubblica,author_383
Ugxik2DvZJYh5nf5vRh4AaABAg,,az6n02x-1QE,False,author_389,2026-05-27T09:28:18Z,2026-05-27T09:28:18Z,0,"Dipende da cosa i professori vogliono trasmettere ai ragazzi... Se sono li per fare il loro mestiere e dare un istruzione, assolutamente d'accordo. Se invece, come qualcuno fa, sono li per fare i lavaggi dei cervelli e instradare i ragazzi verso alcune direzioni piuttosto che altre, bè, allora c'è da sorvegliare.",,0,repubblica,author_389
Ugy7tjHLL6iwAbOQ6iN4AaABAg.AXJ2RsW9htQAXJ5K2mgZ87,Ugy7tjHLL6iwAbOQ6iN4AaABAg,az6n02x-1QE,True,author_227,2026-05-27T09:35:11Z,2026-05-27T09:35:11Z,0,"Pazzesco!!! Vigilare sui professori , io controllerei di più lo scarso lavoro dei politici,",Ugy7tjHLL6iwAbOQ6iN4AaABAg,1,repubblica,author_227
UgxorOI0xlmWbGV153p4AaABAg.AXJ1rID6BD0AXJ5WKoLMAh,UgxorOI0xlmWbGV153p4AaABAg,az6n02x-1QE,True,author_385,2026-05-27T09:36:52Z,2026-05-27T09:36:52Z,0,Infatti non è vero e si nota che l'ingoranza crea grossi danni,UgxorOI0xlmWbGV153p4AaABAg,1,repubblica,author_385
