comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugx6crFFulQa9N9RW6V4AaABAg,,nfPwYH-Vklk,False,author_2276,2026-05-25T05:24:49Z,2026-05-25T05:24:49Z,0,❤,,0,repubblica,author_2276
UgyVtUU_d9D38pbGsBd4AaABAg,,nfPwYH-Vklk,False,author_83,2026-05-25T06:38:27Z,2026-05-25T06:38:27Z,0,Eh ma non è una cosa nuova. In Italia va avanti chi non lo merita. Anche a repubblica quanti sono lì per merito e quanti per leccaculismo?,,0,repubblica,author_83
UgzEn6nzFwjaPfwhCkl4AaABAg,,nfPwYH-Vklk,False,author_2277,2026-05-25T06:42:49Z,2026-05-25T06:42:49Z,1,Ci mancava il commento del subumano lobotomizzato cartonato,,0,repubblica,author_2277
UgwflMM3D5fnGWwngzd4AaABAg,,nfPwYH-Vklk,False,author_2278,2026-05-25T08:14:20Z,2026-05-25T08:14:20Z,1,"Dire che Gasperini sia il migliore della serie A negli ultimi 20 anni e mettere in mezzo diouf e Luis Henrique non ha alcun senso. Per il resto discorso condivisibile anche se troppo estremizzato. Vi ricordo che il calcio più bello negli ultimi anni lo ha espresso l'Inter, anche quest'anno, eppure è stata presa in giro per aver perso le finali di champion, invece di sottolineare il lavoro e il miracolo fatto per arrivare lì",,0,repubblica,author_2278
UgxrqQoKRKNeoscA5QF4AaABAg,,nfPwYH-Vklk,False,author_2279,2026-05-25T08:27:44Z,2026-05-25T09:01:44Z,1,Il Como e la Roma sono solo fuochi di paglia e la prossima stagione sarà chiara. Il Como ha meritato la Champions League ma adesso dovrà fare i conti con le liste e il Fair play. La Roma ha un buco enorme da riempire. Complimenti perché lo hanno meritato ma sono arrivate lì anche per demerito altrui. E non mi stupirei l'anno prossimo di vedere tutto al contrario. Ricordo il Milan di Sacchi vincere il campionato e l'anno dopo lo vince l'Inter di Trapattoni dato per finito. Il problema per me non sono gli allenatori ma i giocatori. Non concordo per nulla. La Roma Senza Malen non entrava nemmeno in zona Euro League. I giocatori fanno la differenza e da sempre. E certamente le società alle spalle. E un centroavanti conta più di un allenatore.,,0,repubblica,author_2279
UgyvAb9HfUKHx1w9mC14AaABAg,,nfPwYH-Vklk,False,author_2280,2026-05-25T12:44:07Z,2026-05-25T12:44:07Z,0,Mettere in mezzo giocatori dell' Inter ha davvero poco senso😅,,0,repubblica,author_2280
Ugy8Tr00DniSziZfndl4AaABAg,,nfPwYH-Vklk,False,author_2281,2026-05-25T18:33:43Z,2026-05-25T18:33:43Z,0,"Allenatore bravissimo, Fabregas sugli altari, domani cambia squadra e si ritrova come Motta e company. Ha avuto culo di avere avuto una buona squadra e niente altro.",,0,repubblica,author_2281
Ugywswlh1GNMw995gRt4AaABAg,,nfPwYH-Vklk,False,author_2282,2026-05-25T20:46:52Z,2026-05-25T20:46:52Z,0,Il commento con la coda di coniglio sul microfono serve ad amplificare lo status del giornalista o semplicemente il nuovo tecnico audio non trovava più il copri microfono e si è arrangiato con quello che aveva in borsa? (E se è così la domanda vera è: ma dove è finito il resto del coniglio?),,0,repubblica,author_2282
Ugzxn_bpzvwJz9VnVeF4AaABAg,,nfPwYH-Vklk,False,author_2283,2026-05-25T21:47:35Z,2026-05-25T21:47:35Z,0,"Buffoni quelli che fanno tutta l erba un fascio solo per paura di dover parlare solo di allegri Senza coppe,da luglio con modric rabiot maignan e 170mln spesi Menomale su sky non ci 6 più",,0,repubblica,author_2283
UgxqLNyiUiKUBct2pi54AaABAg,,nfPwYH-Vklk,False,author_2284,2026-05-26T09:44:54Z,2026-05-26T09:44:54Z,0,"Giusto così ha vinto il calcio sul non calcio ,vedi Milan!",,0,repubblica,author_2284
