comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxYEuH4yiKr1-XO2IV4AaABAg,,q3c3eXblb0s,False,author_1348,2026-05-26T12:50:36Z,2026-05-26T12:50:36Z,0,Ma non dovevano controllare i cellulari???? Non è saltato fuori nulla? Nessuna ricerca sulla ricins?,,0,repubblica,author_1348
UgycUjbA-oarJ6ljD5J4AaABAg,,q3c3eXblb0s,False,author_1349,2026-05-26T12:54:40Z,2026-05-26T12:54:40Z,3,Ma quanto sono ridicoli,,0,repubblica,author_1349
Ugy7daKprT9KPRXevgd4AaABAg,,q3c3eXblb0s,False,author_215,2026-05-26T13:18:00Z,2026-05-26T13:18:00Z,3,Parenti serpenti? Fratelli coltelli? Non credo molto al caso....anzi per nulla!,,0,repubblica,author_215
Ugxh9QnyLxCaxqLUlfR4AaABAg,,q3c3eXblb0s,False,author_625,2026-05-26T13:23:53Z,2026-05-26T13:23:53Z,1,Ma che strano.?.la cosa comincia a puzzare.fin troppo.dai che ci siamo.?,,0,repubblica,author_625
UgwKd2_BtSoCfa5_Obp4AaABAg,,q3c3eXblb0s,False,author_1350,2026-05-26T13:57:58Z,2026-05-26T13:57:58Z,3,Ma tu puoi interrogare una signora di 92 anni?,,0,repubblica,author_1350
Ugwzrp7f7jbTe8Hh03B4AaABAg,,q3c3eXblb0s,False,author_2,2026-05-26T15:37:19Z,2026-05-26T15:37:19Z,6,"Va bene sappiamo già come andrà a finire.....la verità verrà a galla tra 20 anni per piste sbagliate depistaggi e compagnia bella ,la grande macchina della giustizia",,0,repubblica,author_2
Ugzov_rwE9s5BovISu54AaABAg,,q3c3eXblb0s,False,author_668,2026-05-26T15:40:04Z,2026-05-26T15:40:04Z,0,Spero di 💖❤️ abbiano giustizia,,0,repubblica,author_668
Ugz0icYNJmxxIUjbUnx4AaABAg,,q3c3eXblb0s,False,author_1351,2026-05-26T17:44:12Z,2026-05-26T17:44:12Z,2,"Della serie Arsenico e Vecchi Merletti”. Per favore , magistrati illuminati , non cacciate dentro la signora ( lo so che per l’ eta’ non e’ possibile) perche’ alla revisione del processo dopo 17 anni temo che non ci arrivi.",,0,repubblica,author_1351
UgzBiXOW8cnqAb_TzFp4AaABAg,,q3c3eXblb0s,False,author_227,2026-05-27T06:02:51Z,2026-05-27T06:02:51Z,0,Della serie quando la verità fa male a qualcuno ........,,0,repubblica,author_227
Ugw-_mLdGbaCb0cUxpp4AaABAg,,q3c3eXblb0s,False,author_1352,2026-05-27T08:21:51Z,2026-05-27T08:21:51Z,0,HA stato la vecchia,,0,repubblica,author_1352
UgwKd2_BtSoCfa5_Obp4AaABAg.AXGzapPkbgPAXKSaOAmQGK,UgwKd2_BtSoCfa5_Obp4AaABAg,q3c3eXblb0s,True,author_1353,2026-05-27T22:17:46Z,2026-05-27T22:17:46Z,0,Se può risultare utile alle indagini la risposta è: sì,UgwKd2_BtSoCfa5_Obp4AaABAg,1,repubblica,author_1353
UgwKd2_BtSoCfa5_Obp4AaABAg.AXGzapPkbgPAXLMtt1nqEB,UgwKd2_BtSoCfa5_Obp4AaABAg.AXGzapPkbgPAXKSaOAmQGK,q3c3eXblb0s,True,author_1350,2026-05-28T06:47:15Z,2026-05-28T06:47:15Z,0,"@user cosa vuoi Ke ti dica una signora di 92 anni? Possibile Ke tra computer,telefonino interrogatori,nn sia proprio uscito niente,cm vogliono farci credere?",UgwKd2_BtSoCfa5_Obp4AaABAg.AXGzapPkbgPAXKSaOAmQGK,2,repubblica,author_1350
