comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxGiRSx9zsuFmLlpSF4AaABAg,,q6HB9h-Uz7s,False,author_1998,2026-05-25T13:07:32Z,2026-05-25T13:07:32Z,1,Fantastico 🎉🎉🎉,,0,repubblica,author_1998
Ugzfk3-2Ys59au-pm2d4AaABAg,,q6HB9h-Uz7s,False,author_242,2026-05-25T13:07:44Z,2026-05-25T13:07:44Z,0,😅,,0,repubblica,author_242
UgzFiwdQ0pMCpm8i7kx4AaABAg,,q6HB9h-Uz7s,False,author_1999,2026-05-25T13:19:20Z,2026-05-25T13:19:20Z,9,In questi festeggiamenti il Mio Cagliari merita una riconoscenza.,,0,repubblica,author_1999
UgwYeArYrSFEJnQqjOx4AaABAg,,q6HB9h-Uz7s,False,author_2000,2026-05-25T15:55:45Z,2026-05-25T15:55:45Z,2,Sono juventina ma complimenti ai ragazzi del Como se lo meritano!!,,0,repubblica,author_2000
Ugw25IoPvWQTLxwqE3l4AaABAg,,q6HB9h-Uz7s,False,author_1624,2026-05-25T17:29:56Z,2026-05-25T17:29:56Z,0,La faccia di chi poi dovrà pulire e asciugare il tutto. 👺,,0,repubblica,author_1624
UgzFiwdQ0pMCpm8i7kx4AaABAg.AXELO1jRLxVAXEvjUD_lIB,UgzFiwdQ0pMCpm8i7kx4AaABAg,q6HB9h-Uz7s,True,author_2001,2026-05-25T18:45:43Z,2026-05-25T18:45:43Z,0,Beeeeeeeeeeee,UgzFiwdQ0pMCpm8i7kx4AaABAg,1,repubblica,author_2001
UgwVRdXrzQuOOYZlzWJ4AaABAg,,q6HB9h-Uz7s,False,author_2002,2026-05-25T19:52:00Z,2026-05-25T19:52:00Z,0,I. Giocatori del milan nn avrebbero mai festeggiato cosi..,,0,repubblica,author_2002
Ugzeb-2xfVYJ7KLu4NJ4AaABAg,,q6HB9h-Uz7s,False,author_718,2026-05-25T21:43:20Z,2026-05-25T21:43:20Z,0,"Come l'atalanta, qualcuno ci capisce, compra i giocatori buoni , li azzecca e si va nel calcio europeo che conta mentre a Firenze si gioca con il Ponsacco in Conference.",,0,repubblica,author_718
Ugzu1-qu21yjdwTLLiJ4AaABAg,,q6HB9h-Uz7s,False,author_2003,2026-05-26T05:42:53Z,2026-05-26T05:42:53Z,0,MA CHI SE NE FREGA,,0,repubblica,author_2003
UgwmBaBe19mGv7Zxwg94AaABAg,,q6HB9h-Uz7s,False,author_2004,2026-05-26T19:41:04Z,2026-05-26T19:41:04Z,0,se lo meritano,,0,repubblica,author_2004
Ugzu1-qu21yjdwTLLiJ4AaABAg.AXG5wmfe2HCAXHbNX7sKzw,Ugzu1-qu21yjdwTLLiJ4AaABAg,q6HB9h-Uz7s,True,author_2005,2026-05-26T19:45:32Z,2026-05-26T19:45:32Z,0,Ahahahaha rosica!,Ugzu1-qu21yjdwTLLiJ4AaABAg,1,repubblica,author_2005
UgyB20kHClIzNyqR0LB4AaABAg,,q6HB9h-Uz7s,False,author_2005,2026-05-26T19:46:40Z,2026-05-26T19:46:40Z,0,"Grandi, sono contento per loro e godo come un riccio che i gobbi di merda debbano sucare fortissimo ❤ Forza Toro!",,0,repubblica,author_2005
Ugzu1-qu21yjdwTLLiJ4AaABAg.AXG5wmfe2HCAXHcB2xSR_A,Ugzu1-qu21yjdwTLLiJ4AaABAg.AXG5wmfe2HCAXHbNX7sKzw,q6HB9h-Uz7s,True,author_2003,2026-05-26T19:52:34Z,2026-05-26T19:52:34Z,0,"@user non seguo il calcio e quelli che lo fanno sono dei veri idioti,i calciatori e allenatori prendono miliardi che cazzo prende il tifoso a parte il freddo in tribuna!!!andate ancora allo stadio a spendere soldi x questi fannulloni strapagati",Ugzu1-qu21yjdwTLLiJ4AaABAg.AXG5wmfe2HCAXHbNX7sKzw,2,repubblica,author_2003
