comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwISzeoWTbh7y77LZd4AaABAg,,tJGcw5TVtvY,False,author_213,2026-05-26T18:57:38Z,2026-05-26T19:23:52Z,7,"Se era un extracomunitario adesso La rubrica dei commenti sarebbe subissata di commenti dei fans di Salvini e vannacci, sono italiani ed e italiano l'autore del vil gesto, guardacaso zero commenti che strano 🤔🎪",,0,repubblica,author_213
UgwISzeoWTbh7y77LZd4AaABAg.AXHWtbxDMc6AXHZKJ3QyZL,UgwISzeoWTbh7y77LZd4AaABAg,tJGcw5TVtvY,True,author_68,2026-05-26T19:18:53Z,2026-05-26T19:18:53Z,1,Sicuramente era pure una risorsa meloniana,UgwISzeoWTbh7y77LZd4AaABAg,1,repubblica,author_68
UgwISzeoWTbh7y77LZd4AaABAg.AXHWtbxDMc6AXHZQ3Yv7vU,UgwISzeoWTbh7y77LZd4AaABAg,tJGcw5TVtvY,True,author_227,2026-05-26T19:19:40Z,2026-05-26T19:19:40Z,3,"Io invece un commento lo voglio fare, non so chi è la persona che ha commesso questo terribile reato ma penso che occorra mettere costui nell'impossibilità di recare altri danni alla collettività essendosi dotato anche di varie armi , quindi per me dovrebbe andarsene dritto dritto in prigione e buttare la chiave.Questo servirebbe di deterrente per eventuali altri agressori",UgwISzeoWTbh7y77LZd4AaABAg,1,repubblica,author_227
UgwISzeoWTbh7y77LZd4AaABAg.AXHWtbxDMc6AXHZnKQOVgv,UgwISzeoWTbh7y77LZd4AaABAg.AXHWtbxDMc6AXHZQ3Yv7vU,tJGcw5TVtvY,True,author_213,2026-05-26T19:22:59Z,2026-05-26T19:28:07Z,1,"@author_227, sono pienamente d'accordo ma purtroppo sono commenti acchiappa likes quello come il suo al quale nessuno al governo darà seguito.",UgwISzeoWTbh7y77LZd4AaABAg.AXHWtbxDMc6AXHZQ3Yv7vU,2,repubblica,author_213
UgwISzeoWTbh7y77LZd4AaABAg.AXHWtbxDMc6AXH_Y0Wjt1G,UgwISzeoWTbh7y77LZd4AaABAg,tJGcw5TVtvY,True,author_507,2026-05-26T19:29:30Z,2026-05-26T19:29:30Z,0,"Allora lo commento io...il punto che vi sfugge è che in ogni nazione c'è la sua parte di criminalità(nessuno escluso) e ogni popolazione ha il compito di gestirla,l Italia è settata per gestire un certo tipo di criminalità e in un certo volume..il crimine c'è da sempre e sempre ci sarà,quello che non possiamo fare è pagare e gestire un ondata di criminalità fuori misura causata principalmente dall aumento di una pessima immigrazione perché costa soldi e vite italiane!!non è più un concetto di destra o sinistra,shlein o meloni ecc ecc. Adesso(non fra 2 anni) è il momento di decidere se I nostri figli e nipoti in futuro dovranno preoccuparsi del singolo criminale che incroci solo per caso o di intere bande di stranieri che non incroci ma ti prendono di mira!!io personalmente voglio vedere crescere I miei figli nella stessa Italia in cui sono cresciuto io e non in quella in cui ora sono costretto a vivere!!ora offendimi pure,dammi del fascista o del razzista,non mi importa...l unica cosa che mi importa è che capiate la differenza tra vita e politica!!nessuno sta dicendo ""fuori tutti"" ma è ora di dire ""controlliamo chi entra e sbattiamo fuori chi è pericoloso""nulla di più e nulla di meno",UgwISzeoWTbh7y77LZd4AaABAg,1,repubblica,author_507
UgwISzeoWTbh7y77LZd4AaABAg.AXHWtbxDMc6AXH_eBY1sO6,UgwISzeoWTbh7y77LZd4AaABAg.AXHWtbxDMc6AXHZnKQOVgv,tJGcw5TVtvY,True,author_227,2026-05-26T19:30:28Z,2026-05-26T19:30:28Z,0,@user penso che i mali di questo mondo vengano tutti dai politici,UgwISzeoWTbh7y77LZd4AaABAg.AXHWtbxDMc6AXHZnKQOVgv,3,repubblica,author_227
Ugykheno8pC69AKmewN4AaABAg,,tJGcw5TVtvY,False,author_185,2026-05-26T19:51:57Z,2026-05-26T19:51:57Z,2,"Quanti psicopatici in giro , mamma mia ..",,0,repubblica,author_185
Ugxr22M5bTzxQUfN1kp4AaABAg,,tJGcw5TVtvY,False,author_513,2026-05-26T21:32:14Z,2026-05-26T21:32:14Z,3,Oramai siamo diventati bersagli viventi .,,0,repubblica,author_513
UgyO1xxj6N1WUu_0Vfl4AaABAg,,tJGcw5TVtvY,False,author_514,2026-05-27T02:57:36Z,2026-05-27T02:57:36Z,4,Meno male che Kubrick ha vietato la visione del film arancia meccanica. Meno male,,0,repubblica,author_514
UgzsR0W_bBsCMQycsDp4AaABAg,,tJGcw5TVtvY,False,author_116,2026-05-27T06:54:10Z,2026-05-27T06:54:10Z,0,"A parte il machete...che uno potrebbe anche avere se ha un grande giardino o un campo, ma piu' o meno tutti abbiamo 11 o piu' coltelli in casa. Piu' decine di forchette ,cucchiai, cucchiaini... Il fucile da Sub e' abbastanza particolare ,ma anche quello , se uno e' appassionato di pesca subacquea.... Avessero detto un Bazooka o una Mina Anticarro posso capire. Ma qui siamo ancora nell'ambito della normalita'. E' andare in giro con quegli oggetti che non e' normale.",,0,repubblica,author_116
