comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxJAOCPjm_LS9Zw0n14AaABAg,,xtbS_pwzM30,False,author_338,2026-05-26T06:36:02Z,2026-05-26T06:36:02Z,4,Per fortuna 👋👋👋👋,,0,repubblica,author_338
UgyQ0ghPE2zGfhrsRC14AaABAg,,xtbS_pwzM30,False,author_647,2026-05-26T06:57:04Z,2026-05-26T06:57:04Z,4,Bene cosi potra continuare quello che ha fatto l'altro sindaco,,0,repubblica,author_647
UgzglNJPxtXnezDqYgh4AaABAg,,xtbS_pwzM30,False,author_1815,2026-05-26T06:58:02Z,2026-05-26T06:58:02Z,0,Staremo a vedere,,0,repubblica,author_1815
UgzU9UYpwJ1XNA3-47V4AaABAg,,xtbS_pwzM30,False,author_718,2026-05-26T07:09:14Z,2026-05-26T07:09:14Z,3,Ahagahah grappa ahahahagahagah a fiumi! Shahahshahahahah GRAPPAaaaaaaaaaaaaaa!!!!!!!!,,0,repubblica,author_718
Ugwz10bI7KIwoRmEJN94AaABAg,,xtbS_pwzM30,False,author_173,2026-05-26T07:10:19Z,2026-05-26T07:10:19Z,7,Sono contenta 💗 nn è troppo tardi lavorare x gli interessi dei VENEZIANI e nn dei musulmani❤❤❤❤,,0,repubblica,author_173
UgzBUvO_mH5CIipyk-x4AaABAg,,xtbS_pwzM30,False,author_1816,2026-05-26T07:14:16Z,2026-05-26T07:14:16Z,0,C era canditato Sindaco pure il musulmano? Roba da pazzi,,0,repubblica,author_1816
UgwPvR5R8HbN80ZuLZp4AaABAg,,xtbS_pwzM30,False,author_144,2026-05-26T07:20:08Z,2026-05-26T07:20:08Z,0,Alla facciazza delle merdakkie sinistre che pensavano il centro destra era destinato a fallire dopo il ref,,0,repubblica,author_144
UgwgbEVBS1OBzfHyx0J4AaABAg,,xtbS_pwzM30,False,author_134,2026-05-26T07:28:31Z,2026-05-26T07:28:31Z,0,Pd e Islam KO,,0,repubblica,author_134
Ugyu0G6KDFCKyjpa0-d4AaABAg,,xtbS_pwzM30,False,author_1817,2026-05-26T07:36:09Z,2026-05-26T07:36:09Z,3,❤VITTTORIA ❤❤❤,,0,repubblica,author_1817
UgzuORFjNOa7oYvIccZ4AaABAg,,xtbS_pwzM30,False,author_1817,2026-05-26T07:36:41Z,2026-05-26T07:36:41Z,8,"Il mio Veneto , grazie Venezia ❤❤❤",,0,repubblica,author_1817
UgwNn-X6SldjHCmu7kl4AaABAg,,xtbS_pwzM30,False,author_1818,2026-05-26T07:42:40Z,2026-05-26T07:42:40Z,4,Venezia ora finalmente risorgerá. Un sindaco che fará l'interesse del popolo,,0,repubblica,author_1818
UgxMrWgR3E03w3xxxvN4AaABAg,,xtbS_pwzM30,False,author_1819,2026-05-26T07:46:36Z,2026-05-26T07:46:36Z,0,GRANDE SINDACO.. GRANDE CENTRO D' ESTRA.. ❤ LA SINISTRA AFFONDATA CON LE SUE IDEE DI M,,0,repubblica,author_1819
UgzKMNb5AtMyTSv4XgB4AaABAg,,xtbS_pwzM30,False,author_216,2026-05-26T08:09:52Z,2026-05-26T08:09:52Z,0,Il PD ha provato con il Bangladesh a vincere ehhhh,,0,repubblica,author_216
UgxDczrx4fRlcA7x5G14AaABAg,,xtbS_pwzM30,False,author_1820,2026-05-26T08:38:13Z,2026-05-26T08:38:13Z,0,"La. destra, il partito delle mafie.",,0,repubblica,author_1820
UgwqJCjsQA_mwliqcjZ4AaABAg,,xtbS_pwzM30,False,author_710,2026-05-26T08:39:43Z,2026-05-26T08:39:43Z,1,o vediamo come vi cambierà la situazione 😂,,0,repubblica,author_710
UgztxXFRLgepwzDhaEx4AaABAg,,xtbS_pwzM30,False,author_427,2026-05-26T08:40:30Z,2026-05-26T08:40:30Z,5,Da padovano sono felice x i veneziani! Vi invidio molto !,,0,repubblica,author_427
UgwoL9iFJEGsdAzieIV4AaABAg,,xtbS_pwzM30,False,author_1821,2026-05-26T08:45:51Z,2026-05-26T08:45:51Z,0,Ecco le teste di cazzo 😂,,0,repubblica,author_1821
Ugy1cafsKdekVVIGjjR4AaABAg,,xtbS_pwzM30,False,author_1822,2026-05-26T08:52:33Z,2026-05-26T08:52:33Z,7,"Ciao Elly saluti da Venezia. Ogni volta che parla porta male, Santa subito",,0,repubblica,author_1822
Ugy2eyiPx2w0ZfDshr94AaABAg,,xtbS_pwzM30,False,author_1359,2026-05-26T09:04:38Z,2026-05-26T09:04:38Z,0,OTTIMO SIMONE....CHISSA' COME SI RODONO GLI STRAMALEDETTI SINISTRI.,,0,repubblica,author_1359
UgxozmXpZr7uBgMD7Bp4AaABAg,,xtbS_pwzM30,False,author_1823,2026-05-26T09:41:04Z,2026-05-26T09:41:04Z,0,Vai le capreeeeee ahahaah servi del potere e cittadini come capreeee scegliatevi,,0,repubblica,author_1823
UgyBSANNh8xRIvd4bvx4AaABAg,,xtbS_pwzM30,False,author_1823,2026-05-26T09:41:20Z,2026-05-26T09:41:20Z,0,Sumariii,,0,repubblica,author_1823
Ugxmq2ek5tDK8mtv_k14AaABAg,,xtbS_pwzM30,False,author_1824,2026-05-26T11:03:02Z,2026-05-26T11:03:02Z,0,👏👏👏👏👏🇮🇹,,0,repubblica,author_1824
Ugwz10bI7KIwoRmEJN94AaABAg.AXGFx9xNJfrAXGgBdo5Fse,Ugwz10bI7KIwoRmEJN94AaABAg,xtbS_pwzM30,True,author_1825,2026-05-26T11:08:22Z,2026-05-26T11:08:22Z,0,E il Bangla PD ☪️...?,Ugwz10bI7KIwoRmEJN94AaABAg,1,repubblica,author_1825
UgzS1jmG7lMtQClThnV4AaABAg,,xtbS_pwzM30,False,author_1826,2026-05-26T11:50:13Z,2026-05-26T11:50:13Z,1,"😁😁😁 prossimamente su ""chi la visto"" una puntata speciale Venezia, dove sono finiti elly schlein, conte, bonelli & fratoianni, il loro avvistamento giorno 25/05/2026 sulla città lagunare, ma durante la notte si sono perse le loro tracce.🤣🤣🤣🤣",,0,repubblica,author_1826
Ugzg_RcOzuuYjUeY6yd4AaABAg,,xtbS_pwzM30,False,author_1827,2026-05-26T12:58:00Z,2026-05-26T12:58:00Z,1,"Venezia farà da rompighiaccio per le prossime elezioni nazionali, no a chi vuole distruggere la cultura e la civiltà occidentale, forse siamo ancora in",,0,repubblica,author_1827
Ugzz4ykFPevgFmc1oDB4AaABAg,,xtbS_pwzM30,False,author_1828,2026-05-26T14:26:26Z,2026-05-26T14:26:26Z,1,Nonostante i giornaloni galoppini ad iniziare da Repubblica....😂,,0,repubblica,author_1828
Ugzg_RcOzuuYjUeY6yd4AaABAg.AXGsj_xVa3FAXH8nV_w02u,Ugzg_RcOzuuYjUeY6yd4AaABAg,xtbS_pwzM30,True,author_1829,2026-05-26T15:27:05Z,2026-05-26T15:27:05Z,0,"Ma quale civiltá occidentale... proprio con teste come te stiamo buttando via tutti i veri valori dell'occidente!!!! Il mondo sta cambiando e TU rimani ai primordi. Fattene una ragione. DIVERTITI, buona fortuna",Ugzg_RcOzuuYjUeY6yd4AaABAg,1,repubblica,author_1829
UgwDyx5s12xp5KcN3zl4AaABAg,,xtbS_pwzM30,False,author_1829,2026-05-26T18:23:32Z,2026-05-26T18:23:32Z,0,E da veneziano vi dico: nun c'avete capito un .azzo!!!!,,0,repubblica,author_1829
UgxAEZOlU3xhRAPcPsx4AaABAg,,xtbS_pwzM30,False,author_570,2026-05-26T18:26:57Z,2026-05-26T18:26:57Z,0,orgogliosissimi complimenti ❤❤❤👏👏👏👏👏,,0,repubblica,author_570
Ugyv7fu60Bfj7TnDXMd4AaABAg,,xtbS_pwzM30,False,author_1830,2026-05-26T23:30:15Z,2026-05-26T23:30:15Z,0,E anche a Venezia non vi hanno visti arrivare vero Elly😂😂,,0,repubblica,author_1830
Ugx_C6ItwBdq1mbpiYV4AaABAg,,xtbS_pwzM30,False,author_1831,2026-05-27T05:37:20Z,2026-05-27T05:37:20Z,0,Verra l' acqua alta 😅😅😅,,0,repubblica,author_1831
UgxBaQ5jsfLeiEzTxDd4AaABAg,,xtbS_pwzM30,False,author_788,2026-05-27T09:48:35Z,2026-05-27T09:48:35Z,0,Venezia come la calabria😊😊😊😊,,0,repubblica,author_788
Ugwz10bI7KIwoRmEJN94AaABAg.AXGFx9xNJfrAXJ9jW8EjG5,Ugwz10bI7KIwoRmEJN94AaABAg,xtbS_pwzM30,True,author_441,2026-05-27T10:13:45Z,2026-05-27T10:13:50Z,0,😂 Ecco la mer DA al posto dei neuroni che dice la sua,Ugwz10bI7KIwoRmEJN94AaABAg,1,repubblica,author_441
Ugzg_RcOzuuYjUeY6yd4AaABAg.AXGsj_xVa3FAXJ9mFENdqt,Ugzg_RcOzuuYjUeY6yd4AaABAg,xtbS_pwzM30,True,author_441,2026-05-27T10:14:07Z,2026-05-27T10:14:07Z,0,Hai la muffa al posto dei neuroni Bruno,Ugzg_RcOzuuYjUeY6yd4AaABAg,1,repubblica,author_441
UgwOYGIlZlCDWuG6PLx4AaABAg,,xtbS_pwzM30,False,author_1832,2026-05-27T14:39:58Z,2026-05-27T14:39:58Z,0,"🇮🇹 I LADRI VOTANO , GIUSTAMENTE , PER I LADRI ! COSI COME I CRIMINALI VOTANO E SOSTENGONO I CRIMINALI 🇮🇹",,0,repubblica,author_1832
UgyxJRg9DAmlSNdL8St4AaABAg,,xtbS_pwzM30,False,author_1832,2026-05-27T14:47:34Z,2026-05-27T14:47:34Z,0,🇮🇹 Ohh Finalmente ! 👏👏👏 Adesso che abbiamo i nuovi Sindaci la vita dei tutti i Cittadini cambierà in meglio 😅 si col cazzo,,0,repubblica,author_1832
Ugx7o990u1uI4O1FwQZ4AaABAg,,xtbS_pwzM30,False,author_1832,2026-05-27T14:52:49Z,2026-05-27T14:53:38Z,0,"🇮🇹 Quel Paludoso scarico fognario che è sempre stata Venezia , non poteva eleggere che uno Stronzo come suo Gestore dei liquami 🇮🇹",,0,repubblica,author_1832
Ugy8OKlSqF_wnLuFixd4AaABAg,,xtbS_pwzM30,False,author_1833,2026-05-28T11:19:11Z,2026-05-28T11:19:11Z,0,"Chiudere le Mosche in Italia ,se uno vuole pregare siamo in Italia non in Arabia di m..",,0,repubblica,author_1833
