comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwTPkJC-4UgY8bmEep4AaABAg,,y3oHVAT8zYg,False,author_103,2026-05-27T14:33:46Z,2026-05-27T14:33:46Z,0,Ma non c'è patriarcato!!,,0,repubblica,author_103
UgxJuzILgTqttKaFm8F4AaABAg,,y3oHVAT8zYg,False,author_104,2026-05-27T15:12:05Z,2026-05-27T15:12:05Z,6,Bravi... grazie !!!🌹❤️❤️❤️,,0,repubblica,author_104
UgzjvrLygItQ14zsFSN4AaABAg,,y3oHVAT8zYg,False,author_105,2026-05-27T15:15:58Z,2026-05-27T15:15:58Z,0,Terence Hill faceva il dito medio 🖕,,0,repubblica,author_105
UgxJmVCkwD_DT07WJ7V4AaABAg,,y3oHVAT8zYg,False,author_30,2026-05-27T15:21:10Z,2026-05-27T15:22:45Z,0,"Speriamo che i giudici non lo rilasciano subito, perché i musulmani possono percuotere la moglie con un bastone grosso come il pollice. È scritto sul Corano. Mai sul viso e Senza lasciare segni. Però, mentre picchiano, non possono inveire.😂😂😂",,0,repubblica,author_30
UgyRWpoe7h6OBeKxHY14AaABAg,,y3oHVAT8zYg,False,author_86,2026-05-27T15:31:58Z,2026-05-27T15:31:58Z,1,Ciao Cri🎉😊😊,,0,repubblica,author_86
UgyKbp9XESnju55p-P14AaABAg,,y3oHVAT8zYg,False,author_106,2026-05-27T16:07:51Z,2026-05-27T16:07:51Z,0,Speriamo che almeno stavolta non si dica che tutti gli uomini sono colpevoli,,0,repubblica,author_106
UgzjWeKupx_MMvdkX-14AaABAg,,y3oHVAT8zYg,False,author_8,2026-05-27T20:27:00Z,2026-05-27T20:27:00Z,2,"Come se tutti tutte le persone lo sapessero.. se fosse così. I reati sarebbero in calo..ma invece sono in aumento ... chissà xchè.. alla faccia dei segni """" internazionali",,0,repubblica,author_8
UgwhJqrf0gZe5PNPjKx4AaABAg,,y3oHVAT8zYg,False,author_8,2026-05-27T20:27:53Z,2026-05-27T20:27:53Z,1,Si certo tutti conoscono questi segnali?..see,,0,repubblica,author_8
UgxdyFqIJBbPVLw-J6N4AaABAg,,y3oHVAT8zYg,False,author_107,2026-05-28T06:03:40Z,2026-05-28T06:03:40Z,1,"E ora, difenderla sul serio! E l'unica salvezza non è rinchiudere lei, ma rinchiudere lui!!",,0,repubblica,author_107
Ugx4zLkaFX_8vvE3YV54AaABAg,,y3oHVAT8zYg,False,author_108,2026-05-28T08:03:46Z,2026-05-28T08:03:46Z,0,Menomale...è stata sicuramente fortunata ad incontrare una persona che sapeva il significato di quei segnali...se vede doveva andare così...fortunatamente ci sono persone che conoscono certi gesti...ogni tanto una buona notizia 🙌🏼👍🏼,,0,repubblica,author_108
