comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxZR4n4-_ju9bSFB9B4AaABAg,,yyooDzr0s8I,False,author_2145,2026-05-25T08:41:55Z,2026-05-25T08:41:55Z,68,si ma il popolo la maggior parte sono d'accordo,,0,repubblica,author_2145
UgyxmD9QKRhRmLVrsgJ4AaABAg,,yyooDzr0s8I,False,author_2146,2026-05-25T08:42:08Z,2026-05-25T08:42:08Z,36,"Quindi sta dicendo che è un prodotto di Israele e degli israeliani ma, non tutti. Stanno facendo un genocidio e devono essere processati quelli che lo stanno facendo. Non tutti i tedeschi sono stati nazisti e ciò vale anche per loro ma, deve finire questa porcata!!!",,0,repubblica,author_2146
Ugxq9Ps1ljTi5-hxyEl4AaABAg,,yyooDzr0s8I,False,author_2147,2026-05-25T08:50:35Z,2026-05-25T08:50:35Z,0,La maggior parte degli israeliani sono come lui. Lui era quello che diceva che sputare su suore e preti era un antica usanza,,0,repubblica,author_2147
Ugz5XrLvY0766Ytues94AaABAg,,yyooDzr0s8I,False,author_2148,2026-05-25T08:51:23Z,2026-05-25T08:51:23Z,3,Tutti questi comunisti non accennano mai al 7 ottobre,,0,repubblica,author_2148
Ugz5XrLvY0766Ytues94AaABAg.AXDriWPQcz-AXDsEyVMMKr,Ugz5XrLvY0766Ytues94AaABAg,yyooDzr0s8I,True,author_2149,2026-05-25T08:55:57Z,2026-05-25T08:55:57Z,1,Taci fascista ignorante,Ugz5XrLvY0766Ytues94AaABAg,1,repubblica,author_2149
UgxPyt1BB1wjOtjJUJ14AaABAg,,yyooDzr0s8I,False,author_2150,2026-05-25T08:56:33Z,2026-05-25T11:39:23Z,66,"Pochissimi gli israeliani che si battono contro il genocidio che quasi nessuno riconosce come tale. L'85% degli ebrei israeliani ritiene che a Gaza non ci siano innocenti, neanche i bambini (fonte: Haaretz). Oltre il 70% dei parlamentari del Knesset ha votato l'annessione della Cisgiordania. Non ricordo di preciso la percentuale (intorno al 60%) per la pena di morte ai palestinesi accusati di terrorismo. Nella gran parte delle manifestazioni a Tel Aviv, fino a qualche mese fa, Gaza e i palestinesi non erano neanche nominati. L'opposizione in piazza era solo contro Netanyahu e il suo governo e si batteva per riportare a casa gli ostaggi. Si sentiva spesso gridare 'portate a casa i nostri cari poi fate quello che volete, ma cessate il fuoco finché tutti gli ostaggi non saranno salvati!' Israele è quasi interamente a favore del genocidio. C'è qualche professore universitario, tardivamente lui stesso, Grossman, e alcuni giovani renitenti alla leva che lo osteggiano davvero e vengono pure massacrati di botte: un'esigua minoranza, talmente piccola da essere del tutto ininfluente. Ben Gvir è Israele senza maschere Palestina libera ✊🏽🇵🇸",,0,repubblica,author_2150
UgxvVHSUaS3SLPYl6BZ4AaABAg,,yyooDzr0s8I,False,author_1719,2026-05-25T09:00:59Z,2026-05-25T09:00:59Z,10,Un popolo che occupa altro popolo,,0,repubblica,author_1719
UgyhfA-rvODydFrj2614AaABAg,,yyooDzr0s8I,False,author_2151,2026-05-25T09:01:40Z,2026-05-25T09:43:53Z,13,"del resto, ora che tutto il mondo si sta rivoltando, l'unico modo che hanno per uscirne è dire che si vergognano tanto tanto. fino a un anno fa era vietato usare la parola ""genocidio"". Oggi tutti dispiaciuti.",,0,repubblica,author_2151
Ugz5XrLvY0766Ytues94AaABAg.AXDriWPQcz-AXDsvldfa19,Ugz5XrLvY0766Ytues94AaABAg,yyooDzr0s8I,True,author_2152,2026-05-25T09:01:56Z,2026-05-25T09:01:56Z,1,Taci leccaculo senza decenza dei delinquenti israeliani prima di incassare una scarica di ceffoni,Ugz5XrLvY0766Ytues94AaABAg,1,repubblica,author_2152
UgyxmD9QKRhRmLVrsgJ4AaABAg.AXDqeg7GcytAXDt4mD5E2e,UgyxmD9QKRhRmLVrsgJ4AaABAg,yyooDzr0s8I,True,author_2153,2026-05-25T09:03:18Z,2026-05-25T09:03:18Z,6,Ma israele non è solo questo. Perché non ha parlato di quelli che distruggono le economie mondiale sotto il nome del business. Perché non parla di quelli che hanno in mano tutte le case farmaceutiche. E quelli delle armi???? E delle sette sorelle??? E delle banche???? E della finanza????? Creano solo poverta' Chi è ricchisdimo e chi è poverissimo. In poche parole siete la distruzione del.mondo Perché non parla di,UgyxmD9QKRhRmLVrsgJ4AaABAg,1,repubblica,author_2153
